Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
Adelaide,8.8,15.7,5.0,NW,48.0,SW,W,13.0,15.0,92.0,67.0,1017.4,1017.7,13.5,14.9,1,0
Adelaide,12.7,15.8,0.8,SW,35.0,SSW,SW,13.0,15.0,75.0,52.0,1022.4,1022.6,13.7,15.5,0,0
Adelaide,6.2,15.1,0.0,W,20.0,NNE,SW,2.0,11.0,81.0,56.0,1027.8,1026.5,9.3,13.9,0,0
Adelaide,5.3,15.9,0.0,NNE,30.0,NNE,NE,6.0,13.0,71.0,46.0,1028.7,1025.6,10.2,15.3,0,0
Adelaide,7.6,11.2,16.2,WSW,46.0,WNW,SW,17.0,13.0,83.0,88.0,1015.9,1017.9,9.8,9.3,1,1
Adelaide,5.3,13.5,17.0,SW,43.0,SW,WSW,11.0,22.0,73.0,91.0,1025.8,1025.9,10.9,10.8,1,1
Adelaide,8.4,14.3,1.8,NW,41.0,N,NW,9.0,19.0,90.0,64.0,1025.8,1022.7,10.8,13.5,1,1
Adelaide,9.5,13.1,9.0,WSW,52.0,WSW,SW,24.0,20.0,54.0,66.0,1019.8,1019.6,10.9,11.2,1,0
Adelaide,10.0,15.4,3.8,N,48.0,W,W,15.0,19.0,85.0,72.0,1014.0,1015.4,13.2,15.2,1,1
Adelaide,11.1,14.7,4.0,WSW,43.0,W,WSW,17.0,24.0,91.0,72.0,1020.4,1020.1,12.0,13.0,1,0
Adelaide,6.3,14.1,0.2,NNW,39.0,NNE,N,7.0,19.0,74.0,52.0,1019.9,1015.3,10.0,13.9,0,0
Adelaide,9.8,14.7,0.2,NW,44.0,N,NW,17.0,22.0,58.0,61.0,1009.8,1007.4,10.5,14.7,0,1
Adelaide,6.5,14.2,6.8,SSE,41.0,S,S,13.0,15.0,69.0,55.0,1021.2,1024.7,11.9,12.8,1,0
Adelaide,5.4,14.2,0.0,ENE,19.0,ESE,NNW,7.0,9.0,49.0,36.0,1033.9,1029.8,10.7,13.7,0,0
Adelaide,2.6,14.9,0.0,NNW,28.0,N,NNW,9.0,13.0,58.0,38.0,1027.5,1023.4,8.8,14.5,0,0
Adelaide,2.8,11.8,1.6,WSW,37.0,NE,SW,7.0,15.0,85.0,58.0,1018.1,1016.2,6.9,11.1,1,0
Adelaide,0.7,14.0,0.0,W,22.0,N,W,7.0,13.0,82.0,61.0,1024.1,1022.4,6.4,12.7,0,0
Adelaide,4.9,13.0,0.0,NNW,56.0,NE,NNE,17.0,19.0,51.0,45.0,1017.9,1010.3,10.5,12.5,0,1
Adelaide,8.5,16.1,3.4,WNW,28.0,NE,W,11.0,9.0,89.0,44.0,1013.7,1011.7,11.5,15.7,1,0
Adelaide,7.6,19.3,0.8,W,69.0,NNE,NW,17.0,20.0,56.0,52.0,1006.8,1005.2,14.4,18.1,0,1
Adelaide,9.0,13.8,8.2,NW,31.0,N,S,9.0,6.0,92.0,92.0,1014.8,1015.8,10.1,11.7,1,1
Adelaide,6.4,15.0,16.2,W,26.0,S,S,6.0,11.0,95.0,75.0,1025.5,1025.2,10.4,13.6,1,1
Adelaide,7.4,11.9,1.2,WSW,48.0,N,N,17.0,13.0,90.0,92.0,1021.3,1016.8,10.0,9.5,1,1
Adelaide,5.9,13.2,11.2,SW,43.0,SSW,WSW,9.0,17.0,70.0,52.0,1023.9,1024.0,9.6,11.9,1,0
