Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
AliceSprings,19.6,37.6,0.0,WNW,87.0,NNE,NE,20.0,11.0,17.0,16.0,1010.5,1005.8,30.4,37.2,0,1
AliceSprings,21.0,39.1,1.2,NNW,41.0,NNW,S,24.0,9.0,18.0,13.0,1009.3,1004.6,32.5,38.2,1,0
AliceSprings,22.9,40.9,0.0,NNW,48.0,ENE,N,7.0,24.0,17.0,11.0,1006.3,1003.4,35.0,40.4,0,0
AliceSprings,24.7,40.5,0.0,WNW,72.0,SSW,W,2.0,22.0,29.0,24.0,1008.7,1006.9,32.3,36.5,0,0
AliceSprings,23.4,32.4,0.2,SSW,46.0,S,S,9.0,17.0,58.0,43.0,1014.0,1010.7,26.8,31.1,0,1
AliceSprings,21.7,25.1,2.6,SSE,35.0,SSW,N,19.0,11.0,90.0,78.0,1014.3,1011.1,21.9,22.9,1,1
AliceSprings,20.9,25.7,4.8,N,31.0,SSW,NNW,11.0,17.0,70.0,77.0,1011.4,1009.9,25.0,24.3,1,0
AliceSprings,17.7,34.6,0.6,E,26.0,ENE,NNW,15.0,9.0,63.0,27.0,1010.9,1005.9,24.5,33.6,0,0
AliceSprings,24.4,39.0,0.0,S,50.0,N,WNW,28.0,11.0,40.0,20.0,1006.2,1002.6,32.5,38.0,0,0
AliceSprings,25.3,38.6,0.0,W,54.0,NNE,WSW,22.0,35.0,38.0,51.0,1005.9,1004.4,32.8,29.6,0,0
AliceSprings,25.0,32.3,0.0,NW,63.0,NNW,WSW,26.0,9.0,50.0,73.0,1005.6,1001.3,29.5,27.6,0,1
AliceSprings,20.7,32.2,14.4,NW,41.0,NNW,WSW,13.0,19.0,88.0,37.0,1005.2,1002.7,22.5,31.0,1,0
AliceSprings,16.6,26.6,0.0,S,37.0,S,S,26.0,24.0,55.0,39.0,1012.9,1009.6,20.7,25.9,0,0
AliceSprings,13.7,26.8,0.0,SSE,46.0,SE,SSE,20.0,19.0,37.0,24.0,1014.1,1010.5,20.5,26.0,0,0
AliceSprings,13.1,28.5,0.0,ESE,35.0,ESE,SE,20.0,13.0,30.0,15.0,1013.7,1009.6,21.7,27.3,0,0
AliceSprings,13.6,31.7,0.0,ENE,31.0,E,SW,22.0,13.0,21.0,15.0,1011.9,1007.9,24.6,31.2,0,0
AliceSprings,15.7,36.3,0.0,W,35.0,NE,W,9.0,9.0,18.0,11.0,1009.3,1004.9,29.2,36.0,0,0
AliceSprings,19.6,36.9,0.0,S,41.0,SSW,SSW,15.0,17.0,21.0,12.0,1007.4,1004.9,31.0,36.2,0,0
