Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
BadgerysCreek,14.7,26.1,0.0,SE,46.0,SE,SE,7.0,24.0,59.0,54.0,1012.9,1013.5,20.7,22.2,0,0
BadgerysCreek,13.6,22.3,0.0,NNE,30.0,ESE,NE,6.0,15.0,57.0,51.0,1021.9,1019.2,17.9,21.7,0,0
BadgerysCreek,17.7,31.2,0.0,NE,39.0,NNE,N,9.0,15.0,62.0,43.0,1018.7,1013.6,22.0,30.6,0,0
BadgerysCreek,15.5,38.8,0.0,SW,50.0,NNE,W,7.0,17.0,67.0,19.0,1013.2,1007.6,22.7,37.6,0,0
BadgerysCreek,14.0,39.3,0.0,ESE,35.0,N,ENE,6.0,15.0,56.0,13.0,1011.9,1006.9,24.2,38.0,0,0
BadgerysCreek,15.3,40.3,0.0,W,63.0,N,WNW,6.0,30.0,69.0,19.0,1010.1,1004.6,23.3,39.8,0,0
BadgerysCreek,18.9,22.3,0.0,SE,31.0,SSE,SE,11.0,19.0,75.0,70.0,1012.7,1013.6,20.5,20.1,0,0
BadgerysCreek,14.8,22.4,0.4,E,33.0,SSE,E,15.0,19.0,65.0,46.0,1020.6,1018.8,17.6,21.1,0,0
BadgerysCreek,11.9,26.0,0.2,ENE,37.0,SSW,ENE,4.0,13.0,63.0,43.0,1017.2,1013.2,18.0,24.2,0,0
BadgerysCreek,12.6,30.2,0.0,E,41.0,N,E,7.0,19.0,61.0,40.0,1014.3,1010.1,21.6,29.0,0,1
BadgerysCreek,15.3,29.4,4.0,ESE,37.0,SW,ESE,4.0,22.0,78.0,50.0,1016.0,1015.8,21.2,27.7,1,0
BadgerysCreek,18.4,32.7,0.0,NNE,39.0,NNE,ENE,7.0,17.0,83.0,40.0,1019.7,1015.3,21.5,30.5,0,0
BadgerysCreek,15.9,39.9,0.0,ENE,50.0,ENE,NE,6.0,13.0,70.0,21.0,1014.7,1009.6,23.9,39.2,0,0
BadgerysCreek,18.0,42.9,0.0,SE,50.0,E,WSW,7.0,17.0,43.0,16.0,1009.3,1005.5,29.1,40.7,0,0
BadgerysCreek,14.6,34.5,0.4,SE,50.0,SE,NNE,7.0,15.0,50.0,22.0,1013.0,1007.5,21.4,33.9,0,0
BadgerysCreek,15.5,23.7,0.0,ESE,33.0,SSE,E,15.0,15.0,53.0,38.0,1020.9,1020.1,17.6,21.8,0,0
BadgerysCreek,11.3,33.5,0.0,NE,35.0,NNE,NNE,9.0,19.0,63.0,18.0,1019.4,1013.9,19.9,30.3,0,0
BadgerysCreek,14.6,39.2,0.0,ENE,43.0,W,NNE,4.0,20.0,61.0,20.0,1014.0,1008.9,23.4,37.8,0,0
BadgerysCreek,20.5,38.4,0.4,N,41.0,NNW,WSW,11.0,11.0,58.0,31.0,1012.0,1007.1,27.0,35.0,0,1
BadgerysCreek,19.6,33.7,19.4,N,56.0,NNE,N,17.0,28.0,69.0,41.0,1008.7,1004.8,25.8,32.4,1,0
BadgerysCreek,20.3,36.1,0.2,NE,43.0,E,ENE,6.0,24.0,63.0,44.0,1009.4,1006.5,28.2,33.3,0,0
BadgerysCreek,20.8,40.7,0.0,W,72.0,NNE,W,6.0,31.0,61.0,15.0,1005.2,1003.0,29.3,39.6,0,0
BadgerysCreek,18.7,28.4,0.0,SSW,33.0,E,NE,7.0,15.0,61.0,39.0,1020.0,1017.8,20.9,27.7,0,0
BadgerysCreek,19.7,31.0,0.0,SE,35.0,SW,E,7.0,19.0,65.0,55.0,1019.7,1018.5,22.0,29.1,0,1
BadgerysCreek,19.3,28.0,3.6,E,30.0,SW,ENE,7.0,9.0,93.0,71.0,1021.5,1019.6,20.0,26.5,1,0
BadgerysCreek,16.3,35.7,0.0,NE,35.0,NE,N,6.0,15.0,83.0,34.0,1018.7,1014.6,21.6,34.1,0,0
BadgerysCreek,16.1,35.4,0.0,SE,41.0,SSE,E,2.0,15.0,75.0,29.0,1018.9,1015.2,23.6,33.6,0,0
BadgerysCreek,17.4,34.6,0.0,NE,37.0,E,NE,7.0,11.0,68.0,36.0,1018.9,1014.3,24.3,33.2,0,0
BadgerysCreek,15.9,36.6,0.0,ESE,37.0,SSE,ENE,6.0,13.0,75.0,32.0,1017.8,1012.7,24.0,36.4,0,0
BadgerysCreek,18.3,31.3,0.0,E,39.0,SSE,ENE,15.0,22.0,70.0,49.0,1016.1,1015.8,24.9,29.6,0,0
BadgerysCreek,19.5,35.1,0.0,ESE,41.0,NE,E,2.0,13.0,78.0,34.0,1016.7,1010.6,24.2,34.2,0,0
BadgerysCreek,19.5,33.4,0.0,ESE,41.0,SSW,SE,7.0,26.0,67.0,42.0,1010.9,1009.6,24.1,29.3,0,0
BadgerysCreek,20.6,32.6,0.0,E,35.0,ESE,NNE,2.0,17.0,72.0,46.0,1011.9,1008.3,24.2,32.0,0,0
BadgerysCreek,20.4,40.1,0.0,ENE,46.0,S,ESE,9.0,26.0,65.0,36.0,1011.2,1006.8,26.6,37.1,0,0
BadgerysCreek,17.0,40.0,0.0,SE,43.0,WNW,NE,6.0,22.0,51.0,28.0,1011.1,1006.2,25.3,38.6,0,0
BadgerysCreek,20.6,23.3,0.0,S,30.0,S,SE,17.0,13.0,79.0,78.0,1012.4,1011.8,21.1,20.6,0,1
BadgerysCreek,16.6,19.4,2.0,SSW,46.0,W,SSE,2.0,9.0,92.0,93.0,1011.9,1010.5,17.7,19.3,1,1
BadgerysCreek,15.5,22.1,4.6,S,39.0,SSW,SE,13.0,11.0,79.0,70.0,1011.8,1012.1,16.7,19.5,1,1
BadgerysCreek,14.3,20.3,4.2,E,37.0,S,SE,20.0,17.0,78.0,69.0,1018.2,1019.2,17.0,19.3,1,0
BadgerysCreek,14.3,21.1,1.0,ESE,44.0,SW,SE,11.0,26.0,89.0,51.0,1025.7,1024.7,16.0,20.4,0,1
BadgerysCreek,14.6,18.1,21.2,S,30.0,SW,SSE,19.0,15.0,94.0,92.0,1023.6,1019.9,15.0,16.5,1,1
BadgerysCreek,15.0,21.9,36.0,S,41.0,SSW,SSE,15.0,17.0,91.0,82.0,1015.7,1014.6,17.8,21.9,1,1
BadgerysCreek,16.2,25.0,23.4,SE,48.0,SE,SSE,19.0,28.0,78.0,56.0,1018.3,1018.1,21.3,23.2,1,0
BadgerysCreek,15.8,22.3,0.8,ESE,28.0,SW,SE,15.0,17.0,91.0,61.0,1017.7,1016.0,18.1,21.1,0,1
BadgerysCreek,17.0,27.4,9.8,SW,33.0,WSW,S,24.0,15.0,89.0,61.0,1011.1,1008.8,19.3,24.9,1,0
BadgerysCreek,16.6,31.2,0.0,SE,31.0,NNW,NNE,11.0,19.0,78.0,46.0,1008.2,1004.9,21.9,30.2,0,0
BadgerysCreek,17.4,31.3,0.2,ESE,43.0,N,E,9.0,19.0,76.0,40.0,1011.8,1009.0,21.8,30.8,0,0
BadgerysCreek,17.8,26.1,0.2,E,28.0,SSW,E,4.0,9.0,80.0,59.0,1019.0,1017.4,19.9,25.1,0,0
BadgerysCreek,17.4,30.3,0.0,WSW,57.0,NE,ENE,11.0,20.0,73.0,52.0,1017.1,1011.8,22.7,28.8,0,1
BadgerysCreek,16.5,25.7,0.0,SE,35.0,SW,SE,9.0,11.0,75.0,52.0,1020.7,1018.5,19.6,24.0,0,0
BadgerysCreek,12.9,25.8,0.0,ESE,28.0,SW,E,11.0,13.0,78.0,46.0,1018.7,1015.3,18.7,25.3,0,0
BadgerysCreek,9.4,25.8,0.0,SW,43.0,SW,S,22.0,17.0,44.0,24.0,1010.1,1008.3,18.6,24.8,0,0
BadgerysCreek,8.6,25.4,0.0,E,35.0,SW,NE,9.0,9.0,76.0,39.0,1013.8,1010.8,14.8,24.2,0,0
BadgerysCreek,13.1,28.8,0.0,SE,30.0,SW,E,11.0,13.0,80.0,34.0,1014.6,1011.6,18.8,27.8,0,0
BadgerysCreek,17.4,25.1,0.0,SSE,37.0,SSW,SSE,13.0,22.0,80.0,66.0,1018.5,1018.8,20.4,23.7,0,1
BadgerysCreek,16.0,24.1,12.4,ENE,26.0,SW,NNE,13.0,6.0,98.0,70.0,1022.7,1020.2,17.0,23.5,1,0
BadgerysCreek,16.9,25.9,0.8,ENE,35.0,SSW,ENE,4.0,22.0,96.0,55.0,1022.2,1020.8,19.6,25.0,0,0
