Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
Ballarat,5.8,17.6,3.2,W,52.0,W,WNW,26.0,30.0,71.0,37.0,1008.2,1007.5,10.4,15.7,1,0
Ballarat,4.3,19.5,0.4,WNW,44.0,WNW,WNW,20.0,24.0,66.0,47.0,1009.3,1007.3,12.5,17.6,0,0
Ballarat,9.5,18.8,0.6,W,43.0,WSW,SW,22.0,20.0,82.0,42.0,1009.5,1011.5,11.2,16.5,0,0
Ballarat,6.7,21.8,0.2,NNE,39.0,ENE,N,9.0,22.0,60.0,33.0,1016.2,1012.6,14.4,20.6,0,1
Ballarat,13.3,25.6,1.2,NW,61.0,NNW,NW,30.0,39.0,74.0,40.0,1006.6,1005.5,18.3,24.3,1,0
Ballarat,9.6,23.0,0.0,WNW,61.0,WNW,WNW,15.0,39.0,76.0,42.0,1009.6,1005.7,13.8,20.8,0,0
Ballarat,4.6,16.4,0.0,SW,39.0,SW,SW,20.0,24.0,71.0,42.0,1012.3,1012.1,9.6,15.6,0,0
Ballarat,2.9,23.1,0.2,NW,43.0,SSE,WSW,17.0,7.0,64.0,30.0,1014.0,1010.5,9.7,20.6,0,0
Ballarat,5.3,17.6,0.0,S,35.0,NW,SSE,9.0,19.0,55.0,87.0,1007.5,1006.4,13.2,12.4,0,1
Ballarat,8.3,18.3,5.0,SE,50.0,SSE,SE,28.0,22.0,71.0,43.0,1011.8,1010.9,10.6,18.1,1,0
Ballarat,6.9,23.8,0.0,SSE,54.0,SE,SSE,28.0,26.0,67.0,28.0,1013.8,1011.0,12.2,22.9,0,0
Ballarat,12.1,19.6,0.0,SE,41.0,NE,E,24.0,11.0,47.0,97.0,1006.2,1002.2,18.8,15.3,0,1
Ballarat,13.1,13.9,53.6,SW,63.0,SSW,SW,26.0,39.0,99.0,99.0,990.5,996.5,13.5,13.0,1,1
Ballarat,10.0,16.2,11.0,SSW,46.0,SSW,SW,19.0,26.0,99.0,71.0,1005.8,1007.5,11.0,15.0,1,1
Ballarat,8.3,18.7,1.4,W,37.0,SW,WNW,17.0,20.0,72.0,50.0,1012.3,1011.2,9.2,16.9,1,0
Ballarat,7.9,19.1,0.0,W,35.0,W,W,15.0,24.0,84.0,57.0,1012.5,1011.6,13.4,17.9,0,1
Ballarat,10.3,20.1,1.8,ESE,31.0,S,WSW,7.0,7.0,91.0,64.0,1012.3,1008.8,12.3,18.7,1,0
Ballarat,11.1,19.2,0.6,SSW,48.0,SW,WSW,15.0,22.0,86.0,49.0,1005.6,1005.1,13.6,18.8,0,1
Ballarat,6.3,16.9,1.4,SSW,52.0,SSW,SSW,26.0,26.0,69.0,41.0,1014.1,1014.6,8.9,16.3,1,0
Ballarat,5.5,21.4,0.0,SSE,37.0,SSE,SE,22.0,20.0,76.0,44.0,1020.4,1018.0,11.6,20.6,0,0
Ballarat,6.8,26.7,0.0,N,46.0,NNE,N,20.0,28.0,44.0,32.0,1017.6,1013.8,19.2,25.2,0,0
Ballarat,18.8,32.2,0.0,NNW,72.0,N,NNW,44.0,41.0,39.0,21.0,1007.6,1004.2,22.3,30.2,0,0
Ballarat,10.5,20.1,0.0,SSW,44.0,SSW,S,26.0,24.0,90.0,52.0,1013.2,1012.7,11.2,18.0,0,0
Ballarat,7.2,24.8,0.2,SW,33.0,SE,WSW,15.0,17.0,68.0,27.0,1013.2,1011.3,12.8,24.0,0,0
Ballarat,8.8,25.5,0.0,WSW,37.0,SE,SSW,13.0,9.0,61.0,32.0,1014.2,1012.3,15.9,22.7,0,0
Ballarat,10.6,28.9,0.0,ESE,46.0,N,WNW,22.0,11.0,42.0,32.0,1010.3,1008.1,21.4,26.9,0,0
Ballarat,11.3,28.0,0.0,S,43.0,N,W,13.0,19.0,55.0,43.0,1006.1,1003.2,22.6,26.5,0,0
Ballarat,7.6,25.6,0.0,WSW,44.0,NNW,WSW,17.0,26.0,62.0,44.0,1003.9,1002.7,17.9,22.8,0,0
Ballarat,9.3,19.8,0.0,W,46.0,WSW,SW,17.0,24.0,70.0,40.0,1008.2,1008.0,11.8,17.4,0,1
Ballarat,10.2,20.1,2.4,W,61.0,WSW,W,22.0,37.0,99.0,45.0,1003.6,1003.2,11.9,18.0,1,0
Ballarat,9.0,20.4,0.2,NW,39.0,WSW,NW,15.0,26.0,81.0,44.0,1006.1,1004.7,10.6,17.2,0,0
Ballarat,8.3,17.0,0.2,SW,54.0,W,WSW,26.0,30.0,87.0,48.0,1004.7,1006.5,11.6,16.0,0,0
Ballarat,3.0,17.0,0.4,SSW,52.0,SW,SSW,26.0,28.0,70.0,35.0,1017.2,1017.6,9.1,15.9,0,0
Ballarat,0.7,22.5,0.0,SE,31.0,SSE,SSW,20.0,11.0,61.0,26.0,1018.7,1015.9,11.7,20.0,0,0
Ballarat,8.3,29.6,0.0,W,41.0,NW,WSW,6.0,20.0,42.0,12.0,1012.1,1010.6,19.2,28.3,0,0
Ballarat,10.8,30.3,0.0,SSW,41.0,WNW,WSW,9.0,19.0,48.0,30.0,1010.6,1008.0,20.1,29.9,0,0
Ballarat,13.6,21.1,0.0,SSW,44.0,S,SSW,15.0,24.0,99.0,64.0,1009.2,1009.9,14.4,18.0,0,0
Ballarat,7.3,18.2,0.0,SSW,50.0,SSW,SSW,26.0,28.0,71.0,36.0,1016.7,1017.2,11.4,16.9,0,0
Ballarat,4.3,20.4,0.0,SE,44.0,SE,SSE,24.0,20.0,57.0,32.0,1019.5,1016.3,12.4,19.6,0,0
Ballarat,9.0,26.7,0.0,SE,44.0,SE,W,13.0,6.0,61.0,16.0,1011.9,1008.6,15.4,24.9,0,0
Ballarat,9.3,27.1,0.0,SSW,48.0,SE,WSW,15.0,15.0,70.0,19.0,1010.0,1008.9,15.2,25.1,0,0
Ballarat,8.7,26.6,0.0,ESE,39.0,S,SSE,20.0,17.0,86.0,30.0,1017.6,1015.9,12.9,24.2,0,0
