Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
Brisbane,10.3,25.2,0.0,WNW,26.0,SSW,W,6.0,15.0,81.0,37.0,1019.6,1014.8,14.9,24.6,0,0
Brisbane,8.1,22.9,0.0,W,30.0,W,WNW,15.0,19.0,41.0,30.0,1018.8,1015.0,16.2,22.4,0,0
Brisbane,9.7,22.4,0.0,E,22.0,SW,E,7.0,15.0,55.0,52.0,1021.4,1019.1,15.4,21.3,0,0
Brisbane,11.8,20.0,0.8,SW,24.0,SW,SSE,9.0,7.0,76.0,53.0,1023.5,1021.7,14.1,19.6,0,0
Brisbane,12.3,16.7,0.0,S,37.0,S,SSW,11.0,7.0,81.0,89.0,1027.3,1026.2,16.1,15.0,0,1
Brisbane,12.6,21.5,16.2,ENE,31.0,SSW,E,7.0,17.0,78.0,52.0,1028.5,1025.7,15.9,20.0,1,0
Brisbane,12.9,21.9,0.0,NE,17.0,SW,NE,9.0,9.0,83.0,63.0,1026.9,1023.1,14.7,20.1,0,1
Brisbane,14.5,17.4,24.2,WSW,31.0,SW,NW,7.0,2.0,94.0,73.0,1024.0,1019.3,14.7,17.0,1,1
Brisbane,6.0,16.7,3.8,W,43.0,WSW,W,13.0,19.0,48.0,34.0,1022.6,1020.2,12.4,16.2,1,0
Brisbane,10.3,19.7,0.2,W,39.0,WSW,WSW,17.0,17.0,47.0,34.0,1021.8,1017.0,13.2,18.8,0,0
Brisbane,6.6,19.6,0.0,W,28.0,WSW,WSW,11.0,9.0,48.0,38.0,1021.7,1019.4,14.2,18.7,0,0
Brisbane,7.9,21.1,0.0,ENE,30.0,SW,E,7.0,15.0,60.0,48.0,1025.9,1023.4,12.8,19.3,0,0
Brisbane,12.0,22.8,0.0,ENE,20.0,SSW,ENE,6.0,9.0,72.0,69.0,1026.6,1023.3,15.3,21.2,0,0
Brisbane,13.6,25.7,0.0,N,19.0,SSW,NE,4.0,9.0,86.0,65.0,1025.3,1021.0,18.3,23.3,0,0
Brisbane,16.7,24.8,0.0,W,31.0,SSW,NNE,9.0,9.0,80.0,65.0,1022.2,1018.7,19.1,23.4,0,1
Brisbane,16.5,18.9,5.4,SW,19.0,WSW,WSW,2.0,4.0,93.0,71.0,1020.1,1017.8,17.1,18.7,1,1
Brisbane,12.2,21.5,2.8,WSW,17.0,SW,NE,7.0,9.0,80.0,57.0,1020.6,1016.1,15.6,21.2,1,0
Brisbane,9.4,25.4,0.0,WNW,37.0,SW,WNW,6.0,15.0,72.0,34.0,1017.3,1011.9,15.2,25.0,0,0
Brisbane,6.8,22.9,0.0,W,33.0,SW,WNW,2.0,15.0,55.0,25.0,1018.3,1015.7,15.4,22.4,0,0
