Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
CoffsHarbour,16.1,31.4,0.0,NNE,54.0,N,NNE,7.0,37.0,51.0,58.0,1005.9,1002.3,26.5,28.4,0,0
CoffsHarbour,22.8,24.7,0.0,SSW,56.0,SSW,S,35.0,15.0,68.0,67.0,1010.9,1011.4,23.4,24.4,0,1
CoffsHarbour,20.0,24.1,4.6,SE,35.0,SE,E,20.0,19.0,70.0,59.0,1019.3,1018.8,21.7,23.7,1,0
CoffsHarbour,14.8,25.0,0.8,E,24.0,SSE,ESE,7.0,17.0,62.0,45.0,1019.5,1017.0,22.5,24.8,0,0
CoffsHarbour,15.5,27.3,0.0,NE,41.0,NW,NE,7.0,30.0,54.0,62.0,1015.7,1012.7,24.6,26.1,0,0
CoffsHarbour,19.8,30.2,0.0,NNE,54.0,NW,NE,24.0,39.0,55.0,58.0,1012.9,1011.0,27.1,27.3,0,0
CoffsHarbour,22.7,29.6,0.0,NNE,56.0,NNW,NNE,20.0,37.0,60.0,66.0,1012.3,1009.7,26.7,27.1,0,0
CoffsHarbour,22.7,29.2,0.0,SSW,44.0,NW,NNE,9.0,20.0,70.0,71.0,1009.4,1008.8,25.8,26.4,0,1
CoffsHarbour,19.5,21.4,7.8,S,56.0,SSW,SSE,26.0,28.0,85.0,73.0,1015.7,1015.9,20.0,21.1,1,1
CoffsHarbour,16.9,24.2,3.2,SW,30.0,SW,SE,20.0,15.0,59.0,47.0,1015.5,1013.5,21.2,23.3,1,0
CoffsHarbour,13.7,25.5,0.0,E,26.0,SW,ESE,13.0,15.0,55.0,63.0,1013.7,1012.0,23.2,24.5,0,0
CoffsHarbour,17.5,27.4,0.0,E,31.0,E,E,11.0,19.0,67.0,63.0,1014.5,1014.3,24.8,26.0,0,0
CoffsHarbour,17.7,27.0,0.0,E,28.0,SSW,E,15.0,20.0,64.0,62.0,1019.1,1017.2,24.2,26.1,0,0
CoffsHarbour,16.9,27.4,0.0,N,43.0,NNW,NNE,13.0,30.0,58.0,49.0,1017.8,1015.9,24.9,26.1,0,0
CoffsHarbour,19.1,32.2,0.0,NNE,61.0,NNW,NNE,31.0,46.0,50.0,57.0,1013.9,1010.4,25.1,27.6,0,0
CoffsHarbour,21.0,27.5,0.0,SSW,39.0,SSE,E,6.0,15.0,68.0,74.0,1011.0,1008.8,26.3,26.5,0,1
CoffsHarbour,19.0,21.3,6.4,S,50.0,SSW,S,19.0,30.0,93.0,84.0,1016.6,1017.8,19.1,19.3,1,1
CoffsHarbour,14.8,23.1,7.2,SW,28.0,SW,SE,17.0,9.0,69.0,57.0,1021.2,1020.1,20.9,21.7,1,0
