Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
Dartmoor,10.1,19.9,0.8,SSW,41.0,WNW,SSW,9.0,24.0,98.0,52.0,1017.8,1018.1,12.8,18.0,0,0
Dartmoor,8.8,20.5,0.2,SE,41.0,SE,ESE,13.0,26.0,68.0,54.0,1021.9,1020.9,14.1,19.8,0,0
Dartmoor,8.0,23.9,0.0,SSE,39.0,SE,SE,17.0,22.0,82.0,47.0,1021.7,1019.1,13.0,23.0,0,0
Dartmoor,12.9,27.6,0.0,ESE,44.0,ESE,SE,22.0,24.0,86.0,44.0,1020.4,1017.8,16.7,27.2,0,0
Dartmoor,14.1,29.7,0.0,NW,44.0,ESE,NE,17.0,20.0,91.0,42.0,1019.7,1016.2,17.0,27.8,0,1
Dartmoor,14.5,20.1,14.2,W,72.0,W,WSW,17.0,44.0,93.0,81.0,1008.8,1009.5,15.0,12.7,1,1
Dartmoor,9.3,17.8,9.6,SW,54.0,WNW,WSW,20.0,33.0,91.0,57.0,1012.3,1012.4,11.0,17.2,1,1
Dartmoor,10.2,18.0,3.8,SW,41.0,WSW,SW,17.0,24.0,94.0,72.0,1014.4,1015.6,13.0,16.7,1,0
Dartmoor,11.1,15.9,0.2,SSW,31.0,SSW,SSW,9.0,17.0,75.0,74.0,1019.9,1019.7,13.5,15.2,0,0
Dartmoor,5.6,24.8,0.0,NNW,33.0,NE,NW,11.0,19.0,91.0,44.0,1016.3,1012.6,10.5,23.6,0,0
Dartmoor,8.0,22.3,0.0,SW,33.0,ENE,SW,7.0,15.0,82.0,67.0,1012.3,1012.8,12.9,21.2,0,0
Dartmoor,11.3,18.5,0.4,SSW,39.0,S,S,13.0,22.0,92.0,65.0,1015.3,1016.0,14.1,17.0,0,0
