Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
Darwin,20.0,33.1,0.0,E,41.0,ENE,SSE,13.0,17.0,81.0,32.0,1016.0,1012.1,25.4,32.3,0,0
Darwin,19.4,32.4,0.0,ENE,50.0,SE,E,15.0,28.0,81.0,17.0,1016.8,1012.4,24.3,31.9,0,0
Darwin,18.2,31.8,0.0,E,46.0,ESE,ENE,22.0,19.0,38.0,24.0,1017.2,1013.0,24.3,31.2,0,0
Darwin,17.3,30.7,0.0,E,44.0,SE,E,22.0,13.0,55.0,16.0,1017.3,1013.6,21.3,29.8,0,0
Darwin,15.5,30.8,0.0,ESE,46.0,E,E,20.0,19.0,37.0,16.0,1016.3,1012.6,22.2,29.6,0,0
Darwin,16.2,31.9,0.0,E,41.0,ESE,SE,11.0,13.0,62.0,18.0,1015.8,1012.2,22.8,30.5,0,0
Darwin,17.0,32.7,0.0,E,48.0,SE,ESE,11.0,22.0,54.0,18.0,1016.7,1013.1,23.3,31.5,0,0
Darwin,19.6,30.8,0.0,ESE,54.0,SE,ESE,20.0,33.0,36.0,12.0,1018.2,1014.6,22.3,30.2,0,0
Darwin,17.3,29.2,0.0,ESE,50.0,SE,ESE,31.0,24.0,26.0,15.0,1019.1,1015.2,20.3,28.6,0,0
Darwin,17.1,30.3,0.0,ESE,48.0,SE,ESE,17.0,13.0,33.0,14.0,1018.3,1013.2,19.5,28.8,0,0
Darwin,17.7,30.6,0.0,E,41.0,ESE,NE,20.0,11.0,21.0,11.0,1015.7,1011.0,22.4,30.0,0,0
Darwin,14.7,30.9,0.0,NE,35.0,E,WSW,13.0,15.0,43.0,40.0,1014.5,1010.6,22.2,29.0,0,0
Darwin,18.7,31.3,0.0,WNW,28.0,SSE,NW,13.0,22.0,75.0,42.0,1015.8,1012.1,22.7,29.9,0,0
Darwin,18.8,31.0,0.0,ENE,33.0,ESE,NNW,7.0,20.0,69.0,56.0,1015.8,1012.1,25.3,28.7,0,0
Darwin,21.4,33.1,0.0,ESE,41.0,SE,NNW,9.0,20.0,64.0,45.0,1014.9,1010.5,26.5,30.2,0,0
Darwin,18.7,33.5,0.0,ESE,41.0,SSE,ESE,15.0,22.0,71.0,32.0,1014.0,1009.7,25.1,32.3,0,0
Darwin,17.2,33.4,0.0,E,43.0,SE,ENE,15.0,20.0,41.0,15.0,1013.7,1009.4,24.8,32.7,0,0
Darwin,17.6,32.3,0.0,N,41.0,ESE,NNE,13.0,24.0,44.0,41.0,1013.4,1010.1,25.5,31.3,0,0
Darwin,21.4,29.9,0.0,WNW,26.0,E,NW,9.0,15.0,61.0,57.0,1013.3,1009.8,26.9,29.9,0,0
Darwin,21.9,31.4,0.0,NW,35.0,S,NW,7.0,22.0,83.0,72.0,1013.6,1010.0,25.2,28.3,0,0
Darwin,21.4,32.7,0.0,SE,41.0,SE,NW,22.0,22.0,70.0,36.0,1012.2,1009.0,24.0,30.9,0,0
Darwin,22.5,32.5,0.0,ESE,52.0,SE,SSE,26.0,19.0,30.0,28.0,1012.8,1009.1,24.8,31.8,0,0
Darwin,21.4,30.9,0.0,SE,52.0,SE,SE,31.0,26.0,30.0,20.0,1014.4,1010.7,22.9,30.3,0,0
Darwin,17.3,29.1,0.0,SE,44.0,SE,S,28.0,15.0,27.0,19.0,1014.5,1010.3,20.5,28.3,0,0
Darwin,15.9,29.3,0.0,ESE,43.0,SE,SSE,24.0,17.0,24.0,13.0,1015.0,1010.8,19.5,28.4,0,0
Darwin,14.6,30.2,0.0,E,41.0,ESE,SE,17.0,15.0,32.0,8.0,1014.4,1010.7,19.8,29.7,0,0
Darwin,12.5,31.3,0.0,NNW,28.0,S,NNW,4.0,19.0,60.0,37.0,1014.9,1011.2,21.7,27.4,0,0
Darwin,15.5,30.0,0.0,N,33.0,E,NW,2.0,20.0,70.0,56.0,1014.6,1011.3,23.9,27.9,0,0
Darwin,17.4,31.6,0.0,E,33.0,SSE,NNW,11.0,19.0,68.0,33.0,1015.0,1010.6,24.9,29.5,0,0
Darwin,18.9,28.7,0.0,NW,35.0,S,NW,7.0,22.0,95.0,54.0,1015.8,1011.7,20.6,27.6,0,0
Darwin,17.4,30.3,0.0,E,33.0,ENE,NNW,17.0,22.0,66.0,54.0,1016.7,1012.6,22.9,27.1,0,0
Darwin,17.3,32.0,0.0,SSE,33.0,SE,N,13.0,28.0,67.0,50.0,1015.5,1011.8,23.4,29.5,0,0
Darwin,18.1,32.2,0.0,E,44.0,E,ESE,15.0,24.0,78.0,23.0,1015.5,1011.2,23.7,32.0,0,0
Darwin,18.8,34.1,0.0,ESE,54.0,ESE,E,17.0,33.0,64.0,11.0,1015.6,1010.9,23.1,33.5,0,0
Darwin,17.5,34.7,0.0,ESE,52.0,S,WNW,11.0,28.0,77.0,45.0,1016.2,1011.8,23.3,29.3,0,0
Darwin,17.6,32.6,0.0,E,46.0,SE,ENE,15.0,24.0,84.0,21.0,1015.7,1011.9,23.1,31.8,0,0
Darwin,18.4,32.3,0.0,ESE,50.0,ESE,E,24.0,24.0,33.0,18.0,1016.3,1012.0,22.7,31.3,0,0
Darwin,16.6,31.7,0.0,E,41.0,ESE,NW,15.0,24.0,32.0,18.0,1016.0,1011.7,21.2,30.7,0,0
Darwin,18.1,32.4,0.0,E,37.0,SE,E,15.0,17.0,36.0,25.0,1016.1,1011.9,22.6,30.9,0,0
Darwin,19.2,32.2,0.0,ESE,46.0,SE,WNW,26.0,20.0,21.0,15.0,1015.2,1011.6,22.4,31.0,0,0
Darwin,19.0,31.7,0.0,ESE,37.0,SE,WNW,20.0,19.0,21.0,24.0,1015.9,1012.1,22.8,30.1,0,0
Darwin,19.9,32.7,0.0,E,43.0,SE,NW,20.0,26.0,22.0,19.0,1016.5,1012.5,22.9,31.7,0,0
Darwin,19.8,32.0,0.0,NNE,31.0,SE,NNW,20.0,22.0,25.0,27.0,1015.9,1012.2,23.4,29.4,0,0
Darwin,19.8,33.8,0.0,N,41.0,SE,N,24.0,11.0,26.0,13.0,1014.7,1010.4,23.8,33.5,0,0
Darwin,20.5,31.5,0.0,ESE,43.0,ESE,NNW,30.0,17.0,15.0,13.0,1015.6,1012.5,23.6,30.8,0,0
Darwin,18.3,30.8,0.0,E,44.0,SE,SSE,26.0,24.0,18.0,8.0,1017.6,1013.7,21.7,29.8,0,0
Darwin,18.1,30.8,0.0,SE,46.0,SE,SE,31.0,17.0,13.0,9.0,1018.4,1014.7,21.1,29.5,0,0
Darwin,17.7,31.3,0.0,E,48.0,SE,N,20.0,15.0,24.0,20.0,1016.8,1013.2,21.5,30.5,0,0
Darwin,16.3,31.8,0.0,ENE,39.0,NE,NNE,13.0,22.0,50.0,37.0,1016.4,1013.0,24.7,30.7,0,0
Darwin,20.2,33.2,0.0,E,41.0,E,NNW,13.0,20.0,70.0,48.0,1016.9,1012.6,25.1,29.5,0,0
Darwin,19.4,34.7,0.0,E,52.0,SSE,ESE,17.0,19.0,67.0,25.0,1015.8,1010.8,24.7,33.2,0,0
Darwin,22.0,31.7,0.0,ESE,48.0,SE,SSE,24.0,20.0,17.0,15.0,1015.5,1011.3,22.1,30.1,0,0
Darwin,21.1,32.7,0.0,ESE,37.0,SE,SE,19.0,11.0,24.0,26.0,1016.1,1010.9,23.1,32.1,0,0
Darwin,20.9,32.9,0.0,ENE,48.0,E,NNE,22.0,31.0,54.0,43.0,1014.7,1010.1,27.3,31.6,0,0
Darwin,24.7,33.1,0.0,N,46.0,SSE,N,9.0,30.0,65.0,44.0,1013.9,1010.2,27.0,31.2,0,0
Darwin,22.0,34.2,0.0,NE,48.0,E,NNE,7.0,31.0,63.0,43.0,1014.1,1009.8,27.2,33.0,0,0
Darwin,22.6,32.9,0.0,NNW,33.0,NE,NNW,11.0,24.0,68.0,52.0,1013.8,1009.7,27.6,30.6,0,0
Darwin,22.4,33.0,0.0,NNE,48.0,NE,NNE,17.0,28.0,70.0,44.0,1012.9,1009.0,26.8,32.0,0,0
Darwin,22.7,32.8,0.0,E,41.0,ENE,N,15.0,28.0,62.0,47.0,1013.4,1009.3,27.4,30.9,0,0
Darwin,22.1,32.4,0.0,NE,33.0,E,NNW,6.0,24.0,72.0,55.0,1014.4,1010.0,27.0,30.9,0,0
