Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
Katherine,24.7,34.6,0.0,WNW,43.0,NW,W,17.0,19.0,74.0,49.0,1008.5,1005.0,28.7,34.1,0,0
Katherine,25.2,31.1,0.8,WNW,26.0,WNW,SW,11.0,7.0,88.0,77.0,1008.6,1004.1,27.0,29.0,0,0
Katherine,25.4,35.9,0.0,S,48.0,WSW,SW,13.0,15.0,82.0,55.0,1004.1,999.6,29.2,35.1,0,1
Katherine,21.6,33.0,81.0,W,37.0,NW,WNW,13.0,20.0,95.0,64.0,1005.1,1002.0,25.1,31.2,1,0
Katherine,24.5,35.7,0.0,NW,26.0,WNW,W,17.0,11.0,81.0,49.0,1008.4,1004.8,28.0,35.0,0,0
Katherine,25.2,36.5,0.0,NNW,39.0,W,N,9.0,9.0,77.0,50.0,1009.3,1004.3,28.5,35.2,0,1
Katherine,21.7,32.8,6.6,SSE,61.0,ESE,WNW,22.0,13.0,93.0,63.0,1009.8,1003.9,22.6,31.4,1,0
Katherine,21.7,35.9,0.4,SSW,46.0,W,S,9.0,9.0,85.0,53.0,1007.7,1002.3,28.5,34.8,0,1
Katherine,23.4,34.6,6.6,SSE,31.0,S,SSE,4.0,15.0,83.0,54.0,1007.1,1003.0,27.7,34.5,1,0
Katherine,23.2,37.3,0.0,NE,59.0,WNW,WNW,13.0,15.0,78.0,48.0,1007.8,1004.2,28.0,35.8,0,0
Katherine,22.9,37.0,0.0,NW,30.0,NNW,WSW,13.0,13.0,76.0,55.0,1008.5,1004.9,27.0,35.2,0,0
Katherine,25.1,37.5,0.0,E,74.0,WNW,W,20.0,11.0,77.0,47.0,1011.2,1007.2,29.5,36.2,0,0
Katherine,23.0,36.8,3.2,ENE,24.0,NNW,E,9.0,9.0,75.0,38.0,1011.4,1007.7,28.2,36.0,1,0
Katherine,22.9,37.0,0.0,WNW,22.0,NW,E,4.0,7.0,74.0,40.0,1011.1,1007.1,28.8,36.3,0,0
Katherine,22.6,37.0,0.0,NE,35.0,N,WSW,11.0,9.0,67.0,41.0,1011.2,1007.2,30.0,36.1,0,0
Katherine,24.8,37.5,0.0,SE,22.0,NW,NNW,15.0,6.0,65.0,35.0,1012.3,1007.7,29.8,36.8,0,0
Katherine,23.8,36.5,0.0,NE,28.0,NE,E,11.0,17.0,66.0,43.0,1011.5,1007.3,30.0,35.2,0,0
Katherine,24.4,32.5,0.0,E,43.0,SE,SE,15.0,11.0,69.0,77.0,1010.4,1006.5,29.7,30.0,0,1
Katherine,23.5,32.7,0.8,ENE,43.0,ESE,ESE,13.0,20.0,82.0,57.0,1008.0,1003.8,26.7,32.0,0,1
Katherine,24.8,33.8,3.4,ESE,43.0,E,ESE,19.0,26.0,87.0,88.0,1006.7,1002.6,26.0,28.1,1,1
Katherine,23.7,33.8,117.6,ESE,35.0,E,ESE,15.0,15.0,98.0,98.0,1006.4,1003.1,25.1,25.4,1,1
Katherine,23.2,29.6,79.4,NE,43.0,ENE,ENE,19.0,15.0,91.0,92.0,1006.5,1003.7,26.0,27.0,1,1
Katherine,22.5,33.6,0.0,E,37.0,E,ENE,9.0,13.0,86.0,55.0,1011.9,1008.1,26.1,31.5,0,1
Katherine,24.1,33.5,6.0,ESE,28.0,SE,ESE,7.0,15.0,87.0,52.0,1010.9,1007.7,26.5,32.5,1,0
Katherine,22.9,34.3,0.0,NE,59.0,ESE,E,13.0,19.0,64.0,48.0,1011.2,1007.0,27.8,34.0,0,0
Katherine,23.6,34.6,0.8,ENE,33.0,ENE,E,15.0,13.0,78.0,48.0,1010.9,1007.9,28.2,33.9,0,0
Katherine,23.9,33.0,0.0,SE,39.0,ESE,ESE,17.0,19.0,81.0,60.0,1011.6,1007.8,27.0,31.9,0,0
Katherine,22.6,34.4,0.0,E,39.0,ESE,ESE,17.0,19.0,78.0,53.0,1010.3,1007.5,27.3,32.5,0,0
Katherine,21.6,34.3,0.0,E,46.0,ESE,E,11.0,24.0,74.0,43.0,1011.0,1008.2,27.0,33.3,0,0
Katherine,21.8,35.2,0.0,E,35.0,SSE,ESE,15.0,17.0,81.0,36.0,1011.7,1007.9,27.5,34.6,0,0
Katherine,20.6,34.3,0.0,ESE,44.0,SE,SE,19.0,19.0,53.0,30.0,1009.8,1006.5,26.8,33.9,0,0
