Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
MelbourneAirport,11.2,19.9,0.0,SW,69.0,W,SW,33.0,43.0,55.0,37.0,1005.1,1006.4,15.9,18.1,0,1
MelbourneAirport,7.8,17.8,1.2,SSE,56.0,SW,SSE,31.0,26.0,50.0,43.0,1018.0,1019.3,12.5,15.8,1,0
MelbourneAirport,6.3,21.1,0.0,SSE,31.0,E,S,13.0,19.0,51.0,35.0,1020.8,1017.6,13.4,19.6,0,0
MelbourneAirport,8.1,29.2,0.0,SSE,35.0,NE,SSE,2.0,20.0,67.0,23.0,1016.2,1012.8,16.0,28.2,0,0
MelbourneAirport,9.7,29.0,0.0,SE,33.0,SW,SSE,9.0,20.0,51.0,31.0,1011.9,1010.3,19.4,27.1,0,0
MelbourneAirport,13.5,31.7,0.0,SSE,50.0,NNE,S,11.0,28.0,50.0,34.0,1010.7,1007.7,21.3,29.8,0,0
MelbourneAirport,15.8,21.4,0.2,S,46.0,SSW,SSE,17.0,28.0,98.0,67.0,1010.0,1009.9,16.0,19.9,0,0
MelbourneAirport,9.7,18.4,0.2,SE,56.0,SSW,SSE,28.0,35.0,51.0,42.0,1017.4,1018.9,14.5,17.7,0,0
MelbourneAirport,10.2,19.7,0.0,S,43.0,SSE,S,19.0,28.0,51.0,42.0,1021.4,1018.0,14.2,19.3,0,0
MelbourneAirport,10.7,23.6,0.0,S,43.0,WSW,S,7.0,24.0,76.0,46.0,1013.8,1010.3,14.5,21.8,0,0
MelbourneAirport,10.7,23.5,0.0,S,41.0,SW,SSE,9.0,17.0,77.0,52.0,1012.0,1009.7,14.8,23.0,0,0
MelbourneAirport,10.4,25.1,0.0,SSE,26.0,SSW,SE,11.0,17.0,73.0,47.0,1018.6,1017.4,15.3,22.4,0,0
MelbourneAirport,11.5,37.1,0.0,N,52.0,N,NNW,35.0,22.0,39.0,12.0,1013.8,1010.0,25.0,35.1,0,0
MelbourneAirport,24.9,33.5,0.0,N,57.0,N,S,35.0,24.0,12.0,45.0,1007.5,1009.4,31.2,24.8,0,0
MelbourneAirport,13.8,23.1,0.0,SW,44.0,SW,SE,28.0,22.0,56.0,44.0,1015.8,1014.5,16.5,21.4,0,0
MelbourneAirport,12.7,21.6,0.0,WSW,61.0,SW,S,28.0,28.0,59.0,33.0,1017.4,1018.4,15.5,19.8,0,0
MelbourneAirport,12.5,19.8,0.0,S,41.0,SSE,S,28.0,26.0,50.0,44.0,1022.7,1022.7,14.5,18.8,0,0
MelbourneAirport,7.5,26.3,0.0,SSE,31.0,SE,SSE,7.0,20.0,67.0,32.0,1021.9,1019.0,14.7,24.5,0,0
MelbourneAirport,11.9,37.0,0.0,N,54.0,N,WNW,28.0,22.0,22.0,7.0,1013.6,1009.0,26.3,35.3,0,0
MelbourneAirport,18.4,40.2,0.0,SW,100.0,N,SSE,37.0,37.0,18.0,26.0,1005.6,1006.0,29.5,29.3,0,0
MelbourneAirport,12.8,28.8,0.0,S,37.0,NE,SSE,9.0,24.0,73.0,40.0,1010.4,1006.6,17.6,27.3,0,0
MelbourneAirport,15.1,35.6,0.0,W,94.0,NNW,NW,41.0,46.0,57.0,9.0,998.1,994.2,27.1,34.7,0,0
MelbourneAirport,9.8,32.3,0.0,WNW,59.0,N,NW,9.0,24.0,46.0,11.0,1008.1,1002.9,16.7,28.9,0,0
MelbourneAirport,15.3,24.2,0.0,WSW,54.0,WSW,WSW,30.0,30.0,55.0,24.0,1008.1,1011.6,17.1,22.7,0,0
MelbourneAirport,9.2,29.0,0.0,S,39.0,NNE,SE,7.0,24.0,54.0,18.0,1018.3,1016.4,16.9,28.0,0,0
MelbourneAirport,11.4,24.8,0.0,SSE,46.0,SSE,SSE,13.0,26.0,72.0,46.0,1022.3,1020.8,16.7,23.8,0,0
MelbourneAirport,14.9,36.0,0.0,N,37.0,NNE,SSE,7.0,26.0,71.0,22.0,1017.8,1014.0,19.1,34.2,0,0
MelbourneAirport,16.6,43.1,0.0,N,50.0,N,NNW,24.0,15.0,18.0,7.0,1012.3,1009.3,31.2,41.6,0,0
MelbourneAirport,30.5,44.2,0.0,N,59.0,N,N,39.0,26.0,15.0,10.0,1011.2,1009.6,35.4,42.4,0,0
MelbourneAirport,23.9,44.2,0.0,N,50.0,N,N,15.0,22.0,23.0,8.0,1012.2,1009.3,33.9,42.9,0,0
MelbourneAirport,19.6,31.6,0.0,SSW,46.0,SW,S,7.0,26.0,52.0,39.0,1013.7,1014.3,25.0,30.9,0,0
MelbourneAirport,18.1,34.1,0.0,SSW,39.0,SSW,ESE,11.0,11.0,75.0,46.0,1016.8,1012.5,20.8,31.7,0,0
MelbourneAirport,18.7,28.8,0.0,S,37.0,WSW,S,7.0,26.0,81.0,55.0,1012.4,1010.3,20.8,27.1,0,0
MelbourneAirport,18.8,28.7,0.0,SSW,52.0,S,S,15.0,28.0,86.0,43.0,1013.2,1010.7,20.3,27.9,0,0
MelbourneAirport,17.9,31.6,0.0,S,35.0,NNE,S,4.0,17.0,72.0,40.0,1009.1,1006.4,20.5,29.6,0,0
MelbourneAirport,17.0,32.2,0.0,SSE,39.0,WSW,SSE,11.0,24.0,50.0,52.0,1005.7,1007.6,24.9,25.6,0,0
MelbourneAirport,17.6,33.5,0.0,S,44.0,SSE,SSE,11.0,19.0,73.0,39.0,1010.6,1007.3,18.9,29.0,0,0
MelbourneAirport,18.8,46.8,0.0,SW,83.0,N,NW,54.0,39.0,21.0,10.0,1003.1,998.8,32.7,46.1,0,1
MelbourneAirport,16.9,20.9,1.8,S,44.0,SW,SSE,20.0,28.0,74.0,59.0,1012.6,1014.0,18.4,20.0,1,0
MelbourneAirport,14.3,20.3,0.2,SSE,56.0,SSE,S,33.0,35.0,48.0,38.0,1016.6,1016.4,15.7,17.8,0,0
MelbourneAirport,11.5,19.7,0.2,SSE,54.0,SSW,S,26.0,33.0,46.0,37.0,1017.0,1017.0,14.5,17.1,0,1
MelbourneAirport,11.6,17.7,1.8,SSE,54.0,S,S,31.0,33.0,56.0,44.0,1019.1,1019.2,13.8,16.7,1,1
MelbourneAirport,12.9,22.9,1.2,SSE,57.0,S,SE,17.0,35.0,78.0,35.0,1021.2,1020.5,14.8,22.0,1,0
MelbourneAirport,6.9,26.4,0.0,S,43.0,W,SSE,13.0,11.0,65.0,22.0,1025.7,1023.2,12.8,24.3,0,0
MelbourneAirport,10.5,27.3,0.0,SSE,41.0,W,SE,7.0,26.0,59.0,26.0,1022.8,1019.3,16.0,26.4,0,0
MelbourneAirport,11.8,27.5,0.0,S,54.0,SW,S,2.0,28.0,82.0,32.0,1018.6,1016.4,15.7,25.9,0,0
MelbourneAirport,13.2,29.0,0.0,SSW,37.0,SW,SSW,7.0,22.0,77.0,33.0,1019.5,1016.2,17.4,27.5,0,0
MelbourneAirport,13.0,31.2,0.0,N,37.0,NNE,S,20.0,19.0,35.0,20.0,1016.5,1013.5,21.4,30.4,0,0
