Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
Mildura,13.8,27.4,0.0,SSW,56.0,SW,WSW,17.0,31.0,51.0,24.0,1009.8,1008.5,19.2,26.0,0,0
Mildura,8.9,24.8,0.0,S,39.0,SSE,SSE,24.0,15.0,39.0,21.0,1019.8,1017.7,14.1,23.3,0,0
Mildura,10.6,28.6,0.0,ESE,30.0,E,SW,20.0,9.0,39.0,18.0,1019.2,1016.0,17.0,27.1,0,0
Mildura,13.2,34.5,0.0,NNW,26.0,E,NW,9.0,17.0,24.0,9.0,1014.2,1012.1,24.1,32.8,0,0
Mildura,16.5,37.3,0.0,WSW,37.0,SSE,WNW,11.0,13.0,37.0,7.0,1013.7,1010.8,23.7,35.6,0,0
Mildura,15.7,39.2,0.0,W,37.0,SSE,W,9.0,15.0,34.0,6.0,1011.8,1007.7,23.3,37.8,0,0
Mildura,17.0,32.3,0.0,WSW,48.0,SSW,SW,11.0,26.0,67.0,22.0,1010.0,1008.7,19.9,31.5,0,0
Mildura,12.9,27.3,0.0,SSE,46.0,SSE,SSW,24.0,17.0,50.0,20.0,1018.3,1017.0,16.1,24.7,0,0
Mildura,12.3,27.8,0.0,SE,35.0,SE,ESE,20.0,17.0,43.0,14.0,1019.1,1014.8,15.7,26.4,0,0
Mildura,12.7,32.2,0.0,SW,52.0,SSE,SE,13.0,11.0,35.0,11.0,1010.9,1008.0,19.1,30.4,0,0
Mildura,15.4,33.4,0.0,WSW,56.0,SW,SW,11.0,17.0,53.0,14.0,1010.0,1008.9,18.5,32.0,0,0
Mildura,15.3,34.4,0.0,SSE,50.0,SSE,S,17.0,20.0,40.0,9.0,1016.6,1013.9,19.7,33.0,0,0
Mildura,17.7,40.4,0.0,N,35.0,NE,N,13.0,6.0,22.0,9.0,1012.7,1009.4,28.0,38.7,0,0
Mildura,22.3,42.4,0.0,W,41.0,N,WNW,11.0,20.0,13.0,7.0,1009.1,1007.6,31.4,41.4,0,0
Mildura,16.4,29.7,0.0,S,52.0,S,SSW,24.0,20.0,51.0,23.0,1016.8,1015.8,18.4,25.9,0,0
Mildura,12.8,29.8,0.0,SSW,48.0,S,SSW,24.0,20.0,53.0,21.0,1021.3,1018.3,16.8,27.6,0,0
Mildura,12.0,28.6,0.0,SSE,43.0,SE,SSE,17.0,20.0,45.0,15.0,1022.8,1019.5,15.5,25.7,0,0
Mildura,15.4,32.7,0.0,SE,28.0,SE,SE,15.0,13.0,30.0,12.0,1019.0,1016.0,19.6,30.0,0,0
Mildura,17.2,39.0,0.0,WNW,26.0,NNE,N,9.0,9.0,24.0,8.0,1012.5,1008.8,27.2,36.8,0,0
Mildura,20.1,42.3,0.0,NW,46.0,NNE,NW,9.0,20.0,19.0,4.0,1007.1,1005.2,28.7,41.3,0,0
Mildura,19.2,36.7,0.0,WNW,54.0,SSE,WNW,4.0,11.0,44.0,18.0,1010.7,1007.0,23.2,34.5,0,0
Mildura,22.9,38.3,0.8,W,78.0,NW,WNW,28.0,31.0,63.0,8.0,1002.8,1000.8,27.6,37.1,0,0
Mildura,14.8,36.4,0.0,WNW,41.0,S,WNW,13.0,15.0,41.0,24.0,1008.3,1003.8,19.7,33.3,0,0
Mildura,18.6,30.3,0.0,SW,39.0,SSW,SSW,22.0,13.0,53.0,24.0,1011.5,1011.9,19.9,27.1,0,0
Mildura,14.7,34.7,0.0,ESE,30.0,SE,SSE,11.0,9.0,36.0,12.0,1017.3,1015.8,19.8,32.4,0,0
Mildura,17.7,38.0,0.0,SE,35.0,SE,ESE,19.0,17.0,38.0,9.0,1018.6,1016.1,22.2,35.7,0,0
Mildura,19.6,41.5,0.0,SE,26.0,E,E,15.0,11.0,28.0,8.0,1014.9,1011.9,25.9,40.0,0,0
Mildura,25.3,43.7,0.0,NNW,50.0,N,NNW,24.0,13.0,23.0,14.0,1011.0,1008.4,34.6,42.4,0,0
Mildura,25.6,42.8,0.0,NNE,44.0,N,N,19.0,19.0,22.0,11.0,1011.9,1009.7,34.2,42.3,0,0
Mildura,24.8,43.3,0.0,N,35.0,N,SSW,17.0,11.0,18.0,12.0,1011.5,1008.7,33.9,41.9,0,0
Mildura,26.7,44.1,0.0,NNE,33.0,N,NNE,11.0,9.0,20.0,9.0,1011.8,1009.2,32.6,42.4,0,0
Mildura,24.6,42.9,0.0,SSE,33.0,ESE,NNW,15.0,13.0,42.0,11.0,1012.3,1009.3,28.1,41.5,0,0
Mildura,24.6,42.6,0.0,SSE,24.0,S,S,9.0,20.0,50.0,13.0,1009.8,1007.0,26.5,41.6,0,0
Mildura,24.8,40.1,0.0,SSW,31.0,SSE,SE,17.0,11.0,46.0,22.0,1009.5,1006.1,27.5,38.2,0,0
Mildura,22.5,40.9,0.0,NNW,35.0,S,NW,9.0,19.0,37.0,13.0,1007.0,1003.7,27.7,39.6,0,0
Mildura,20.1,41.1,0.0,S,44.0,SSW,S,13.0,19.0,41.0,12.0,1006.4,1004.5,25.4,39.5,0,0
Mildura,22.5,43.1,0.0,S,33.0,ENE,NNW,11.0,15.0,38.0,12.0,1008.4,1005.2,27.5,41.4,0,0
Mildura,26.1,46.7,0.0,NNW,56.0,NNE,NW,24.0,31.0,11.0,10.0,1004.4,1002.9,36.4,46.1,0,0
Mildura,22.2,34.6,0.0,SSW,44.0,S,S,19.0,17.0,44.0,22.0,1011.0,1010.3,23.3,33.5,0,0
Mildura,14.8,26.6,0.0,SSE,46.0,SSE,S,30.0,24.0,49.0,19.0,1016.7,1014.5,16.3,24.1,0,0
Mildura,12.0,24.5,0.0,SSE,48.0,SSE,S,22.0,24.0,49.0,19.0,1018.7,1016.4,14.4,22.2,0,0
Mildura,10.2,24.6,0.0,S,52.0,S,S,24.0,28.0,57.0,20.0,1020.1,1017.3,13.3,22.8,0,0
Mildura,10.8,27.3,0.0,SSE,48.0,S,SSE,22.0,24.0,60.0,22.0,1019.9,1016.8,13.4,24.7,0,0
Mildura,13.3,26.9,0.0,ESE,50.0,SE,ESE,24.0,28.0,54.0,35.0,1020.6,1018.6,17.2,25.0,0,0
Mildura,17.0,30.3,0.0,ENE,39.0,ENE,SE,22.0,24.0,46.0,29.0,1020.4,1017.3,20.1,28.0,0,0
Mildura,17.3,31.1,0.0,S,33.0,SW,SSE,4.0,15.0,51.0,20.0,1015.3,1013.3,19.1,30.4,0,0
Mildura,18.5,32.4,0.0,ESE,43.0,SE,ESE,13.0,24.0,45.0,21.0,1015.7,1013.2,23.0,30.8,0,0
Mildura,18.2,33.2,0.0,ESE,41.0,NE,ESE,19.0,26.0,47.0,19.0,1013.8,1011.8,23.5,31.2,0,0
