Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
Moree,16.4,38.7,0.0,NW,54.0,N,WNW,15.0,28.0,27.0,11.0,1005.5,1003.3,28.9,37.4,0,0
Moree,22.3,30.3,0.0,NNE,30.0,NNE,N,19.0,15.0,68.0,40.0,1009.5,1009.0,25.2,29.4,0,0
Moree,21.2,33.3,0.0,ENE,46.0,ENE,ENE,22.0,22.0,57.0,31.0,1014.9,1012.2,24.5,32.7,0,0
Moree,16.4,33.5,0.0,ENE,39.0,NE,ENE,20.0,20.0,51.0,28.0,1016.9,1012.2,22.9,31.9,0,0
Moree,19.2,34.5,0.0,SE,35.0,ENE,S,19.0,11.0,44.0,22.0,1015.1,1010.6,24.2,32.9,0,0
Moree,21.3,36.8,0.0,SSE,33.0,NNE,NE,24.0,9.0,54.0,26.0,1013.6,1009.1,25.4,34.6,0,0
Moree,22.2,34.5,0.0,NNE,39.0,NNE,N,26.0,7.0,56.0,23.0,1012.7,1008.5,25.2,32.5,0,0
Moree,23.7,36.4,0.0,ENE,46.0,NNE,ENE,24.0,9.0,46.0,31.0,1009.6,1007.0,26.3,34.3,0,0
Moree,20.4,34.3,0.0,SSW,69.0,E,SE,26.0,7.0,53.0,31.0,1011.2,1008.0,26.3,32.1,0,1
Moree,18.2,33.0,3.4,SW,76.0,NNE,NNE,24.0,13.0,56.0,37.0,1011.2,1008.0,22.5,30.3,1,0
Moree,21.5,34.6,0.0,ENE,41.0,NNE,NE,26.0,11.0,55.0,26.0,1013.3,1010.1,25.5,33.7,0,0
Moree,21.2,35.9,0.0,ENE,43.0,ENE,E,19.0,15.0,47.0,19.0,1016.3,1012.3,25.4,34.3,0,0
Moree,19.5,35.0,0.0,NE,39.0,NE,NE,24.0,11.0,47.0,24.0,1016.8,1012.7,24.3,33.0,0,0
Moree,20.5,36.1,0.0,NNE,43.0,NNE,NNE,30.0,11.0,48.0,24.0,1015.5,1011.4,24.4,33.2,0,0
Moree,21.1,40.1,0.0,WSW,48.0,N,NW,22.0,17.0,32.0,15.0,1011.5,1007.6,28.1,38.2,0,0
Moree,15.0,35.6,0.0,E,57.0,SSE,WSW,9.0,24.0,32.0,11.0,1011.7,1009.4,25.6,34.2,0,0
Moree,18.5,33.3,0.0,ENE,48.0,NE,E,24.0,11.0,51.0,36.0,1018.1,1014.4,22.4,30.7,0,0
Moree,19.7,31.6,0.0,NE,52.0,NE,N,30.0,17.0,52.0,35.0,1017.8,1013.4,22.5,30.7,0,0
Moree,22.1,33.6,0.0,NNE,44.0,NNE,N,30.0,11.0,48.0,29.0,1016.6,1012.7,24.6,32.2,0,0
Moree,23.8,32.5,0.0,SSW,76.0,NE,N,28.0,11.0,54.0,36.0,1014.8,1011.7,25.1,31.3,0,1
Moree,20.5,24.5,47.6,NNE,48.0,NE,NNE,26.0,31.0,97.0,95.0,1012.4,1009.3,21.1,22.5,1,1
Moree,21.1,32.1,23.0,NE,22.0,NNE,N,13.0,9.0,86.0,54.0,1011.4,1008.7,24.3,31.2,1,0
Moree,23.2,35.5,0.0,NNE,28.0,N,WNW,15.0,11.0,79.0,47.0,1010.1,1007.4,27.0,34.2,0,0
Moree,24.4,36.0,0.0,SW,57.0,NNE,NNE,13.0,37.0,68.0,48.0,1011.1,1009.5,28.8,32.7,0,1
Moree,22.7,34.4,5.4,SE,43.0,NE,ESE,22.0,9.0,69.0,46.0,1015.7,1012.8,27.0,33.3,1,0
Moree,21.3,33.4,0.0,ENE,44.0,E,E,20.0,13.0,53.0,38.0,1017.3,1014.2,26.7,31.1,0,0
Moree,20.3,33.7,0.0,NE,41.0,ENE,ESE,13.0,15.0,58.0,36.0,1016.2,1013.0,25.9,31.5,0,0
Moree,19.1,33.6,0.0,E,61.0,E,ENE,17.0,13.0,56.0,28.0,1016.9,1013.1,24.9,32.4,0,0
Moree,20.2,33.6,0.0,NE,48.0,ENE,NNE,24.0,20.0,54.0,33.0,1017.0,1012.7,24.5,31.5,0,0
Moree,19.6,33.7,0.0,E,44.0,ENE,E,19.0,17.0,59.0,28.0,1017.4,1013.2,25.1,32.9,0,0
Moree,19.5,35.1,0.0,ENE,48.0,NE,ESE,17.0,17.0,56.0,32.0,1015.0,1010.9,25.4,33.2,0,0
Moree,21.1,33.4,0.0,NE,33.0,E,NE,22.0,9.0,54.0,40.0,1012.9,1008.9,26.5,31.4,0,0
Moree,20.4,34.7,0.0,ENE,52.0,NNE,ESE,17.0,15.0,57.0,32.0,1010.4,1006.7,24.8,33.0,0,0
Moree,20.3,35.0,0.0,NNE,37.0,NE,ESE,24.0,7.0,61.0,36.0,1008.9,1005.8,26.0,32.8,0,0
Moree,22.1,36.8,0.0,NNE,35.0,NNE,SSE,17.0,17.0,60.0,29.0,1008.9,1005.5,25.4,34.3,0,0
Moree,22.8,37.4,0.0,NNE,33.0,N,SSE,17.0,13.0,63.0,22.0,1010.4,1008.1,25.9,35.1,0,0
Moree,19.7,36.1,0.0,ENE,44.0,NE,ENE,20.0,15.0,55.0,22.0,1014.4,1010.4,24.8,34.3,0,0
Moree,19.8,36.1,0.0,N,30.0,N,NE,19.0,7.0,63.0,25.0,1012.4,1008.4,24.0,34.0,0,0
Moree,20.0,40.5,0.0,W,31.0,ENE,W,11.0,9.0,33.0,13.0,1008.9,1005.4,28.0,38.2,0,0
Moree,27.3,37.6,0.0,N,59.0,NNE,NNW,28.0,22.0,42.0,24.0,1007.1,1003.5,29.5,36.9,0,1
Moree,20.8,31.9,7.0,WSW,48.0,WSW,WSW,11.0,24.0,47.0,23.0,1006.1,1005.1,23.2,30.8,1,0
Moree,16.1,33.4,0.0,NE,54.0,E,N,26.0,11.0,53.0,22.0,1010.5,1007.6,23.0,32.1,0,0
Moree,19.4,25.5,0.0,E,69.0,E,E,30.0,39.0,59.0,57.0,1014.9,1013.0,22.3,22.1,0,1
Moree,16.6,20.0,29.2,E,56.0,SE,ESE,24.0,39.0,93.0,85.0,1011.9,1009.2,17.8,19.8,1,1
Moree,16.9,25.5,51.4,SE,37.0,E,WSW,15.0,13.0,93.0,67.0,1007.8,1006.9,18.0,23.7,1,0
Moree,17.9,28.4,0.0,ESE,57.0,E,ESE,13.0,39.0,70.0,53.0,1009.5,1006.8,21.2,27.0,0,1
Moree,17.4,27.9,55.8,E,35.0,ESE,E,24.0,4.0,94.0,56.0,1008.9,1007.5,18.5,26.3,1,0
Moree,18.5,30.0,0.0,SW,52.0,NE,N,13.0,7.0,74.0,55.0,1008.3,1004.3,24.1,29.1,0,0
Moree,19.4,31.4,0.0,W,28.0,NE,WSW,13.0,15.0,79.0,49.0,1007.7,1005.8,23.3,30.9,0,0
Moree,19.6,31.8,0.0,E,33.0,N,NW,11.0,9.0,78.0,55.0,1010.2,1008.3,25.2,30.1,0,0
Moree,19.7,32.4,0.0,SSW,48.0,NE,ENE,13.0,9.0,78.0,48.0,1011.3,1008.7,23.2,30.4,0,0
Moree,19.8,32.6,0.0,ENE,41.0,ENE,ENE,20.0,9.0,67.0,40.0,1013.9,1012.1,24.0,31.0,0,0
Moree,19.1,32.1,0.0,ENE,33.0,E,N,17.0,9.0,68.0,37.0,1016.2,1013.4,23.7,31.2,0,0
Moree,19.6,32.4,0.0,NNE,30.0,NNE,NNE,15.0,13.0,65.0,39.0,1016.7,1014.0,23.3,30.9,0,0
Moree,21.9,31.6,0.0,SSE,46.0,N,NW,15.0,7.0,68.0,46.0,1016.4,1012.9,23.9,30.0,0,0
