Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
NorfolkIsland,20.4,25.8,0.0,NNW,31.0,NNW,NW,13.0,19.0,84.0,71.0,1014.5,1013.6,23.3,24.7,0,0
NorfolkIsland,20.9,26.7,0.2,N,31.0,NNE,NE,15.0,6.0,79.0,77.0,1016.3,1015.5,25.0,25.1,0,0
NorfolkIsland,22.3,26.3,0.0,E,35.0,ENE,SE,6.0,19.0,87.0,90.0,1014.6,1014.3,24.7,23.8,0,1
NorfolkIsland,21.6,22.2,1.2,ESE,41.0,ESE,ESE,20.0,22.0,92.0,95.0,1016.0,1015.3,22.1,21.2,1,1
NorfolkIsland,20.4,23.5,2.6,ESE,52.0,ESE,ESE,24.0,28.0,86.0,86.0,1015.3,1013.7,21.8,21.6,1,0
NorfolkIsland,20.4,24.4,0.0,E,48.0,ESE,ESE,30.0,24.0,84.0,79.0,1014.5,1012.7,21.4,23.3,0,0
NorfolkIsland,20.2,24.2,0.0,ESE,52.0,ESE,ESE,28.0,31.0,86.0,79.0,1014.1,1013.0,21.9,23.3,0,0
NorfolkIsland,20.5,24.0,0.0,E,52.0,ESE,SE,28.0,28.0,82.0,82.0,1011.5,1009.4,22.5,22.8,0,0
NorfolkIsland,20.9,22.0,0.0,SSE,61.0,SSE,SSE,28.0,33.0,92.0,95.0,1003.9,1000.4,21.9,21.6,0,1
NorfolkIsland,18.5,23.1,45.2,SE,81.0,SE,ESE,46.0,33.0,77.0,64.0,1001.7,1001.2,19.8,22.1,1,0
NorfolkIsland,19.7,22.8,0.4,SE,54.0,SE,SE,30.0,28.0,83.0,82.0,1006.4,1006.9,21.6,22.1,0,0
NorfolkIsland,19.8,23.8,0.0,SE,37.0,SE,SE,24.0,22.0,78.0,78.0,1011.2,1010.5,21.6,22.0,0,0
NorfolkIsland,19.2,23.2,0.0,SSE,35.0,S,SE,22.0,20.0,77.0,77.0,1011.4,1010.4,21.2,22.0,0,1
NorfolkIsland,17.3,22.5,1.6,SSE,46.0,SSE,SE,26.0,22.0,74.0,55.0,1013.2,1012.4,19.9,21.7,1,0
NorfolkIsland,18.5,23.6,0.0,SE,37.0,SSE,SE,24.0,24.0,64.0,69.0,1015.3,1015.0,21.4,22.4,0,0
NorfolkIsland,17.3,22.8,0.0,SSE,26.0,SE,SSE,13.0,15.0,63.0,61.0,1016.9,1016.2,21.3,21.6,0,0
NorfolkIsland,16.2,23.4,0.0,NW,30.0,WNW,N,13.0,13.0,65.0,62.0,1015.0,1013.4,21.0,22.1,0,1
NorfolkIsland,17.9,22.6,12.8,WSW,50.0,S,S,15.0,24.0,84.0,66.0,1014.6,1014.8,19.2,21.6,1,0
NorfolkIsland,16.5,22.5,0.0,SSE,31.0,SE,SSE,13.0,19.0,58.0,60.0,1018.7,1018.0,21.1,21.4,0,0
NorfolkIsland,17.0,23.0,0.0,E,35.0,SE,SE,17.0,19.0,60.0,62.0,1021.7,1021.4,21.1,22.0,0,0
NorfolkIsland,16.9,23.6,0.0,E,41.0,ESE,E,22.0,30.0,60.0,68.0,1022.9,1021.8,21.8,22.2,0,0
NorfolkIsland,19.3,24.0,0.0,E,46.0,ESE,ESE,26.0,26.0,78.0,71.0,1022.6,1020.5,22.1,22.7,0,0
NorfolkIsland,20.2,24.5,0.0,E,46.0,E,ENE,22.0,30.0,76.0,72.0,1020.8,1018.5,22.7,23.3,0,0
NorfolkIsland,20.1,25.1,0.0,E,52.0,ESE,E,28.0,31.0,83.0,72.0,1018.3,1016.7,22.7,24.1,0,0
NorfolkIsland,20.5,25.1,0.0,ENE,46.0,ENE,E,31.0,28.0,74.0,75.0,1018.1,1018.3,23.5,23.1,0,0
NorfolkIsland,19.6,24.7,0.0,E,41.0,ESE,E,20.0,26.0,73.0,67.0,1018.4,1016.9,22.6,23.0,0,0
NorfolkIsland,18.6,23.9,0.0,SSE,30.0,SE,SSE,15.0,22.0,68.0,65.0,1015.9,1015.0,21.5,22.7,0,0
NorfolkIsland,17.8,24.2,0.0,SSE,35.0,SE,ESE,19.0,15.0,76.0,71.0,1016.4,1016.1,21.8,22.6,0,0
NorfolkIsland,19.5,24.1,0.8,ESE,41.0,ESE,SE,22.0,22.0,70.0,66.0,1019.0,1018.4,22.2,23.0,0,0
NorfolkIsland,18.2,24.2,0.0,SE,41.0,SE,SE,22.0,26.0,64.0,63.0,1019.5,1018.3,22.3,23.5,0,0
NorfolkIsland,20.1,23.7,0.0,ESE,43.0,SE,ESE,24.0,26.0,74.0,70.0,1019.3,1017.6,22.0,22.1,0,1
NorfolkIsland,19.3,23.6,2.0,SE,37.0,ESE,SE,17.0,22.0,86.0,72.0,1015.7,1014.3,21.0,22.6,1,0
NorfolkIsland,19.9,24.2,0.2,SSE,35.0,SE,SE,17.0,22.0,79.0,75.0,1014.4,1013.1,21.9,23.5,0,0
NorfolkIsland,19.6,24.8,0.0,E,37.0,E,E,20.0,20.0,69.0,73.0,1013.6,1011.6,22.9,23.6,0,0
NorfolkIsland,20.0,25.0,0.0,E,35.0,SE,ESE,15.0,17.0,81.0,84.0,1011.5,1009.9,22.3,23.1,0,1
NorfolkIsland,21.5,22.1,1.8,ESE,44.0,ESE,ESE,26.0,22.0,95.0,95.0,1008.7,1006.1,21.8,21.7,1,1
NorfolkIsland,20.6,23.1,17.6,SE,67.0,SE,SE,28.0,39.0,92.0,96.0,1000.6,998.8,21.9,21.7,1,1
NorfolkIsland,21.5,25.5,3.8,SE,61.0,ESE,ENE,31.0,26.0,98.0,90.0,1003.1,1005.4,23.0,25.2,1,1
NorfolkIsland,22.2,26.8,6.0,N,43.0,NNE,N,19.0,26.0,87.0,80.0,1012.1,1012.6,24.7,25.8,1,0
NorfolkIsland,23.7,25.4,0.6,NNW,56.0,N,N,20.0,22.0,90.0,94.0,1014.2,1012.5,24.8,24.1,0,1
NorfolkIsland,22.2,26.3,20.6,NNW,33.0,NNW,WNW,15.0,20.0,85.0,80.0,1013.6,1012.3,24.3,25.5,1,0
NorfolkIsland,20.9,27.1,0.2,N,37.0,NE,NNE,17.0,17.0,87.0,86.0,1012.9,1010.9,23.6,25.6,0,0
NorfolkIsland,23.6,27.0,0.0,N,50.0,N,NW,28.0,24.0,87.0,87.0,1008.8,1008.3,25.2,26.2,0,1
NorfolkIsland,21.7,25.5,5.8,SE,44.0,SSE,SSE,22.0,22.0,80.0,74.0,1014.5,1015.2,23.1,24.1,1,0
