Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
Nuriootpa,13.3,22.7,0.0,WSW,61.0,SW,W,22.0,28.0,66.0,37.0,1010.4,1011.4,16.7,21.1,0,0
Nuriootpa,7.0,22.4,0.0,SE,41.0,ESE,ESE,20.0,17.0,47.0,25.0,1020.1,1017.8,13.7,20.8,0,0
Nuriootpa,10.5,28.9,0.0,SE,41.0,ENE,ESE,19.0,7.0,35.0,13.0,1018.0,1014.5,16.8,26.4,0,0
Nuriootpa,9.8,33.1,0.0,WSW,37.0,ENE,WNW,15.0,22.0,23.0,7.0,1014.1,1011.8,23.5,32.8,0,0
Nuriootpa,12.5,32.6,0.0,W,35.0,ESE,W,9.0,17.0,26.0,12.0,1015.0,1012.4,22.0,31.0,0,0
Nuriootpa,12.1,33.8,0.0,SW,50.0,NE,WSW,7.0,22.0,23.0,14.0,1012.1,1008.9,24.3,32.5,0,0
Nuriootpa,9.0,23.3,0.0,SE,43.0,SSE,SSE,17.0,20.0,49.0,29.0,1019.3,1018.4,16.0,21.8,0,0
Nuriootpa,9.8,24.9,0.0,SE,46.0,E,ENE,22.0,13.0,43.0,22.0,1018.6,1014.7,14.3,22.3,0,0
Nuriootpa,12.0,29.4,0.0,SSE,41.0,ESE,NNE,13.0,9.0,43.0,15.0,1012.1,1008.9,18.4,27.8,0,0
Nuriootpa,11.2,28.3,0.0,SE,52.0,SE,SW,11.0,20.0,61.0,20.0,1012.1,1010.3,17.4,27.6,0,0
Nuriootpa,13.0,32.4,0.0,SE,44.0,E,N,20.0,7.0,47.0,19.0,1016.9,1014.1,19.0,30.0,0,0
Nuriootpa,17.9,40.3,0.0,NNW,48.0,N,NW,20.0,33.0,11.0,4.0,1011.3,1008.2,31.0,38.7,0,0
Nuriootpa,17.2,34.8,0.0,WNW,35.0,NW,WNW,2.0,17.0,75.0,19.0,1012.0,1009.8,20.6,33.8,0,0
Nuriootpa,10.8,27.3,0.0,SSW,39.0,SSW,SSW,11.0,17.0,61.0,25.0,1018.5,1017.2,16.8,26.4,0,0
Nuriootpa,7.9,27.5,0.0,SSE,41.0,SSE,SW,17.0,20.0,57.0,22.0,1022.3,1020.1,16.9,26.6,0,0
Nuriootpa,10.2,26.6,0.0,ESE,39.0,E,SSE,17.0,13.0,48.0,16.0,1023.0,1019.8,14.2,25.2,0,0
Nuriootpa,14.2,31.6,0.0,SE,35.0,E,ENE,15.0,17.0,29.0,10.0,1019.2,1015.7,21.1,30.1,0,0
Nuriootpa,12.3,38.0,0.0,WSW,48.0,NE,WSW,9.0,24.0,17.0,5.0,1012.4,1008.7,28.1,37.2,0,0
Nuriootpa,13.5,36.3,0.0,WSW,52.0,NE,SW,9.0,19.0,20.0,10.0,1007.6,1008.5,29.2,33.9,0,0
Nuriootpa,14.1,30.7,0.0,WSW,37.0,ENE,SW,11.0,15.0,54.0,30.0,1010.9,1007.3,19.5,29.6,0,0
Nuriootpa,11.9,29.5,0.0,WSW,67.0,WNW,W,30.0,37.0,20.0,44.0,1003.0,1003.3,24.2,26.0,0,0
Nuriootpa,9.4,29.0,0.0,W,56.0,NNE,WNW,17.0,26.0,51.0,22.0,1008.1,1004.2,17.2,29.0,0,0
Nuriootpa,14.6,27.0,1.0,W,50.0,WSW,SW,20.0,17.0,63.0,30.0,1012.6,1012.7,16.8,24.4,0,0
Nuriootpa,10.7,32.9,0.0,SE,26.0,ENE,WSW,15.0,13.0,54.0,13.0,1017.4,1016.0,17.7,30.9,0,0
Nuriootpa,13.7,33.9,0.0,SE,39.0,E,ESE,20.0,17.0,49.0,16.0,1019.8,1016.9,20.1,31.2,0,0
Nuriootpa,16.1,41.7,0.0,NE,31.0,NE,NNW,13.0,11.0,20.0,5.0,1014.8,1010.7,29.9,40.0,0,0
Nuriootpa,21.1,44.1,0.0,N,70.0,NNE,NW,19.0,17.0,11.0,8.0,1009.2,1006.6,35.8,41.8,0,0
Nuriootpa,26.9,42.5,0.0,NW,48.0,NNW,N,15.0,15.0,17.0,9.0,1010.7,1008.5,34.9,41.4,0,0
Nuriootpa,22.0,41.9,0.0,NNW,54.0,N,NNE,9.0,15.0,19.0,9.0,1011.4,1008.6,34.4,40.4,0,0
Nuriootpa,23.1,41.0,0.0,SE,59.0,NE,SSE,9.0,13.0,30.0,11.0,1012.9,1010.3,31.7,41.0,0,0
Nuriootpa,23.2,39.8,0.0,ESE,54.0,ENE,WSW,15.0,11.0,45.0,17.0,1013.7,1010.6,25.9,38.0,0,0
Nuriootpa,24.9,37.4,0.6,SSE,52.0,ESE,SE,19.0,26.0,33.0,22.0,1011.7,1009.7,28.8,35.0,0,0
Nuriootpa,18.2,37.7,0.0,WSW,31.0,E,SE,15.0,11.0,52.0,24.0,1010.8,1007.5,25.3,35.3,0,0
Nuriootpa,12.8,35.6,0.0,W,39.0,W,WSW,6.0,22.0,62.0,23.0,1008.5,1005.5,22.3,33.8,0,0
Nuriootpa,12.6,36.1,0.0,W,30.0,NE,W,9.0,15.0,63.0,26.0,1008.0,1007.5,22.2,34.7,0,0
Nuriootpa,17.7,41.7,0.0,NE,41.0,ENE,NNE,17.0,19.0,39.0,13.0,1007.9,1004.2,27.2,40.6,0,0
Nuriootpa,19.8,43.9,0.0,NW,76.0,NNW,WSW,31.0,35.0,11.0,29.0,1002.9,1004.1,37.7,35.3,0,0
Nuriootpa,16.9,24.6,0.0,SSE,43.0,SSE,S,13.0,17.0,70.0,36.0,1013.6,1014.3,19.4,24.0,0,0
