Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
PearceRAAF,18.8,38.4,0.0,E,50.0,ESE,SE,22.0,13.0,46.0,20.0,1010.4,1007.2,23.1,35.6,0,0
PearceRAAF,22.0,39.1,0.0,E,52.0,NW,SW,4.0,31.0,38.0,23.0,1008.3,1007.4,27.1,36.0,0,0
PearceRAAF,21.8,38.6,0.0,E,59.0,ESE,SSE,15.0,15.0,35.0,15.0,1014.1,1010.1,26.8,37.3,0,0
PearceRAAF,19.9,38.0,0.0,SSW,43.0,SE,SSE,24.0,20.0,50.0,20.0,1013.5,1009.1,24.9,37.1,0,0
PearceRAAF,18.8,36.6,0.0,E,69.0,E,ESE,26.0,22.0,49.0,23.0,1013.8,1010.5,23.2,34.3,0,0
PearceRAAF,19.6,38.1,0.0,SE,44.0,ESE,S,19.0,26.0,49.0,22.0,1014.1,1010.7,23.9,36.6,0,0
PearceRAAF,19.8,40.6,0.0,E,61.0,ENE,WSW,31.0,13.0,31.0,12.0,1008.6,1004.9,26.6,39.0,0,0
PearceRAAF,13.3,28.8,0.0,SSW,59.0,SSW,SW,11.0,31.0,64.0,49.0,1007.3,1008.6,22.1,27.2,0,0
PearceRAAF,9.1,27.8,0.0,SSW,48.0,S,S,11.0,17.0,50.0,27.0,1017.4,1014.5,19.8,26.5,0,0
PearceRAAF,12.0,32.7,0.0,W,41.0,SE,SE,15.0,13.0,49.0,19.0,1016.8,1013.7,21.0,31.9,0,0
PearceRAAF,17.0,33.7,0.0,SSE,44.0,S,SSW,11.0,19.0,59.0,28.0,1015.1,1013.4,21.9,33.2,0,0
PearceRAAF,21.7,33.2,0.0,ESE,59.0,S,SSW,11.0,20.0,48.0,31.0,1015.3,1011.5,23.1,31.4,0,0
PearceRAAF,16.8,30.8,0.0,ESE,72.0,S,SSE,20.0,13.0,60.0,35.0,1016.0,1013.3,20.2,28.4,0,0
PearceRAAF,15.7,31.8,0.0,SW,46.0,ESE,SSW,24.0,20.0,50.0,24.0,1018.0,1014.2,18.8,31.2,0,0
PearceRAAF,13.6,30.3,0.0,S,52.0,S,WSW,17.0,28.0,68.0,34.0,1015.7,1012.4,19.4,28.4,0,0
PearceRAAF,17.1,30.6,0.0,SW,46.0,S,SW,17.0,22.0,75.0,41.0,1013.4,1011.1,20.4,29.7,0,0
PearceRAAF,19.5,29.8,0.0,SW,39.0,SSE,SSW,17.0,24.0,71.0,45.0,1013.6,1011.1,21.3,28.8,0,0
PearceRAAF,11.9,33.8,0.0,WSW,41.0,W,SW,7.0,24.0,73.0,32.0,1013.4,1010.6,19.6,33.2,0,0
