Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
Richmond,15.4,39.0,0.0,NNW,44.0,NE,NW,4.0,19.0,60.0,19.0,1013.7,1008.8,22.7,38.5,0,0
Richmond,21.6,38.9,0.0,SSW,46.0,NNE,NW,9.0,17.0,61.0,26.0,1011.7,1006.6,26.5,38.1,0,1
Richmond,21.2,32.6,1.6,NW,48.0,ENE,NNW,13.0,22.0,65.0,48.0,1008.9,1005.7,26.0,30.9,1,0
Richmond,23.0,36.4,0.2,ESE,46.0,NNE,ENE,17.0,19.0,53.0,40.0,1008.9,1006.0,29.6,35.0,0,0
Richmond,23.0,41.0,0.0,SE,69.0,NW,WNW,20.0,35.0,51.0,23.0,1004.8,1002.6,32.6,40.5,0,0
Richmond,19.8,27.6,0.0,E,33.0,SSE,ENE,15.0,13.0,57.0,40.0,1019.8,1017.4,21.5,27.2,0,0
Richmond,21.1,30.7,0.0,ESE,39.0,WSW,SE,9.0,19.0,64.0,51.0,1019.4,1018.1,22.5,30.1,0,1
Richmond,19.8,29.2,10.6,S,28.0,SW,SE,9.0,9.0,99.0,63.0,1021.4,1019.1,20.3,27.3,1,0
Richmond,18.1,35.1,0.2,ENE,33.0,NNE,NE,7.0,17.0,99.0,38.0,1018.7,1014.6,19.3,32.9,0,0
Richmond,16.9,34.7,0.0,ENE,35.0,NE,NNE,6.0,11.0,89.0,37.0,1018.8,1014.9,21.5,32.8,0,0
Richmond,17.6,34.8,0.0,ENE,37.0,ENE,NNE,6.0,13.0,74.0,32.0,1018.5,1014.2,24.3,33.3,0,0
Richmond,17.5,37.5,0.0,E,35.0,ESE,ENE,6.0,15.0,76.0,31.0,1017.4,1012.1,23.5,36.6,0,0
Richmond,19.7,33.3,0.0,SE,39.0,S,ESE,13.0,26.0,71.0,43.0,1015.6,1014.4,24.8,31.8,0,0
Richmond,20.5,34.0,0.0,SE,46.0,SE,SSE,6.0,28.0,69.0,37.0,1010.8,1008.7,24.0,31.9,0,0
Richmond,21.6,33.2,0.0,E,31.0,ESE,NNE,2.0,11.0,77.0,43.0,1011.6,1007.9,23.9,31.8,0,0
Richmond,19.7,40.1,0.0,ENE,35.0,N,NE,2.0,15.0,76.0,26.0,1009.2,1004.1,25.0,38.3,0,0
Richmond,22.1,41.3,0.0,ENE,44.0,SSE,NE,11.0,20.0,71.0,23.0,1010.8,1006.2,26.0,40.4,0,0
Richmond,21.7,41.9,0.0,ENE,43.0,WNW,NE,4.0,24.0,64.0,18.0,1013.4,1008.7,26.1,41.0,0,0
Richmond,17.6,41.4,0.0,SE,43.0,NNE,NNE,9.0,11.0,54.0,24.0,1010.8,1005.7,24.3,39.5,0,0
Richmond,21.6,23.5,0.0,S,30.0,SSE,SE,11.0,15.0,83.0,71.0,1012.1,1011.6,22.0,22.5,0,1
Richmond,17.3,19.8,2.8,SE,24.0,SSE,S,9.0,9.0,95.0,97.0,1011.4,1010.2,18.2,19.2,1,1
Richmond,16.2,21.8,4.6,S,35.0,SW,SSW,13.0,19.0,84.0,64.0,1011.6,1011.8,16.7,21.1,1,0
Richmond,15.6,20.6,0.0,SE,39.0,SSW,S,17.0,17.0,75.0,69.0,1017.8,1018.6,18.1,20.1,0,1
Richmond,15.0,18.9,7.6,SE,50.0,WSW,SE,11.0,19.0,97.0,91.0,1026.1,1024.9,15.3,17.3,1,1
Richmond,15.0,18.4,18.2,S,28.0,SSW,SSW,17.0,15.0,96.0,96.0,1023.3,1019.2,15.6,17.8,1,1
Richmond,15.6,21.7,27.6,S,35.0,SSW,SW,17.0,17.0,93.0,90.0,1015.2,1014.1,17.6,20.1,1,1
Richmond,16.5,24.4,39.8,SE,52.0,SSW,SE,11.0,31.0,97.0,60.0,1018.1,1017.4,18.3,22.5,1,1
Richmond,16.5,21.8,3.4,SE,31.0,SSW,SSE,9.0,13.0,94.0,67.0,1017.3,1015.7,18.2,21.4,1,1
Richmond,17.4,27.4,13.6,SSW,35.0,SW,SSW,17.0,15.0,83.0,55.0,1011.0,1008.4,20.5,26.4,1,0
Richmond,18.9,29.7,0.0,W,59.0,N,N,15.0,17.0,73.0,76.0,1008.0,1005.3,23.1,24.5,0,1
Richmond,18.8,32.4,5.0,SE,41.0,NNE,ENE,6.0,11.0,82.0,43.0,1011.8,1008.6,21.2,31.6,1,0
