Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
Sale,10.7,22.1,0.0,WSW,76.0,W,WSW,41.0,31.0,46.0,62.0,1001.7,1003.4,18.4,16.7,0,0
Sale,8.0,18.9,0.0,W,50.0,W,WSW,30.0,33.0,61.0,36.0,1016.2,1017.3,12.5,16.7,0,0
Sale,4.2,20.0,0.0,ESE,33.0,WNW,ESE,7.0,15.0,63.0,43.0,1020.9,1018.0,12.9,18.8,0,0
Sale,6.7,24.3,0.0,ESE,33.0,SSW,E,6.0,19.0,70.0,47.0,1017.0,1013.4,16.4,23.2,0,0
Sale,8.9,27.9,0.0,ENE,37.0,WNW,SE,11.0,24.0,79.0,52.0,1011.4,1008.9,15.9,25.5,0,0
Sale,10.8,32.2,0.0,SE,44.0,W,SE,13.0,30.0,58.0,45.0,1010.0,1006.9,19.7,26.3,0,0
Sale,15.3,20.2,0.0,W,30.0,SSW,SE,15.0,15.0,84.0,74.0,1008.6,1008.3,17.8,19.6,0,0
Sale,11.4,20.4,0.0,SSW,43.0,W,SW,20.0,28.0,59.0,49.0,1016.0,1017.2,16.3,16.8,0,0
Sale,4.7,21.1,0.0,E,43.0,NW,E,9.0,20.0,66.0,33.0,1021.6,1018.6,13.6,20.4,0,0
Sale,10.6,26.3,0.0,S,44.0,NW,SSE,11.0,22.0,73.0,54.0,1012.8,1009.8,16.2,22.9,0,0
Sale,11.0,22.5,0.0,SE,33.0,S,SE,11.0,13.0,73.0,61.0,1011.4,1009.7,19.3,21.4,0,0
Sale,7.7,23.3,0.0,ESE,35.0,WNW,ESE,11.0,20.0,68.0,52.0,1018.4,1017.9,16.2,22.9,0,0
Sale,11.9,34.7,0.0,ESE,37.0,ENE,SSE,6.0,15.0,74.0,27.0,1014.8,1010.1,18.4,33.1,0,0
Sale,13.4,39.3,0.0,NW,56.0,E,SE,4.0,19.0,48.0,41.0,1006.3,1005.7,25.8,30.7,0,0
Sale,15.1,25.7,0.0,W,54.0,WSW,W,31.0,26.0,65.0,36.0,1013.0,1012.7,16.8,23.1,0,0
Sale,12.7,21.2,0.4,WSW,69.0,W,W,28.0,39.0,91.0,25.0,1014.8,1015.7,13.0,20.3,0,0
Sale,9.3,22.4,0.4,SE,35.0,W,SE,15.0,24.0,60.0,40.0,1023.2,1021.8,14.1,20.7,0,0
Sale,6.7,24.3,0.0,ESE,35.0,NW,ESE,9.0,24.0,72.0,46.0,1022.1,1018.9,13.8,22.7,0,0
