Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
SydneyAirport,17.7,35.1,0.0,S,72.0,NW,NW,15.0,33.0,63.0,13.0,1005.3,1000.2,22.9,34.0,0,0
SydneyAirport,18.5,23.0,0.0,S,63.0,SSE,SE,15.0,35.0,63.0,58.0,1012.9,1014.1,20.6,20.1,0,0
SydneyAirport,18.7,27.1,0.0,NE,65.0,NNE,NE,24.0,48.0,60.0,51.0,1018.5,1014.9,22.9,25.9,0,0
SydneyAirport,20.2,31.6,0.0,NNE,63.0,WNW,NE,11.0,35.0,58.0,52.0,1013.2,1008.0,24.9,29.0,0,0
SydneyAirport,19.9,29.7,0.0,NE,41.0,S,E,19.0,20.0,82.0,54.0,1011.7,1007.8,22.7,28.7,0,0
SydneyAirport,20.6,34.9,0.0,S,59.0,SSE,NE,15.0,26.0,79.0,52.0,1010.0,1004.7,22.3,30.3,0,0
SydneyAirport,20.2,21.7,0.2,SSW,56.0,S,S,33.0,35.0,85.0,78.0,1012.4,1013.6,20.7,19.7,0,0
SydneyAirport,17.4,22.9,0.0,SSE,50.0,SSE,SE,30.0,28.0,54.0,44.0,1020.2,1018.8,19.4,22.3,0,0
SydneyAirport,16.3,24.0,0.0,ENE,48.0,E,NE,17.0,28.0,49.0,44.0,1017.0,1013.8,20.3,23.2,0,0
SydneyAirport,18.0,26.6,0.0,NE,54.0,NNE,NE,24.0,33.0,57.0,48.0,1013.9,1011.3,23.1,25.7,0,0
SydneyAirport,18.5,24.0,0.8,S,39.0,S,S,9.0,28.0,81.0,72.0,1015.5,1016.5,21.8,23.7,0,0
SydneyAirport,19.3,27.9,0.6,NNE,59.0,SSE,NE,11.0,35.0,84.0,48.0,1019.5,1016.1,21.9,26.7,0,0
SydneyAirport,20.9,32.0,0.0,NE,67.0,N,NE,9.0,46.0,57.0,39.0,1014.5,1010.5,26.5,30.9,0,0
SydneyAirport,22.6,38.8,0.0,S,81.0,ENE,NNE,6.0,26.0,42.0,43.0,1009.1,1006.6,29.6,32.0,0,1
SydneyAirport,18.4,26.3,5.4,SSE,54.0,S,E,17.0,24.0,73.0,54.0,1013.0,1008.9,20.5,25.5,1,0
SydneyAirport,17.1,20.7,0.0,S,54.0,SSE,S,43.0,33.0,58.0,57.0,1020.2,1020.8,18.8,19.8,0,0
SydneyAirport,14.4,25.0,0.0,ENE,43.0,WSW,ENE,9.0,30.0,65.0,43.0,1022.0,1019.8,19.3,23.5,0,0
SydneyAirport,17.0,27.3,0.0,NNE,59.0,N,NE,22.0,37.0,53.0,49.0,1019.2,1014.7,22.2,25.6,0,0
SydneyAirport,19.5,31.7,0.0,NE,67.0,N,NE,7.0,41.0,51.0,38.0,1013.8,1009.9,25.8,31.1,0,1
SydneyAirport,20.9,33.7,3.0,SSW,59.0,NW,NE,13.0,39.0,57.0,45.0,1011.8,1007.6,27.6,31.2,1,0
SydneyAirport,22.6,34.6,0.6,N,63.0,NNW,N,26.0,39.0,42.0,40.0,1008.7,1004.8,29.4,33.0,0,0
SydneyAirport,24.7,32.1,0.0,NE,80.0,SSW,ESE,13.0,20.0,80.0,56.0,1009.3,1007.3,25.3,29.8,0,0
SydneyAirport,24.1,41.8,0.0,S,69.0,NW,SE,11.0,31.0,52.0,37.0,1004.6,1002.9,31.7,34.4,0,0
SydneyAirport,19.6,25.0,0.0,SSE,44.0,S,SE,22.0,20.0,69.0,52.0,1019.5,1018.5,20.2,24.0,0,0
SydneyAirport,20.1,24.9,0.0,S,39.0,S,S,17.0,30.0,81.0,81.0,1019.4,1019.3,21.4,24.1,0,1
SydneyAirport,19.8,24.6,8.2,NE,39.0,S,S,24.0,15.0,98.0,96.0,1021.1,1020.1,20.2,21.5,1,0
SydneyAirport,19.5,29.4,0.2,NE,54.0,N,NE,24.0,35.0,73.0,50.0,1018.4,1015.5,24.6,29.2,0,0
SydneyAirport,20.7,30.0,0.0,NE,57.0,N,NE,13.0,37.0,70.0,59.0,1018.5,1016.2,25.5,28.7,0,0
SydneyAirport,20.4,30.2,0.0,NE,61.0,NNE,NNE,15.0,41.0,65.0,48.0,1018.7,1015.4,24.9,29.6,0,0
SydneyAirport,21.6,31.2,0.0,NNE,61.0,NNE,NE,15.0,31.0,76.0,51.0,1017.4,1013.9,24.8,29.5,0,0
SydneyAirport,20.9,28.2,0.0,E,41.0,SSE,SSE,17.0,24.0,78.0,69.0,1016.3,1016.2,23.5,26.9,0,0
SydneyAirport,22.7,30.4,0.0,NE,63.0,NE,NE,13.0,33.0,70.0,48.0,1016.2,1011.8,26.4,29.8,0,0
SydneyAirport,21.9,28.3,0.0,S,46.0,NNE,SSE,13.0,24.0,59.0,63.0,1010.9,1010.2,25.8,26.4,0,0
SydneyAirport,21.3,28.0,0.0,ENE,37.0,SSE,E,19.0,24.0,86.0,64.0,1011.7,1009.2,23.5,27.3,0,0
SydneyAirport,22.6,31.5,0.0,NE,63.0,N,NE,17.0,31.0,67.0,52.0,1009.1,1005.4,26.6,30.7,0,0
SydneyAirport,21.4,31.7,0.0,NNE,59.0,SE,ENE,17.0,30.0,81.0,53.0,1011.2,1008.1,23.8,30.8,0,0
SydneyAirport,21.5,34.9,0.0,NE,67.0,NNE,NE,9.0,44.0,57.0,32.0,1013.3,1009.9,27.1,31.9,0,0
SydneyAirport,22.0,31.1,0.0,S,59.0,NNE,NE,20.0,39.0,64.0,43.0,1010.8,1007.1,25.2,30.2,0,0
SydneyAirport,20.0,21.5,0.0,S,57.0,SSW,SSW,35.0,31.0,92.0,88.0,1012.0,1011.7,20.3,19.8,0,1
SydneyAirport,17.8,19.5,1.2,S,54.0,SSW,S,17.0,31.0,93.0,88.0,1012.0,1010.2,18.4,18.7,1,1
SydneyAirport,17.4,22.1,2.8,SSW,56.0,SSW,SSW,35.0,33.0,81.0,70.0,1011.4,1011.3,17.8,21.4,1,1
SydneyAirport,17.0,20.2,1.8,SE,52.0,SE,E,35.0,28.0,81.0,95.0,1025.5,1025.1,18.5,17.6,1,1
SydneyAirport,16.5,21.3,41.8,SE,52.0,ESE,SE,28.0,22.0,66.0,82.0,1023.1,1019.5,19.3,18.4,1,1
SydneyAirport,17.0,23.2,14.0,SSE,54.0,S,SSE,28.0,30.0,88.0,85.0,1014.9,1014.1,19.5,20.9,1,1
SydneyAirport,17.8,24.6,16.6,SSE,61.0,SE,SSE,35.0,37.0,75.0,58.0,1017.8,1017.8,21.5,22.8,1,1
SydneyAirport,18.3,22.8,3.6,SE,50.0,ESE,SE,20.0,26.0,69.0,69.0,1017.0,1015.6,21.2,21.4,1,1
SydneyAirport,19.9,27.4,0.0,E,31.0,WNW,E,7.0,24.0,69.0,63.0,1011.7,1010.1,23.5,26.2,0,0
SydneyAirport,21.7,24.2,0.0,SSW,33.0,SSW,SSE,4.0,26.0,87.0,91.0,1013.4,1013.6,22.2,21.7,0,1
SydneyAirport,20.4,25.1,2.6,SSW,30.0,SE,SE,17.0,19.0,63.0,61.0,1018.5,1017.5,22.3,23.9,1,0
SydneyAirport,19.8,28.8,0.0,NE,52.0,N,NE,9.0,31.0,70.0,58.0,1016.9,1012.7,23.6,27.6,0,0
SydneyAirport,20.2,27.8,0.0,S,56.0,NW,SSE,17.0,30.0,68.0,77.0,1014.1,1013.5,24.3,24.3,0,0
SydneyAirport,20.6,25.8,0.0,SE,37.0,S,SE,13.0,24.0,89.0,66.0,1016.7,1014.8,21.4,25.1,0,0
SydneyAirport,19.3,23.0,0.0,S,48.0,W,S,13.0,33.0,79.0,59.0,1020.4,1018.8,19.7,22.6,0,0
SydneyAirport,18.7,23.9,0.0,SSW,33.0,SSW,SE,22.0,20.0,74.0,50.0,1018.0,1015.7,20.3,23.0,0,0
SydneyAirport,17.8,27.7,0.0,NE,37.0,NNW,ENE,15.0,28.0,60.0,53.0,1009.6,1006.6,21.7,26.8,0,0
SydneyAirport,21.3,26.1,0.0,SE,31.0,E,ESE,11.0,19.0,66.0,56.0,1010.8,1010.8,23.2,25.1,0,0
SydneyAirport,21.3,26.6,0.0,ENE,44.0,NNE,ENE,11.0,24.0,65.0,56.0,1016.5,1015.1,23.6,25.3,0,0
