Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
Sydney,17.8,28.9,2.0,NNW,41.0,NNW,E,22.0,17.0,63.0,48.0,1011.2,1008.1,22.3,26.6,1,0
Sydney,19.5,24.7,0.0,NNW,76.0,NE,NE,13.0,31.0,66.0,73.0,999.6,989.8,21.5,21.8,0,0
Sydney,11.7,16.1,0.8,WNW,85.0,W,W,46.0,48.0,34.0,28.0,999.3,1003.6,12.9,15.2,0,0
Sydney,9.9,24.0,0.0,W,41.0,W,SSE,24.0,4.0,44.0,30.0,1012.9,1011.3,14.7,23.3,0,0
Sydney,12.9,20.3,0.2,ENE,37.0,W,E,11.0,26.0,70.0,57.0,1028.8,1025.6,16.9,19.8,0,0
Sydney,13.3,21.5,0.0,ENE,41.0,W,ENE,11.0,28.0,75.0,58.0,1025.9,1022.4,17.6,21.3,0,0
Sydney,15.3,23.0,0.0,NNE,41.0,W,ENE,6.0,19.0,70.0,63.0,1021.4,1017.8,19.0,22.2,0,0
Sydney,15.8,27.2,0.0,NW,52.0,W,WSW,7.0,4.0,59.0,82.0,1016.6,1015.1,21.4,19.3,0,1
Sydney,14.1,15.7,30.6,SSE,48.0,SSE,S,22.0,20.0,92.0,75.0,1021.1,1020.6,14.1,15.7,1,1
Sydney,12.9,26.7,0.2,NE,33.0,W,ENE,13.0,24.0,73.0,56.0,1018.0,1015.0,17.8,22.5,0,0
Sydney,14.8,23.8,0.0,SSE,54.0,SSE,SE,13.0,26.0,76.0,69.0,1016.0,1014.7,20.2,20.6,0,1
Sydney,16.4,21.4,1.8,ESE,33.0,SE,ESE,17.0,19.0,65.0,53.0,1021.5,1020.4,18.3,20.2,1,0
Sydney,14.5,22.1,0.2,ENE,31.0,WNW,ENE,11.0,15.0,82.0,59.0,1020.7,1017.5,16.2,20.5,0,0
Sydney,16.2,24.4,0.0,NE,56.0,N,NE,9.0,22.0,70.0,64.0,1015.1,1012.2,22.0,23.8,0,0
Sydney,19.3,24.7,0.0,NE,50.0,NE,NE,19.0,28.0,81.0,64.0,1012.0,1010.6,20.7,24.2,0,1
Sydney,18.1,20.4,5.2,SSE,48.0,S,SSE,22.0,28.0,78.0,77.0,1014.7,1012.1,18.7,18.6,1,1
Sydney,11.8,17.9,32.6,WSW,54.0,W,SSE,31.0,24.0,77.0,59.0,1011.8,1012.8,13.3,17.8,1,0
Sydney,12.0,23.9,0.2,SE,44.0,W,ESE,13.0,24.0,65.0,54.0,1018.1,1016.3,17.6,20.7,0,0
Sydney,14.4,18.1,0.4,ESE,48.0,S,SE,15.0,20.0,83.0,68.0,1022.3,1020.5,14.8,17.6,0,1
Sydney,13.4,19.2,8.4,SE,46.0,SE,SSE,17.0,30.0,67.0,53.0,1023.9,1022.1,15.2,17.8,1,1
Sydney,13.6,18.8,26.0,ESE,37.0,SSW,SSE,7.0,15.0,93.0,81.0,1023.8,1021.9,14.1,16.7,1,1
Sydney,13.4,23.3,8.8,NE,37.0,WNW,E,13.0,26.0,77.0,59.0,1021.3,1018.1,16.6,20.7,1,0
Sydney,16.1,26.3,0.0,SW,74.0,E,NNE,7.0,28.0,64.0,52.0,1017.2,1015.1,23.3,23.8,0,1
Sydney,17.2,23.6,5.6,SSE,37.0,SSE,E,22.0,11.0,80.0,54.0,1025.0,1024.2,19.7,23.2,1,0
Sydney,18.2,24.5,0.0,N,52.0,WNW,ENE,6.0,30.0,87.0,72.0,1021.8,1017.1,20.9,23.5,0,1
Sydney,19.7,27.2,8.6,E,30.0,ESE,E,7.0,24.0,77.0,43.0,1014.9,1012.0,20.1,25.0,1,0
Sydney,20.5,30.4,0.0,NNE,50.0,ENE,NNE,13.0,28.0,70.0,56.0,1015.7,1012.8,26.1,27.2,0,0
Sydney,22.3,23.9,0.0,SSE,30.0,SW,SE,9.0,7.0,70.0,95.0,1012.8,1012.6,23.9,19.4,0,1
Sydney,17.4,23.5,21.0,ESE,35.0,S,SSE,13.0,20.0,82.0,65.0,1013.3,1011.3,18.8,22.8,1,0
Sydney,17.1,22.3,0.4,SSE,28.0,S,E,17.0,15.0,80.0,61.0,1017.1,1015.7,17.5,21.0,0,0
Sydney,16.8,23.4,1.0,NE,35.0,N,NE,7.0,20.0,65.0,59.0,1015.2,1012.2,22.3,22.6,0,0
Sydney,16.7,20.0,0.0,SSE,67.0,S,SSE,26.0,33.0,71.0,58.0,1021.8,1024.0,17.4,18.5,0,0
Sydney,16.5,24.0,0.0,NE,44.0,WNW,E,4.0,26.0,82.0,54.0,1026.0,1024.3,19.3,23.2,0,0
Sydney,17.5,24.7,0.0,NE,56.0,NNE,NE,17.0,26.0,60.0,58.0,1025.3,1022.0,22.8,24.1,0,0
Sydney,18.5,26.0,0.0,NE,44.0,E,NE,17.0,20.0,67.0,53.0,1020.5,1017.7,22.5,25.2,0,0
Sydney,18.9,24.1,0.0,NE,37.0,E,E,13.0,19.0,62.0,72.0,1017.3,1015.3,23.9,22.4,0,0
Sydney,18.2,25.8,0.0,NNE,63.0,E,NE,6.0,28.0,77.0,56.0,1015.6,1012.0,22.3,25.5,0,0
