Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
Townsville,24.4,31.4,23.6,ENE,33.0,NE,ENE,11.0,26.0,72.0,74.0,1011.9,1008.9,30.1,30.1,1,0
Townsville,25.9,31.7,0.6,ENE,37.0,E,ENE,19.0,28.0,72.0,70.0,1012.4,1008.9,29.7,30.4,0,1
Townsville,26.1,32.0,2.4,ENE,33.0,ENE,NNE,20.0,9.0,59.0,44.0,1013.5,1010.4,29.4,31.2,1,0
Townsville,23.9,31.2,0.0,NE,41.0,ENE,NE,11.0,26.0,63.0,62.0,1014.2,1011.9,29.0,30.5,0,0
Townsville,24.2,32.3,0.0,ENE,39.0,ESE,ENE,20.0,26.0,65.0,65.0,1015.1,1012.3,29.8,30.7,0,1
Townsville,26.2,31.8,1.4,ENE,35.0,NE,ENE,22.0,28.0,74.0,66.0,1013.2,1009.2,29.9,30.9,1,0
Townsville,26.7,32.4,0.0,NNE,39.0,N,N,20.0,24.0,71.0,65.0,1010.6,1006.4,29.3,31.5,0,1
Townsville,22.5,30.9,76.8,SSW,54.0,NE,ENE,2.0,13.0,93.0,70.0,1011.0,1006.3,24.4,30.4,1,1
Townsville,23.8,32.2,3.8,ESE,59.0,E,ENE,17.0,28.0,76.0,71.0,1010.3,1006.3,29.2,30.8,1,0
Townsville,27.5,31.5,0.0,ENE,39.0,ENE,ENE,20.0,28.0,72.0,73.0,1010.4,1007.2,30.2,30.7,0,0
Townsville,27.3,31.6,0.0,NE,33.0,ENE,ENE,20.0,26.0,70.0,63.0,1010.8,1007.1,29.9,31.0,0,0
Townsville,25.2,31.4,0.0,ENE,39.0,NE,ENE,15.0,22.0,61.0,57.0,1011.0,1008.1,29.8,30.3,0,0
Townsville,26.2,32.2,0.0,N,33.0,N,N,17.0,20.0,71.0,61.0,1009.7,1005.9,29.5,31.7,0,0
Townsville,27.5,34.0,0.0,WSW,80.0,NNW,N,13.0,15.0,74.0,66.0,1006.7,1002.2,29.9,33.0,0,1
Townsville,23.4,33.8,21.2,ENE,28.0,SW,NE,17.0,17.0,36.0,42.0,1007.8,1004.8,30.7,32.3,1,0
Townsville,26.1,31.7,0.0,ENE,43.0,ESE,ENE,26.0,31.0,67.0,53.0,1011.0,1008.8,29.9,31.1,0,0
Townsville,27.2,31.2,0.0,ENE,41.0,ENE,ENE,24.0,30.0,63.0,64.0,1012.1,1009.2,29.8,30.2,0,0
Townsville,26.1,31.4,0.0,NNE,37.0,ENE,ENE,19.0,20.0,64.0,60.0,1010.8,1007.6,29.8,31.1,0,0
Townsville,27.3,31.5,0.0,ENE,30.0,NW,ENE,4.0,22.0,70.0,73.0,1009.3,1007.1,29.4,30.1,0,0
Townsville,26.6,33.5,0.0,ESE,37.0,NNE,N,9.0,20.0,65.0,64.0,1009.2,1005.8,31.4,31.8,0,0
Townsville,26.3,33.0,0.2,ENE,39.0,NW,ENE,9.0,22.0,75.0,64.0,1010.2,1008.6,28.7,30.7,0,0
Townsville,25.6,32.4,0.0,NE,44.0,SE,E,13.0,30.0,75.0,69.0,1012.2,1010.1,28.8,29.3,0,0
Townsville,25.4,31.2,0.4,E,39.0,E,ENE,28.0,30.0,57.0,50.0,1013.0,1009.8,29.4,30.4,0,0
Townsville,24.1,31.5,0.0,ENE,39.0,E,ENE,13.0,30.0,54.0,52.0,1012.2,1009.2,28.8,30.5,0,0
Townsville,24.1,31.7,0.0,NE,37.0,NE,ENE,13.0,24.0,59.0,54.0,1010.4,1008.7,29.4,30.5,0,0
Townsville,25.1,32.4,0.0,NE,37.0,ESE,ENE,20.0,30.0,60.0,58.0,1010.3,1008.7,29.8,30.8,0,0
Townsville,26.5,33.2,0.0,E,39.0,E,ENE,20.0,26.0,66.0,65.0,1010.0,1006.8,30.6,30.4,0,0
Townsville,26.7,33.4,0.0,N,41.0,WNW,NNE,13.0,28.0,75.0,62.0,1008.1,1003.6,29.6,31.4,0,1
Townsville,24.9,31.1,14.4,ENE,35.0,NE,N,28.0,9.0,82.0,66.0,1007.6,1003.9,28.1,30.3,1,1
Townsville,25.1,32.3,2.8,W,31.0,NW,N,2.0,13.0,66.0,83.0,1007.0,1004.9,29.1,28.4,1,1
Townsville,24.1,31.2,31.2,NNE,37.0,N,NE,13.0,13.0,76.0,67.0,1007.4,1003.7,28.7,30.7,1,1
Townsville,24.8,31.9,1.4,NNW,39.0,NNW,N,2.0,19.0,77.0,69.0,1008.0,1005.4,28.8,29.9,1,0
Townsville,25.3,31.3,1.2,ESE,35.0,N,E,9.0,11.0,90.0,70.0,1010.1,1007.5,25.7,29.7,1,1
Townsville,23.8,31.5,17.4,E,43.0,ESE,ESE,22.0,28.0,72.0,69.0,1010.2,1006.9,28.2,29.7,1,0
Townsville,25.0,31.3,0.4,ENE,33.0,SE,NE,13.0,26.0,66.0,70.0,1008.8,1005.6,29.2,30.1,0,1
Townsville,25.2,31.6,1.8,NE,30.0,SW,NE,9.0,22.0,68.0,69.0,1009.3,1005.2,29.1,30.0,1,0
Townsville,25.3,31.6,0.6,NE,31.0,SW,NE,6.0,24.0,68.0,68.0,1008.1,1004.5,28.9,30.8,0,0
Townsville,26.3,31.6,0.0,E,43.0,SSE,E,13.0,24.0,67.0,71.0,1006.0,1003.7,29.6,30.0,0,0
Townsville,25.5,31.7,1.0,ESE,43.0,SE,ENE,28.0,28.0,83.0,67.0,1006.0,1003.2,26.7,29.7,0,1
Townsville,23.2,31.3,4.4,ESE,61.0,SE,E,19.0,35.0,66.0,55.0,1005.6,1003.4,29.3,29.7,1,0
Townsville,23.7,31.2,1.0,ESE,43.0,SE,ENE,6.0,24.0,75.0,60.0,1007.2,1005.6,26.3,29.8,0,1
Townsville,24.1,25.1,2.8,ESE,76.0,ESE,ESE,31.0,37.0,91.0,90.0,1005.6,1004.3,24.6,23.2,1,1
Townsville,20.2,27.2,177.6,ESE,80.0,ESE,ESE,41.0,35.0,96.0,94.0,1005.3,1003.8,23.2,24.9,1,1
Townsville,23.1,28.3,44.8,ESE,65.0,E,ESE,31.0,15.0,89.0,90.0,1007.8,1007.0,26.9,26.7,1,1
