Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
Uluru,19.7,30.0,0.8,ESE,48.0,E,E,30.0,24.0,76.0,54.0,1010.6,1007.5,21.7,28.4,0,0
Uluru,21.6,33.1,0.0,E,33.0,E,N,22.0,11.0,44.0,33.0,1010.5,1006.5,24.6,31.3,0,0
Uluru,21.3,36.1,0.0,E,33.0,ENE,SSE,24.0,13.0,39.0,27.0,1006.9,1002.7,27.6,34.5,0,0
Uluru,22.9,37.7,0.0,ENE,39.0,E,SSE,28.0,13.0,35.0,22.0,1006.0,1002.1,28.7,35.4,0,0
Uluru,24.0,39.0,0.0,S,39.0,E,S,20.0,19.0,33.0,21.0,1006.9,1003.5,29.9,37.3,0,0
Uluru,24.3,39.7,0.0,S,46.0,E,SW,22.0,15.0,36.0,17.0,1007.9,1003.9,30.4,38.1,0,0
Uluru,26.6,38.6,0.0,WSW,33.0,E,SSE,24.0,15.0,41.0,21.0,1008.3,1004.5,29.9,37.1,0,0
Uluru,26.9,39.4,0.0,SSE,54.0,E,SSW,13.0,15.0,39.0,24.0,1008.9,1005.1,30.9,36.8,0,0
Uluru,24.4,40.0,0.0,SE,54.0,ESE,NE,22.0,9.0,54.0,24.0,1010.4,1005.9,28.6,37.5,0,0
Uluru,25.4,39.8,0.0,NE,37.0,E,SE,24.0,13.0,40.0,20.0,1010.7,1006.8,31.0,37.7,0,0
Uluru,23.9,39.5,0.0,ENE,41.0,NNE,E,17.0,19.0,26.0,13.0,1010.3,1006.0,31.9,37.9,0,0
Uluru,20.6,40.9,0.0,S,57.0,ENE,NE,15.0,7.0,22.0,13.0,1009.2,1005.3,32.0,39.7,0,0
Uluru,22.3,37.3,0.0,S,52.0,SSE,SSW,28.0,19.0,56.0,24.0,1012.6,1008.5,24.1,34.6,0,0
Uluru,19.8,33.8,0.0,ESE,39.0,ESE,SE,26.0,11.0,34.0,24.0,1013.8,1009.4,23.3,32.7,0,0
Uluru,17.2,35.9,0.0,E,35.0,E,E,24.0,7.0,29.0,13.0,1015.3,1010.7,23.5,34.6,0,0
Uluru,19.1,37.9,0.0,SE,43.0,E,ESE,22.0,22.0,20.0,10.0,1016.1,1012.7,27.9,36.9,0,0
Uluru,21.9,35.4,0.0,ESE,46.0,ESE,SE,33.0,17.0,33.0,20.0,1018.6,1013.7,26.4,34.2,0,0
Uluru,19.6,34.9,0.0,E,35.0,E,SSE,26.0,17.0,32.0,20.0,1016.3,1012.0,24.4,33.5,0,0
Uluru,20.0,36.6,0.0,E,30.0,E,ENE,22.0,19.0,17.0,15.0,1015.6,1011.5,25.5,34.9,0,0
Uluru,19.7,39.6,0.0,WSW,30.0,ENE,NNW,9.0,11.0,17.0,13.0,1014.8,1009.3,27.5,37.8,0,0
Uluru,25.9,39.8,0.0,SSW,39.0,S,SW,22.0,19.0,25.0,17.0,1010.4,1006.7,33.2,38.7,0,0
Uluru,22.9,37.8,0.0,S,35.0,SE,SSE,20.0,17.0,39.0,17.0,1013.9,1010.2,25.5,36.1,0,0
Uluru,22.4,34.6,0.4,E,46.0,E,ESE,28.0,22.0,41.0,25.0,1014.9,1012.2,24.5,32.6,0,0
Uluru,22.5,37.2,0.0,SSW,61.0,E,NNE,26.0,20.0,28.0,21.0,1015.6,1011.1,28.1,35.4,0,0
Uluru,21.3,32.5,0.0,SSW,48.0,SE,NNE,9.0,19.0,55.0,54.0,1015.3,1011.1,23.5,26.9,0,0
Uluru,19.6,38.0,0.0,N,46.0,ENE,N,26.0,26.0,20.0,22.0,1010.1,1004.5,28.4,36.7,0,0
Uluru,25.4,34.7,0.0,SW,50.0,S,SW,15.0,17.0,61.0,39.0,1009.7,1006.6,26.8,32.7,0,1
Uluru,16.9,20.0,40.2,ESE,46.0,SE,ESE,22.0,30.0,98.0,71.0,1018.1,1016.6,17.7,19.5,1,0
Uluru,14.9,26.5,0.4,E,50.0,E,ESE,31.0,22.0,58.0,49.0,1017.0,1012.9,17.5,24.7,0,1
Uluru,13.6,27.3,0.0,E,44.0,ESE,ESE,24.0,26.0,61.0,36.0,1020.1,1016.6,19.3,25.8,0,0
Uluru,16.0,27.7,0.0,E,44.0,E,SE,28.0,20.0,46.0,29.0,1019.9,1016.3,20.9,25.9,0,0
Uluru,15.0,29.9,0.0,E,46.0,ESE,ENE,26.0,22.0,43.0,23.0,1019.1,1014.8,21.5,28.8,0,0
Uluru,15.4,29.7,0.0,ENE,44.0,E,ESE,22.0,13.0,40.0,23.0,1019.6,1015.5,21.9,28.2,0,0
Uluru,19.3,29.1,0.0,ENE,35.0,E,NE,24.0,6.0,36.0,28.0,1019.4,1015.8,23.0,28.8,0,0
Uluru,14.5,31.5,0.0,NE,39.0,SE,E,6.0,24.0,51.0,25.0,1018.7,1014.0,22.4,30.2,0,0
Uluru,17.4,32.7,0.0,E,39.0,ESE,E,17.0,15.0,33.0,18.0,1017.9,1014.3,24.4,31.2,0,0
Uluru,17.2,32.3,0.0,E,43.0,E,SE,20.0,24.0,35.0,18.0,1019.7,1015.8,24.3,32.0,0,0
Uluru,17.1,31.7,0.0,E,46.0,E,ESE,19.0,26.0,31.0,16.0,1020.7,1016.3,24.2,30.3,0,0
Uluru,14.9,31.8,0.0,SE,52.0,ESE,ESE,15.0,22.0,30.0,16.0,1019.8,1015.4,23.2,30.5,0,0
Uluru,14.8,31.1,0.0,ESE,50.0,ESE,ESE,13.0,24.0,30.0,16.0,1018.5,1014.9,22.5,29.9,0,0
Uluru,15.1,30.6,0.0,E,43.0,E,ESE,20.0,19.0,28.0,17.0,1018.4,1014.4,24.0,29.5,0,0
Uluru,11.8,32.0,0.0,ENE,30.0,E,SW,9.0,9.0,34.0,16.0,1017.2,1013.4,21.3,30.4,0,0
Uluru,15.0,33.7,0.0,SSW,28.0,E,WSW,4.0,7.0,31.0,14.0,1015.2,1010.9,24.2,33.4,0,0
Uluru,18.5,32.4,0.0,SE,30.0,SE,SSW,20.0,17.0,34.0,26.0,1013.1,1009.7,25.5,30.7,0,0
Uluru,15.5,29.9,0.0,ENE,35.0,E,E,24.0,4.0,48.0,29.0,1015.9,1011.8,21.7,29.3,0,0
Uluru,14.9,31.9,0.0,SSE,28.0,ESE,SSW,13.0,7.0,38.0,21.0,1015.2,1011.3,21.8,30.5,0,0
Uluru,16.0,32.6,0.0,ENE,31.0,E,NNW,22.0,7.0,32.0,19.0,1015.6,1012.4,22.7,32.0,0,0
Uluru,16.1,33.5,0.0,ENE,31.0,ESE,ESE,13.0,9.0,33.0,19.0,1017.6,1013.6,22.7,33.0,0,0
Uluru,15.9,36.0,0.0,NNW,30.0,ESE,WSW,9.0,15.0,35.0,15.0,1015.0,1010.0,23.0,35.0,0,0
Uluru,15.4,33.8,0.0,S,39.0,SSW,WSW,24.0,15.0,31.0,26.0,1010.5,1008.1,25.2,33.2,0,0
Uluru,15.7,31.2,0.0,ENE,31.0,E,E,19.0,11.0,46.0,29.0,1014.1,1010.9,23.2,29.5,0,0
Uluru,16.3,29.9,0.0,ENE,39.0,E,NE,22.0,15.0,47.0,28.0,1017.4,1014.4,21.7,29.3,0,0
Uluru,14.6,29.3,0.0,E,39.0,ESE,SE,19.0,19.0,41.0,24.0,1021.2,1016.9,20.5,27.7,0,0
Uluru,13.8,28.9,0.0,ENE,39.0,ESE,ENE,19.0,20.0,40.0,21.0,1023.0,1019.2,19.2,28.0,0,0
Uluru,11.0,29.6,0.0,ENE,48.0,ENE,NE,24.0,19.0,34.0,14.0,1022.7,1018.5,20.7,28.2,0,0
Uluru,8.4,29.2,0.0,NE,22.0,ESE,SE,7.0,11.0,27.0,16.0,1020.6,1016.2,19.1,28.2,0,0
Uluru,11.0,30.8,0.0,S,28.0,SE,SW,7.0,2.0,36.0,12.0,1019.1,1015.1,17.1,29.7,0,0
Uluru,8.4,32.6,0.0,NNW,24.0,SSE,NNE,11.0,7.0,32.0,10.0,1019.2,1015.7,18.1,32.4,0,0
Uluru,11.9,32.8,0.0,SSE,37.0,E,ENE,9.0,15.0,21.0,10.0,1020.2,1016.1,22.4,31.7,0,0
Uluru,11.6,32.5,0.0,E,37.0,SE,ENE,11.0,19.0,21.0,11.0,1020.2,1016.2,20.5,31.6,0,0
Uluru,12.4,32.4,0.0,ESE,41.0,E,E,17.0,17.0,21.0,12.0,1019.6,1016.0,21.6,31.7,0,0
Uluru,14.1,32.8,0.0,NNE,35.0,ESE,ENE,15.0,11.0,33.0,15.0,1019.9,1016.0,20.5,31.4,0,0
Uluru,14.3,33.0,0.0,NNE,28.0,SE,ENE,11.0,4.0,33.0,15.0,1020.5,1016.0,21.7,32.6,0,0
Uluru,15.9,29.0,0.0,SW,37.0,SSW,N,22.0,6.0,52.0,28.0,1019.3,1014.8,21.6,28.6,0,0
Uluru,11.9,31.3,0.0,ENE,22.0,ESE,ESE,11.0,9.0,44.0,19.0,1017.8,1013.3,21.4,30.3,0,0
Uluru,12.1,32.6,0.0,NNE,43.0,ESE,NE,11.0,15.0,36.0,16.0,1016.6,1012.8,20.6,31.8,0,0
Uluru,14.4,32.3,0.0,ENE,33.0,ESE,NE,15.0,9.0,30.0,16.0,1018.8,1014.2,21.3,31.9,0,0
Uluru,13.8,30.9,0.0,NNE,31.0,SE,NNE,7.0,9.0,39.0,21.0,1018.8,1015.5,20.6,29.9,0,0
Uluru,13.4,31.9,0.0,NW,26.0,S,NNE,9.0,13.0,61.0,22.0,1019.4,1014.7,17.1,31.0,0,0
Uluru,15.6,31.3,0.0,S,50.0,SSE,S,15.0,19.0,51.0,34.0,1016.9,1012.9,21.4,28.7,0,1
Uluru,14.3,20.2,4.0,SE,30.0,SSE,SE,11.0,15.0,87.0,60.0,1021.9,1019.6,15.7,19.6,1,0
Uluru,8.1,20.3,0.0,SSE,35.0,SSE,S,20.0,17.0,66.0,37.0,1024.6,1020.1,13.3,19.2,0,0
Uluru,7.8,17.0,0.0,ESE,31.0,ESE,SE,13.0,19.0,59.0,39.0,1021.9,1017.8,12.0,16.2,0,0
Uluru,10.5,17.6,0.0,NNE,30.0,S,NE,9.0,9.0,65.0,52.0,1018.9,1015.2,12.1,16.0,0,0
Uluru,3.3,21.6,0.0,E,28.0,SE,SSE,6.0,11.0,79.0,30.0,1018.9,1015.9,10.3,20.5,0,0
Uluru,5.1,23.1,0.0,NE,35.0,SE,E,13.0,13.0,59.0,38.0,1019.3,1015.8,12.5,21.3,0,0
Uluru,5.5,23.7,0.0,E,30.0,SE,SE,9.0,2.0,60.0,25.0,1020.9,1016.4,12.4,22.5,0,0
Uluru,11.5,23.4,0.0,NNW,28.0,ESE,NNE,4.0,6.0,57.0,55.0,1018.1,1013.8,15.9,22.6,0,0
Uluru,13.6,20.3,0.0,NE,33.0,ENE,NNE,6.0,17.0,69.0,100.0,1014.2,1011.6,17.6,17.8,0,1
Uluru,16.6,22.3,42.4,N,39.0,SW,WSW,11.0,20.0,95.0,53.0,1010.0,1008.5,17.7,21.0,1,0
Uluru,10.0,20.9,0.0,SSW,35.0,SSW,S,20.0,19.0,76.0,54.0,1016.5,1015.8,14.6,20.0,0,0
Uluru,9.9,18.5,0.0,SE,39.0,SSE,SE,24.0,19.0,69.0,47.0,1023.5,1020.8,12.8,17.6,0,0
Uluru,8.3,19.8,0.0,E,46.0,ESE,E,20.0,26.0,75.0,39.0,1026.5,1023.2,11.2,18.9,0,0
Uluru,8.3,20.4,0.0,NE,48.0,ESE,E,24.0,28.0,68.0,32.0,1026.5,1022.8,12.1,19.5,0,0
Uluru,5.9,20.5,0.0,ENE,46.0,E,ENE,28.0,26.0,58.0,27.0,1025.0,1020.3,11.6,19.9,0,0
Uluru,5.6,20.8,0.0,E,39.0,ESE,E,13.0,13.0,60.0,30.0,1023.1,1018.9,10.5,19.5,0,0
Uluru,5.8,24.5,0.0,N,30.0,E,NNW,9.0,11.0,61.0,27.0,1020.3,1016.5,11.8,24.1,0,0
Uluru,7.3,27.4,0.0,N,31.0,SE,NW,7.0,13.0,59.0,23.0,1018.5,1014.3,14.4,27.2,0,0
Uluru,14.4,24.7,0.0,NNE,24.0,ENE,E,13.0,2.0,61.0,44.0,1017.3,1013.8,18.5,23.6,0,1
Uluru,16.1,23.6,1.6,WSW,28.0,ENE,W,4.0,11.0,90.0,59.0,1016.9,1014.6,17.0,23.0,1,0
Uluru,12.1,13.4,0.2,SSW,31.0,S,S,19.0,13.0,67.0,64.0,1022.9,1020.8,12.2,13.1,0,0
Uluru,10.6,17.5,0.0,ESE,41.0,SE,ESE,17.0,24.0,78.0,57.0,1025.0,1022.5,13.2,16.9,0,0
Uluru,11.0,15.9,0.0,ESE,41.0,E,E,24.0,22.0,71.0,55.0,1025.8,1023.0,11.9,15.3,0,0
Uluru,11.2,14.5,0.0,E,33.0,E,E,20.0,17.0,62.0,65.0,1022.4,1019.0,11.9,13.4,0,1
Uluru,10.8,16.4,4.0,ENE,20.0,E,N,9.0,6.0,89.0,68.0,1019.3,1016.3,11.7,16.2,1,1
Uluru,11.7,15.1,2.8,E,20.0,E,SE,9.0,6.0,92.0,76.0,1020.8,1019.4,13.5,14.7,1,0
Uluru,12.2,18.9,0.4,E,37.0,SE,ESE,11.0,19.0,87.0,65.0,1025.7,1023.1,13.8,18.2,0,0
Uluru,13.6,19.6,0.0,E,33.0,E,E,24.0,17.0,88.0,65.0,1025.4,1020.9,14.6,19.0,0,0
Uluru,10.9,24.3,0.0,E,24.0,SE,S,15.0,9.0,78.0,44.0,1022.2,1018.1,14.0,23.3,0,0
Uluru,10.2,26.2,0.0,ENE,24.0,ESE,NNE,15.0,7.0,76.0,37.0,1019.9,1016.0,15.2,25.2,0,0
Uluru,11.9,21.5,0.0,S,43.0,S,SSW,24.0,24.0,78.0,34.0,1019.0,1017.6,16.2,21.0,0,0
Uluru,3.1,17.3,0.2,S,33.0,S,SSE,9.0,15.0,81.0,45.0,1022.4,1017.8,8.7,16.5,0,0
Uluru,8.1,19.0,0.0,ESE,30.0,SSE,E,9.0,13.0,73.0,38.0,1019.4,1016.1,10.9,18.1,0,0
Uluru,5.3,17.9,0.0,ESE,43.0,ESE,E,20.0,24.0,71.0,38.0,1021.7,1018.1,9.4,17.2,0,0
Uluru,9.2,17.1,0.0,E,33.0,ESE,ESE,15.0,15.0,66.0,42.0,1021.9,1018.3,10.3,16.4,0,0
Uluru,9.0,15.7,0.2,ESE,30.0,ESE,ESE,17.0,9.0,75.0,53.0,1020.6,1016.5,10.2,15.4,0,0
Uluru,9.7,18.7,0.2,E,20.0,SE,E,9.0,11.0,81.0,45.0,1017.6,1014.4,11.5,18.0,0,0
Uluru,9.4,18.4,0.4,E,26.0,ESE,E,17.0,19.0,64.0,41.0,1018.1,1016.4,11.6,18.0,0,1
Uluru,9.7,11.5,2.4,SE,26.0,ESE,ESE,15.0,13.0,89.0,85.0,1020.2,1019.5,10.1,10.6,1,1
Uluru,7.7,16.2,2.6,SE,28.0,E,SSE,11.0,13.0,92.0,56.0,1023.1,1020.6,9.8,15.2,1,0
Uluru,3.5,17.9,0.2,SSW,19.0,S,SSE,4.0,7.0,94.0,36.0,1023.2,1021.3,7.8,16.6,0,0
Uluru,3.5,18.6,0.0,ESE,19.0,S,NNW,9.0,7.0,84.0,34.0,1023.5,1021.1,8.3,18.3,0,0
Uluru,-0.1,18.2,0.0,E,28.0,SE,SE,9.0,7.0,81.0,31.0,1025.0,1020.9,6.7,17.2,0,0
Uluru,4.9,18.0,0.0,ENE,20.0,SE,WNW,9.0,4.0,63.0,30.0,1023.1,1020.4,9.1,17.5,0,0
Uluru,9.1,19.3,0.8,NNW,31.0,ESE,NNW,9.0,13.0,78.0,31.0,1021.6,1019.4,11.5,19.1,0,1
Uluru,10.7,13.8,1.4,NNW,24.0,E,NNE,9.0,9.0,88.0,70.0,1018.7,1017.1,11.3,13.6,1,0
Uluru,11.0,17.8,0.8,ENE,24.0,ESE,E,11.0,11.0,86.0,61.0,1018.8,1016.8,11.6,16.7,0,0
Uluru,8.7,20.1,0.0,ESE,35.0,ESE,E,19.0,22.0,64.0,38.0,1022.4,1020.8,12.3,18.8,0,0
Uluru,7.6,19.5,0.0,ENE,48.0,SE,E,19.0,30.0,65.0,34.0,1029.0,1026.9,10.6,18.9,0,0
Uluru,6.6,18.9,0.0,E,46.0,ESE,ESE,20.0,24.0,65.0,29.0,1032.2,1028.8,9.8,17.7,0,0
Uluru,4.4,19.1,0.0,ESE,43.0,SE,E,15.0,24.0,70.0,34.0,1030.6,1026.2,8.6,18.7,0,0
Uluru,3.8,19.5,0.0,E,35.0,ESE,E,15.0,17.0,71.0,33.0,1027.8,1023.2,9.0,18.7,0,0
Uluru,1.5,21.3,0.0,WNW,22.0,SE,WSW,9.0,7.0,69.0,28.0,1023.8,1019.5,8.2,19.9,0,0
Uluru,6.3,18.7,0.0,E,31.0,SSE,E,15.0,17.0,51.0,37.0,1022.5,1019.4,10.5,17.7,0,0
Uluru,5.5,21.5,0.0,E,26.0,SE,ENE,17.0,9.0,67.0,26.0,1023.4,1020.1,8.6,20.9,0,0
Uluru,4.7,22.5,0.0,NE,43.0,SE,NE,13.0,19.0,54.0,22.0,1025.9,1023.0,9.1,22.2,0,0
Uluru,5.7,19.2,0.0,E,48.0,E,E,22.0,31.0,47.0,26.0,1029.3,1025.6,10.6,18.7,0,0
Uluru,7.7,11.5,0.0,E,39.0,ESE,SE,17.0,17.0,92.0,80.0,1027.4,1023.6,8.2,10.7,0,0
Uluru,8.1,20.8,0.0,ENE,31.0,E,E,17.0,17.0,99.0,57.0,1024.6,1020.3,9.2,18.7,0,0
Uluru,9.0,23.1,0.0,E,35.0,SE,ENE,15.0,13.0,92.0,49.0,1024.4,1019.7,12.9,22.1,0,0
Uluru,10.2,27.9,0.0,WNW,44.0,ESE,NNW,13.0,22.0,85.0,30.0,1020.5,1015.8,14.3,27.8,0,0
Uluru,8.7,24.8,0.0,SE,26.0,SSE,NE,9.0,9.0,61.0,33.0,1021.2,1018.2,14.1,24.3,0,0
Uluru,8.0,23.0,0.0,E,39.0,ESE,ENE,13.0,20.0,70.0,39.0,1024.1,1020.0,12.4,21.9,0,0
Uluru,7.5,26.4,0.0,NNW,31.0,ESE,N,13.0,9.0,74.0,35.0,1021.6,1016.4,12.3,25.1,0,0
Uluru,8.4,28.6,0.0,NNW,67.0,W,NW,4.0,37.0,77.0,22.0,1013.0,1007.7,13.3,27.3,0,0
Uluru,4.4,19.9,0.0,WSW,41.0,N,SW,7.0,15.0,54.0,25.0,1016.0,1013.5,8.9,19.3,0,0
Uluru,2.3,15.8,0.0,SSE,37.0,S,SSE,19.0,22.0,72.0,39.0,1021.2,1020.7,9.2,14.7,0,0
Uluru,1.5,16.8,0.0,SE,44.0,SSE,SE,20.0,17.0,64.0,32.0,1025.8,1021.2,9.3,16.1,0,0
Uluru,0.9,16.1,0.0,SSE,28.0,S,S,9.0,9.0,74.0,38.0,1023.7,1020.1,9.5,15.3,0,0
Uluru,-0.2,17.4,0.0,E,33.0,SSE,E,11.0,11.0,63.0,30.0,1026.4,1023.7,7.3,16.9,0,0
