Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
Witchcliffe,11.9,28.3,0.0,SSE,39.0,ESE,SSE,19.0,22.0,66.0,49.0,1015.0,1012.0,17.5,27.7,0,0
Witchcliffe,15.1,28.8,0.0,SSE,50.0,SE,SSE,11.0,22.0,65.0,48.0,1012.4,1011.4,21.0,27.9,0,0
Witchcliffe,16.6,24.7,0.0,SE,44.0,SE,S,24.0,22.0,66.0,54.0,1016.9,1016.2,20.3,23.7,0,0
Witchcliffe,13.9,29.9,0.0,SSE,44.0,SE,SSE,13.0,20.0,62.0,44.0,1020.1,1016.9,19.8,29.1,0,0
Witchcliffe,15.6,30.1,0.0,SSE,44.0,SE,SSE,13.0,24.0,71.0,56.0,1017.5,1015.5,20.7,26.5,0,0
Witchcliffe,17.5,26.1,0.0,SSE,54.0,SE,SSE,20.0,24.0,66.0,58.0,1018.1,1016.2,19.9,23.8,0,0
Witchcliffe,13.9,27.2,0.0,SSE,50.0,ESE,SSE,20.0,28.0,63.0,45.0,1019.0,1015.9,18.1,25.2,0,0
Witchcliffe,13.0,27.3,0.0,SSE,48.0,SE,SE,17.0,22.0,69.0,50.0,1018.9,1017.0,17.6,26.2,0,0
Witchcliffe,14.6,28.7,0.0,S,39.0,SE,S,13.0,24.0,74.0,47.0,1019.2,1016.9,18.7,26.9,0,0
Witchcliffe,15.6,26.7,0.0,S,37.0,SSE,SE,13.0,19.0,99.0,50.0,1016.3,1015.0,17.6,26.0,0,0
Witchcliffe,12.7,32.6,0.2,WNW,31.0,NNE,WNW,9.0,19.0,68.0,30.0,1011.3,1008.4,21.8,30.5,0,0
Witchcliffe,14.4,21.8,0.6,WSW,43.0,WNW,SW,9.0,22.0,93.0,72.0,1007.5,1010.1,20.1,19.8,0,1
Witchcliffe,9.4,23.3,2.0,SW,31.0,SSW,SW,17.0,17.0,51.0,47.0,1017.8,1017.4,18.9,22.3,1,0
Witchcliffe,10.4,24.6,0.0,SSE,43.0,SE,SE,9.0,15.0,64.0,41.0,1020.4,1019.0,18.0,23.4,0,0
Witchcliffe,15.8,26.7,0.0,SSE,50.0,SSE,S,28.0,26.0,62.0,53.0,1017.8,1017.7,21.3,25.9,0,0
Witchcliffe,17.0,23.4,0.0,SSE,57.0,SE,SSE,17.0,31.0,73.0,55.0,1019.5,1018.3,18.1,21.1,0,0
Witchcliffe,14.0,22.9,0.0,SE,48.0,ESE,SSE,13.0,26.0,53.0,42.0,1021.5,1018.9,17.3,21.4,0,0
Witchcliffe,17.0,23.7,0.0,W,41.0,W,W,15.0,17.0,61.0,57.0,1016.0,1014.3,20.6,23.6,0,1
Witchcliffe,17.2,24.2,2.6,WSW,31.0,SSW,W,11.0,17.0,96.0,64.0,1013.6,1013.4,18.5,22.3,1,0
Witchcliffe,18.3,24.9,0.2,SW,31.0,WSW,SW,15.0,15.0,86.0,52.0,1013.4,1013.4,19.7,23.8,0,0
Witchcliffe,8.1,26.9,0.0,SW,28.0,ESE,SW,6.0,11.0,72.0,40.0,1015.8,1014.4,18.0,26.6,0,0
Witchcliffe,16.5,28.6,0.0,SSE,39.0,E,SSE,17.0,20.0,70.0,49.0,1016.5,1013.3,20.5,27.2,0,0
Witchcliffe,17.9,25.5,0.0,SE,35.0,SSE,SSW,19.0,19.0,77.0,55.0,1009.9,1009.7,20.3,24.1,0,0
Witchcliffe,11.7,25.1,0.2,S,50.0,SE,SSE,13.0,26.0,82.0,50.0,1012.7,1010.1,18.5,23.6,0,0
Witchcliffe,17.0,20.7,0.0,SSE,46.0,SE,SSE,19.0,24.0,65.0,62.0,1008.3,1007.4,18.9,19.0,0,0
Witchcliffe,16.4,24.1,0.0,SSE,39.0,SE,S,13.0,20.0,54.0,41.0,1011.0,1011.1,19.5,22.3,0,0
Witchcliffe,9.8,24.7,0.0,SSE,50.0,SE,SSE,13.0,26.0,64.0,60.0,1013.8,1011.7,18.2,21.9,0,0
Witchcliffe,17.4,32.6,0.0,SSE,33.0,ESE,S,13.0,20.0,69.0,47.0,1011.6,1009.1,21.2,31.6,0,0
Witchcliffe,20.3,31.6,0.0,SSE,39.0,SE,SW,9.0,20.0,85.0,58.0,1013.9,1012.2,22.6,29.6,0,0
Witchcliffe,20.0,31.8,0.0,WNW,30.0,SE,WSW,7.0,13.0,77.0,59.0,1012.0,1010.7,23.6,28.5,0,0
Witchcliffe,20.1,27.1,0.0,SSE,41.0,SSE,S,15.0,20.0,72.0,54.0,1012.3,1012.0,22.0,25.7,0,0
Witchcliffe,15.0,21.9,0.4,S,48.0,S,SSE,17.0,28.0,53.0,43.0,1015.8,1016.4,16.9,20.6,0,0
Witchcliffe,9.8,25.4,0.2,SE,48.0,E,SSE,17.0,26.0,56.0,44.0,1022.4,1019.3,16.2,24.6,0,0
Witchcliffe,12.0,30.8,0.0,ESE,37.0,ESE,ESE,17.0,17.0,65.0,30.0,1021.4,1018.2,17.4,29.7,0,0
Witchcliffe,15.6,31.9,0.0,ENE,33.0,ENE,E,15.0,7.0,54.0,30.0,1018.9,1016.2,20.1,30.9,0,0
Witchcliffe,11.9,35.8,0.0,N,44.0,ENE,NNW,11.0,20.0,43.0,20.0,1013.4,1010.5,24.4,35.2,0,0
Witchcliffe,19.1,28.9,0.0,SSW,48.0,ENE,ESE,7.0,9.0,39.0,76.0,1007.8,1010.1,26.5,21.2,0,1
Witchcliffe,16.0,21.8,1.4,SE,67.0,SE,SE,22.0,31.0,59.0,49.0,1019.1,1018.1,17.8,20.5,1,0
Witchcliffe,16.4,29.6,0.0,SE,56.0,SE,SSE,30.0,26.0,78.0,53.0,1014.4,1009.6,18.8,27.4,0,1
Witchcliffe,17.2,29.1,3.8,SSE,33.0,SE,SW,15.0,17.0,75.0,47.0,1008.6,1008.2,20.6,27.2,1,0
Witchcliffe,15.1,24.0,0.2,S,39.0,SW,SSW,9.0,22.0,69.0,59.0,1011.8,1012.5,20.7,21.1,0,0
Witchcliffe,14.4,23.7,0.0,SSE,44.0,S,SSE,20.0,24.0,71.0,54.0,1016.1,1015.6,18.5,22.6,0,0
Witchcliffe,10.5,24.7,0.0,S,46.0,ESE,SSE,15.0,26.0,64.0,44.0,1017.6,1014.9,16.4,24.2,0,0
Witchcliffe,9.7,25.8,0.0,SSE,46.0,ESE,SSE,13.0,24.0,72.0,46.0,1017.7,1016.1,15.0,24.2,0,0
Witchcliffe,12.3,31.3,0.0,SSE,39.0,SE,SSE,13.0,22.0,69.0,38.0,1018.9,1016.1,17.0,30.1,0,0
Witchcliffe,14.5,33.5,0.0,S,35.0,ESE,WNW,4.0,13.0,51.0,29.0,1013.0,1010.8,22.7,31.3,0,0
Witchcliffe,16.2,23.4,0.0,SSE,46.0,S,SSE,22.0,28.0,60.0,46.0,1016.1,1015.9,19.4,21.7,0,0
Witchcliffe,9.6,29.3,0.0,SE,31.0,SE,ESE,11.0,9.0,70.0,33.0,1016.4,1011.7,13.4,28.7,0,0
Witchcliffe,13.3,20.8,0.0,SW,37.0,SW,WSW,19.0,19.0,79.0,58.0,1005.7,1006.9,19.6,19.7,0,1
Witchcliffe,14.9,20.5,3.2,W,54.0,NW,WSW,9.0,24.0,94.0,56.0,1005.2,1005.1,15.8,17.5,1,1
Witchcliffe,12.8,20.8,2.8,SW,31.0,SW,SSW,15.0,20.0,55.0,58.0,1016.3,1017.7,16.4,18.3,1,0
Witchcliffe,6.8,24.3,0.2,S,31.0,NE,ESE,4.0,7.0,71.0,41.0,1019.1,1016.0,14.5,22.8,0,0
Witchcliffe,14.0,25.5,0.0,SSE,54.0,SE,SE,19.0,31.0,70.0,54.0,1015.9,1011.4,17.1,24.2,0,1
Witchcliffe,15.7,25.8,27.4,S,39.0,ENE,SSW,13.0,11.0,94.0,76.0,1007.4,1004.5,17.9,24.2,1,1
Witchcliffe,15.1,19.4,2.0,SSW,57.0,SSW,SSE,24.0,28.0,75.0,41.0,1010.5,1013.9,15.8,18.8,1,0
Witchcliffe,13.1,20.3,0.2,SSE,43.0,SSE,SSE,15.0,24.0,53.0,45.0,1026.1,1026.6,15.5,19.6,0,0
Witchcliffe,6.5,26.0,0.0,SSE,37.0,ESE,ESE,7.0,13.0,70.0,32.0,1030.2,1026.2,12.2,25.2,0,0
Witchcliffe,8.4,28.9,0.0,SE,30.0,SE,W,7.0,17.0,76.0,34.0,1025.7,1023.0,15.2,27.6,0,0
Witchcliffe,15.2,24.2,0.2,SSE,54.0,SE,SSE,20.0,28.0,84.0,53.0,1023.3,1021.9,17.9,23.5,0,0
Witchcliffe,11.1,28.0,0.2,E,31.0,ESE,ENE,15.0,11.0,78.0,36.0,1023.2,1019.9,13.7,26.9,0,0
Witchcliffe,11.1,30.1,0.0,N,28.0,ENE,NNE,7.0,11.0,63.0,29.0,1018.0,1016.0,17.4,29.4,0,0
Witchcliffe,11.4,35.1,0.0,NW,35.0,SE,WNW,6.0,19.0,77.0,26.0,1014.5,1012.6,17.7,33.2,0,0
Witchcliffe,12.6,22.9,0.0,S,39.0,S,SSE,15.0,22.0,78.0,64.0,1014.3,1015.7,20.6,19.9,0,0
Witchcliffe,8.7,22.8,0.0,SW,35.0,ESE,S,6.0,22.0,71.0,44.0,1017.6,1015.9,15.1,21.5,0,0
Witchcliffe,10.0,21.6,0.0,S,43.0,SSE,SSE,13.0,24.0,57.0,41.0,1021.4,1022.2,17.8,20.2,0,0
Witchcliffe,7.5,25.7,0.0,SSE,39.0,SE,SE,11.0,17.0,69.0,33.0,1024.8,1019.9,12.2,24.2,0,0
Witchcliffe,11.0,32.5,0.0,NE,30.0,ESE,ESE,9.0,11.0,67.0,30.0,1016.9,1012.8,15.6,31.2,0,0
Witchcliffe,13.1,29.0,0.0,NNW,35.0,N,NW,15.0,20.0,93.0,55.0,1011.4,1010.6,19.7,26.1,0,0
Witchcliffe,13.9,22.5,0.0,NW,41.0,WNW,WNW,11.0,19.0,57.0,56.0,1016.9,1013.6,17.2,20.1,0,0
Witchcliffe,17.2,21.4,0.0,WSW,43.0,WNW,WSW,17.0,20.0,73.0,66.0,1009.0,1010.3,18.8,18.5,0,1
Witchcliffe,11.4,22.2,0.0,W,30.0,N,W,6.0,13.0,72.0,54.0,1015.6,1014.6,15.6,20.1,0,1
