Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
Wollongong,15.7,21.5,0.4,NE,39.0,E,ENE,20.0,22.0,67.0,65.0,1020.3,1018.9,18.1,19.5,0,0
Wollongong,18.0,27.7,0.0,ENE,41.0,NNE,NNE,22.0,19.0,79.0,75.0,1014.3,1009.2,20.1,23.4,0,0
Wollongong,18.6,32.5,0.2,SSE,44.0,SE,SSE,6.0,22.0,57.0,81.0,1006.0,1004.4,27.6,21.2,0,0
Wollongong,17.9,23.6,0.6,SSE,50.0,WNW,SSE,28.0,28.0,67.0,80.0,1007.2,1008.9,21.0,20.4,0,1
Wollongong,15.3,21.9,11.2,ENE,54.0,S,ENE,11.0,37.0,79.0,77.0,1014.8,1011.9,18.7,20.4,1,1
Wollongong,17.1,23.4,3.0,NE,57.0,ENE,NE,15.0,44.0,74.0,78.0,1010.2,1005.8,21.4,22.9,1,0
Wollongong,17.8,20.2,0.0,SSW,59.0,SSE,SSE,44.0,37.0,77.0,80.0,1008.6,1010.8,20.1,18.5,0,1
Wollongong,15.6,18.5,15.0,E,33.0,E,E,13.0,20.0,93.0,72.0,1014.9,1015.9,16.5,17.9,1,1
Wollongong,16.3,22.8,3.4,NNE,67.0,NNE,NE,28.0,24.0,89.0,94.0,1015.5,1010.0,17.1,17.5,1,1
Wollongong,16.1,31.6,48.4,NW,91.0,N,W,22.0,30.0,84.0,30.0,994.0,990.7,22.5,31.2,1,0
Wollongong,18.2,25.0,0.0,WNW,85.0,WSW,W,30.0,33.0,43.0,33.0,996.1,996.8,20.5,24.6,0,0
Wollongong,15.4,20.7,0.6,SSW,56.0,SSW,SSE,31.0,28.0,47.0,54.0,1007.0,1007.6,18.9,19.7,0,0
Wollongong,14.8,23.1,0.0,ENE,39.0,NE,NNE,9.0,17.0,62.0,67.0,1012.5,1010.1,20.6,22.1,0,0
Wollongong,16.3,23.1,0.0,S,50.0,ENE,SE,9.0,9.0,74.0,80.0,1011.7,1008.7,20.6,20.9,0,0
Wollongong,17.3,29.0,0.0,NW,67.0,E,NE,13.0,9.0,73.0,79.0,1004.5,1000.3,21.4,22.5,0,0
Wollongong,14.8,23.8,0.8,S,56.0,SSE,SSE,9.0,33.0,52.0,61.0,1005.6,1008.2,20.7,18.9,0,0
Wollongong,14.1,19.0,0.0,SSE,56.0,S,SSE,26.0,30.0,58.0,73.0,1019.7,1020.0,17.1,17.1,0,0
Wollongong,12.8,21.6,0.0,ENE,35.0,ESE,ENE,6.0,22.0,59.0,61.0,1022.1,1020.2,19.0,21.1,0,0
Wollongong,16.4,22.9,0.0,NE,63.0,N,NE,31.0,52.0,63.0,67.0,1018.4,1014.2,20.6,21.7,0,0
Wollongong,18.5,24.4,0.0,SSE,52.0,NNE,ESE,19.0,9.0,74.0,82.0,1008.5,1008.4,21.9,22.4,0,1
Wollongong,17.8,19.5,1.2,S,43.0,SSE,SSE,20.0,11.0,78.0,92.0,1013.8,1013.2,18.9,17.8,1,0
Wollongong,17.4,22.9,0.2,NE,24.0,NNE,NE,13.0,19.0,85.0,68.0,1014.5,1013.6,19.0,22.4,0,0
Wollongong,18.2,24.7,0.0,NE,48.0,NNE,NE,19.0,31.0,80.0,80.0,1013.4,1010.6,21.8,23.6,0,0
Wollongong,20.3,24.1,0.0,W,54.0,NE,NNE,24.0,24.0,87.0,87.0,1008.2,1004.3,21.9,21.7,0,1
Wollongong,19.4,24.6,6.0,NE,48.0,ENE,N,13.0,11.0,77.0,77.0,1005.7,1003.1,23.0,23.8,1,0
Wollongong,19.4,22.2,0.0,SE,44.0,SE,SE,31.0,19.0,76.0,78.0,1004.4,1004.4,20.6,20.7,0,1
Wollongong,16.4,27.7,2.6,NW,41.0,N,ENE,9.0,28.0,78.0,77.0,1004.1,999.6,19.9,22.4,1,0
Wollongong,18.4,29.0,0.0,W,44.0,SW,E,11.0,17.0,30.0,57.0,1002.4,1002.4,23.8,23.9,0,0
Wollongong,17.2,32.3,0.0,SSE,70.0,ENE,NE,9.0,33.0,56.0,51.0,1004.3,1000.3,23.3,25.8,0,0
Wollongong,17.7,19.9,0.0,SE,54.0,SE,SE,17.0,24.0,67.0,67.0,1013.2,1015.5,19.3,17.4,0,0
Wollongong,16.5,22.1,0.0,NNE,33.0,E,ENE,15.0,17.0,60.0,61.0,1021.9,1019.9,18.0,19.7,0,0
Wollongong,18.0,23.8,0.0,NE,63.0,NNE,NE,28.0,48.0,65.0,72.0,1018.2,1015.0,22.0,22.6,0,0
Wollongong,18.9,25.4,0.0,NNE,37.0,NNE,NE,22.0,22.0,76.0,71.0,1012.1,1008.3,21.6,25.0,0,0
Wollongong,17.5,24.6,0.0,N,28.0,NNE,NE,13.0,17.0,82.0,75.0,1011.2,1008.2,22.0,24.1,0,0
Wollongong,19.5,32.8,0.0,SE,52.0,E,SE,13.0,7.0,77.0,85.0,1009.3,1005.5,22.3,22.0,0,0
Wollongong,18.9,20.1,0.4,SSW,52.0,SSE,SSE,26.0,35.0,86.0,82.0,1013.0,1014.5,19.1,18.4,0,0
Wollongong,16.0,21.3,0.6,SE,46.0,SSE,SE,26.0,17.0,69.0,53.0,1020.9,1019.7,17.4,20.6,0,0
Wollongong,16.3,23.4,0.6,NNE,43.0,NNE,ENE,7.0,22.0,50.0,54.0,1017.1,1014.6,19.8,22.4,0,0
Wollongong,16.3,24.2,0.0,NNE,46.0,NNE,NE,19.0,35.0,67.0,67.0,1013.8,1011.4,21.6,23.3,0,0
Wollongong,18.8,23.4,1.0,SSE,39.0,SE,SSE,20.0,26.0,82.0,77.0,1016.2,1017.0,20.7,22.5,0,0
Wollongong,19.1,24.7,0.2,NE,57.0,E,NE,11.0,44.0,77.0,73.0,1019.2,1015.5,22.2,23.7,0,0
Wollongong,19.9,30.8,0.0,NE,39.0,NE,N,22.0,24.0,79.0,74.0,1013.8,1010.4,22.9,24.5,0,0
Wollongong,21.1,27.2,0.0,SE,76.0,ENE,SE,19.0,35.0,62.0,66.0,1008.1,1006.5,25.8,25.2,0,0
Wollongong,15.8,24.3,0.0,SE,52.0,SE,ENE,13.0,13.0,65.0,62.0,1012.8,1010.1,20.4,24.2,0,1
Wollongong,15.1,20.3,2.0,SSE,50.0,SSE,SSE,31.0,30.0,58.0,54.0,1020.9,1020.8,17.4,19.3,1,0
Wollongong,14.0,23.9,0.0,NNE,33.0,SE,NE,9.0,22.0,54.0,53.0,1022.0,1020.3,20.1,23.3,0,0
Wollongong,17.9,24.4,0.0,NE,57.0,NNE,NE,19.0,43.0,60.0,67.0,1018.4,1014.2,22.0,22.6,0,0
Wollongong,18.7,26.6,0.0,SE,61.0,NE,N,19.0,20.0,74.0,70.0,1013.1,1010.3,22.4,23.3,0,0
Wollongong,20.7,27.7,0.0,WNW,59.0,ESE,N,9.0,22.0,66.0,66.0,1011.3,1007.8,24.2,25.4,0,1
Wollongong,20.6,32.6,5.2,N,63.0,ENE,N,20.0,26.0,61.0,41.0,1007.7,1003.4,26.1,31.8,1,0
Wollongong,21.4,28.2,0.0,NE,37.0,SE,SE,15.0,11.0,81.0,75.0,1009.2,1008.0,22.5,23.1,0,1
Wollongong,21.5,40.1,1.2,SE,85.0,NE,WSW,19.0,31.0,67.0,13.0,1004.1,1003.6,26.7,39.2,1,0
Wollongong,19.1,24.5,0.0,SE,39.0,SE,ESE,17.0,17.0,62.0,56.0,1019.8,1018.8,21.2,23.7,0,0
Wollongong,19.4,24.8,0.0,SE,39.0,SE,SE,9.0,9.0,74.0,74.0,1019.7,1019.8,21.5,24.1,0,1
Wollongong,19.3,22.8,5.6,SE,37.0,SW,ESE,11.0,7.0,93.0,89.0,1021.6,1020.0,20.7,21.4,1,0
Wollongong,19.9,24.9,0.0,NE,50.0,NNE,NE,19.0,35.0,83.0,76.0,1017.8,1015.6,22.3,24.5,0,0
Wollongong,19.3,26.0,0.0,NE,54.0,NNE,NE,9.0,41.0,81.0,78.0,1018.1,1015.9,22.8,24.6,0,0
Wollongong,19.8,26.2,0.0,NE,52.0,NE,NE,13.0,26.0,81.0,74.0,1018.5,1015.5,23.1,24.9,0,0
Wollongong,19.8,25.8,0.0,NE,44.0,NE,N,13.0,19.0,84.0,73.0,1017.2,1014.4,22.6,24.7,0,0
Wollongong,19.3,24.6,0.0,SE,31.0,SE,SE,19.0,17.0,89.0,80.0,1017.0,1017.0,21.2,23.8,0,0
Wollongong,20.7,26.4,0.0,NE,52.0,NNE,NE,17.0,39.0,87.0,73.0,1016.3,1011.3,22.8,25.1,0,0
Wollongong,19.9,24.6,0.0,SE,48.0,ENE,SE,11.0,35.0,81.0,80.0,1010.9,1011.0,22.6,22.8,0,0
Wollongong,21.0,26.3,0.0,SSE,24.0,SE,NNE,7.0,11.0,85.0,73.0,1011.9,1009.4,22.6,25.5,0,0
Wollongong,20.3,26.8,0.0,NNE,43.0,NNE,N,11.0,24.0,84.0,73.0,1008.9,1005.8,22.9,25.5,0,0
Wollongong,20.7,27.7,0.0,SE,31.0,NNE,NE,9.0,17.0,84.0,73.0,1011.1,1008.3,23.2,26.2,0,0
Wollongong,21.1,26.5,0.0,NE,56.0,ENE,N,11.0,19.0,81.0,66.0,1013.1,1009.4,23.8,25.9,0,0
Wollongong,20.0,25.0,0.0,S,56.0,NE,N,26.0,17.0,80.0,71.0,1010.5,1007.7,22.1,23.7,0,0
Wollongong,19.2,20.6,0.0,S,48.0,S,S,26.0,22.0,85.0,84.0,1013.0,1012.0,19.7,19.1,0,1
Wollongong,16.6,18.8,3.2,S,54.0,S,S,11.0,26.0,85.0,88.0,1012.6,1010.6,18.3,17.8,1,1
Wollongong,16.8,21.4,1.4,SE,81.0,SSW,SSW,26.0,31.0,74.0,73.0,1012.0,1012.4,18.1,20.3,1,1
Wollongong,14.5,21.0,12.6,SE,52.0,S,SE,26.0,22.0,87.0,69.0,1018.7,1019.8,16.2,19.0,1,1
Wollongong,15.5,21.3,1.4,ESE,56.0,SE,SE,37.0,37.0,62.0,60.0,1026.8,1026.1,19.7,20.2,1,0
Wollongong,16.7,20.3,0.4,SE,52.0,SE,SE,33.0,35.0,71.0,81.0,1024.2,1020.7,20.1,19.0,0,1
Wollongong,16.4,21.4,31.6,SE,61.0,SW,SSE,20.0,37.0,94.0,84.0,1016.4,1016.0,17.7,20.5,1,1
Wollongong,17.7,22.1,23.2,SE,61.0,SE,SSE,41.0,41.0,70.0,67.0,1019.2,1019.0,21.0,21.6,1,1
Wollongong,18.0,22.0,7.2,SE,52.0,W,SE,9.0,24.0,90.0,72.0,1018.4,1016.7,18.3,21.4,1,1
Wollongong,18.3,24.8,16.8,SSW,63.0,SSW,S,35.0,20.0,93.0,68.0,1010.8,1008.6,20.4,23.6,1,0
Wollongong,18.3,25.6,0.0,S,33.0,SE,ENE,9.0,6.0,76.0,77.0,1007.7,1005.8,22.8,22.8,0,1
Wollongong,18.5,24.9,5.8,ENE,30.0,NNE,E,7.0,13.0,78.0,73.0,1011.0,1011.3,21.8,24.5,1,1
Wollongong,19.9,22.5,2.8,S,37.0,WSW,SSE,9.0,26.0,92.0,81.0,1014.1,1014.7,20.3,21.3,1,1
Wollongong,17.6,24.4,7.6,NNE,30.0,S,ESE,9.0,11.0,82.0,72.0,1019.0,1018.0,20.9,23.8,1,0
Wollongong,20.4,25.8,0.0,SSW,57.0,NNE,NE,20.0,37.0,72.0,77.0,1016.6,1012.3,22.7,24.8,0,0
