Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
Woomera,16.8,29.7,0.0,S,54.0,S,S,28.0,26.0,56.0,18.0,1010.9,1010.1,18.9,27.5,0,0
Woomera,13.3,28.6,0.0,SE,52.0,SSE,SSE,30.0,19.0,46.0,13.0,1016.4,1014.4,16.5,26.3,0,0
Woomera,14.9,32.0,0.0,SE,31.0,E,ESE,22.0,11.0,14.0,6.0,1015.7,1012.3,22.4,29.9,0,0
Woomera,16.3,36.3,0.0,E,43.0,E,ESE,20.0,20.0,12.0,2.0,1012.2,1010.5,25.7,34.9,0,0
Woomera,20.0,38.4,0.0,WNW,41.0,SE,NW,22.0,11.0,29.0,5.0,1012.5,1009.5,25.6,37.1,0,0
Woomera,20.2,40.2,0.0,SSE,54.0,SE,S,17.0,19.0,35.0,8.0,1010.6,1006.8,25.9,39.6,0,0
Woomera,19.7,33.3,0.0,S,57.0,S,S,24.0,26.0,61.0,20.0,1011.1,1010.4,22.3,31.2,0,0
Woomera,15.2,31.4,0.0,SSE,56.0,SE,SSE,35.0,24.0,45.0,14.0,1015.8,1014.2,18.4,28.3,0,0
Woomera,15.8,33.3,0.0,SSE,41.0,ESE,SSW,28.0,9.0,28.0,11.0,1014.5,1011.3,21.5,30.9,0,0
Woomera,17.5,33.9,0.0,SW,43.0,SSE,SW,15.0,9.0,38.0,11.0,1009.8,1007.3,22.1,32.5,0,0
Woomera,18.1,33.3,0.0,SSE,44.0,S,SSW,24.0,7.0,42.0,15.0,1009.9,1008.2,21.9,31.7,0,0
Woomera,17.4,38.4,0.0,SSE,43.0,ESE,N,28.0,11.0,33.0,8.0,1013.1,1010.6,23.7,35.6,0,0
Woomera,22.0,42.2,0.0,N,48.0,NNE,W,24.0,15.0,9.0,4.0,1010.4,1008.1,31.8,40.5,0,0
Woomera,23.6,40.7,0.0,SSE,50.0,S,W,28.0,17.0,43.0,13.0,1010.3,1008.9,25.8,38.4,0,0
Woomera,19.0,31.5,0.0,SSE,52.0,SSE,SSE,35.0,31.0,58.0,21.0,1016.4,1015.2,20.3,29.7,0,0
Woomera,15.7,32.7,0.0,SSE,52.0,SSE,ESE,28.0,24.0,51.0,12.0,1019.7,1018.0,18.7,30.5,0,0
Woomera,16.6,33.5,0.0,SSE,44.0,SE,S,31.0,17.0,31.0,8.0,1019.3,1016.3,21.2,31.4,0,0
Woomera,18.5,35.6,0.0,SE,31.0,ENE,W,20.0,7.0,12.0,8.0,1016.3,1013.0,25.8,34.0,0,0
Woomera,20.5,39.6,0.0,WSW,37.0,NW,WSW,9.0,7.0,11.0,6.0,1011.9,1008.3,29.1,38.0,0,0
Woomera,23.4,40.2,0.0,NW,50.0,NNW,W,26.0,13.0,26.0,10.0,1009.7,1007.0,29.5,39.2,0,0
Woomera,21.1,37.1,0.0,SSE,54.0,SSE,SW,19.0,15.0,59.0,23.0,1010.5,1006.6,24.0,34.1,0,0
Woomera,21.7,38.8,0.0,WSW,74.0,S,SSW,6.0,24.0,12.0,7.0,1005.6,1004.1,28.3,36.9,0,0
Woomera,19.0,37.4,0.0,W,61.0,NNE,W,4.0,20.0,58.0,12.0,1008.8,1005.0,21.8,35.7,0,0
Woomera,19.4,33.0,0.0,SSW,48.0,SSE,SW,17.0,11.0,60.0,25.0,1012.7,1012.1,21.7,30.0,0,0
Woomera,18.4,37.9,0.0,SE,39.0,SE,NE,19.0,6.0,38.0,12.0,1015.1,1013.4,23.8,35.8,0,0
Woomera,21.0,39.9,0.0,ENE,44.0,ESE,E,24.0,28.0,22.0,4.0,1015.9,1012.5,27.4,38.6,0,0
Woomera,24.1,43.8,0.0,NNE,46.0,E,NNE,19.0,6.0,9.0,7.0,1011.3,1008.4,32.8,42.2,0,0
Woomera,28.9,44.6,0.0,NNE,54.0,N,N,22.0,24.0,23.0,16.0,1007.8,1005.6,35.6,42.6,0,0
Woomera,28.5,42.3,0.0,NNE,57.0,NNW,NNW,22.0,15.0,20.0,12.0,1009.3,1007.1,35.1,41.0,0,0
Woomera,28.7,42.4,0.0,NE,57.0,NNE,NE,13.0,17.0,21.0,9.0,1009.4,1006.8,34.6,40.3,0,0
Woomera,26.5,41.9,0.0,NE,54.0,E,NNE,13.0,28.0,19.0,8.0,1011.5,1008.6,31.5,40.1,0,0
Woomera,26.7,41.7,0.0,ENE,56.0,ENE,E,11.0,17.0,18.0,10.0,1011.6,1008.8,33.4,39.5,0,0
Woomera,26.8,43.5,0.0,SE,52.0,SE,ENE,9.0,6.0,25.0,10.0,1009.5,1006.4,33.0,41.5,0,0
Woomera,26.7,43.7,0.0,SE,44.0,SE,SW,24.0,7.0,37.0,12.0,1008.2,1005.0,30.1,41.4,0,0
Woomera,26.3,42.5,0.0,SSE,46.0,SE,SW,19.0,20.0,34.0,10.0,1006.8,1004.4,30.8,40.1,0,0
Woomera,25.2,42.8,0.0,SSW,65.0,E,SE,20.0,20.0,25.0,8.0,1007.0,1005.0,29.5,41.3,0,0
Woomera,27.3,45.6,0.0,NE,52.0,ENE,NNE,26.0,17.0,21.0,7.0,1005.3,1002.7,34.0,43.7,0,0
Woomera,31.4,46.2,0.0,NNW,61.0,NW,N,30.0,22.0,18.0,7.0,1004.4,1003.0,37.9,45.3,0,0
