index,Location,RainTomorrow
59522,Watsonia,0
35139,Canberra,0
37514,Tuggeranong,1
30907,Wollongong,1
108196,Darwin,0
28336,WaggaWagga,0
71749,GoldCoast,0
72256,GoldCoast,1
62809,Dartmoor,0
68668,Cairns,0
9463,CoffsHarbour,0
59487,Watsonia,0
94903,Perth,0
30708,Wollongong,0
15342,NorahHead,0
86069,Woomera,0
107199,AliceSprings,1
103118,Hobart,1
66360,Brisbane,1
59693,Watsonia,0
110251,Darwin,0
52906,Mildura,0
91877,PerthAirport,0
107472,AliceSprings,0
63015,Dartmoor,0
69738,Cairns,0
24967,SydneyAirport,0
12416,Moree,0
47739,MelbourneAirport,0
45661,Sale,0
33764,Canberra,1
65790,Brisbane,0
93103,PerthAirport,0
58742,Portland,0
86128,Woomera,0
26813,WaggaWagga,0
34138,Canberra,0
15502,NorahHead,1
55401,Nhil,0
2354,Albury,0
69809,Cairns,0
30397,Williamtown,1
37781,Tuggeranong,0
58534,Portland,0
11634,Moree,0
110185,Darwin,0
95516,Perth,0
50325,Melbourne,0
81340,MountGambier,0
19317,Richmond,0
60128,Watsonia,0
70330,GoldCoast,0
86621,Woomera,0
4094,BadgerysCreek,1
98464,Walpole,0
97665,Perth,0
48603,MelbourneAirport,0
87942,Witchcliffe,0
2770,BadgerysCreek,0
52402,Mildura,0
78282,Adelaide,0
100052,Walpole,1
39578,Ballarat,1
14122,NorahHead,0
78032,Adelaide,0
3710,BadgerysCreek,0
112514,Uluru,0
40906,Ballarat,0
12239,Moree,0
38672,Ballarat,0
71074,GoldCoast,1
61790,Watsonia,0
65492,Brisbane,0
19000,Richmond,0
32925,Wollongong,0
80002,MountGambier,0
12846,NorahHead,0
106031,AliceSprings,0
50419,Melbourne,0
102909,Hobart,0
56525,Portland,0
112034,Uluru,0
72076,GoldCoast,0
38601,Ballarat,0
23849,SydneyAirport,0
84701,Woomera,0
94427,PerthAirport,0
61431,Watsonia,0
66986,Brisbane,0
66335,Brisbane,1
59536,Watsonia,0
28369,WaggaWagga,0
67470,Cairns,0
63580,Dartmoor,0
73487,Townsville,0
47079,MelbourneAirport,0
42666,Bendigo,1
43393,Bendigo,0
99885,Walpole,1
75889,Adelaide,0
37020,Tuggeranong,0
98052,Walpole,1
39994,Ballarat,1
63972,Dartmoor,0
102781,Hobart,0
75508,Townsville,0
31045,Wollongong,1
36163,Tuggeranong,0
10992,Moree,1
58221,Portland,1
68707,Cairns,0
79304,MountGambier,0
57149,Portland,1
106471,AliceSprings,0
44857,Sale,1
110489,Darwin,0
61221,Watsonia,0
22015,Sydney,0
44289,Sale,0
860,Albury,0
38689,Ballarat,0
20310,Richmond,0
31689,Wollongong,0
60456,Watsonia,1
95467,Perth,0
95560,Perth,0
5816,Cobar,0
11540,Moree,0
54884,Nhil,1
18917,Richmond,0
49046,MelbourneAirport,0
104871,Launceston,1
79872,MountGambier,0
68147,Cairns,0
58135,Portland,1
42532,Bendigo,0
29037,Williamtown,0
99747,Walpole,0
57992,Portland,1
64560,Brisbane,0
62345,Dartmoor,1
4835,Cobar,0
50207,Melbourne,0
59664,Watsonia,1
56243,Nhil,0
22128,Sydney,0
3558,BadgerysCreek,1
95803,Perth,1
87463,Witchcliffe,0
4197,BadgerysCreek,0
68744,Cairns,0
101397,Hobart,0
16607,NorfolkIsland,0
61087,Watsonia,0
87719,Witchcliffe,0
80470,MountGambier,0
62383,Dartmoor,1
97614,Perth,0
37121,Tuggeranong,1
94292,PerthAirport,0
81402,MountGambier,0
39487,Ballarat,1
89234,Witchcliffe,0
79933,MountGambier,0
51749,Melbourne,0
73895,Townsville,0
38494,Ballarat,0
106808,AliceSprings,0
73777,Townsville,0
