Modelo 1,Modelo 2,Spearman ρ,p-value,Features Comuns
MLP Centralizado,MLP Federado,0.83859649122807,7.293998331953686e-06,19
MLP Centralizado,XGBoost Centralizado,0.83859649122807,7.293998331953686e-06,19
MLP Centralizado,XGBoost Federado (Bagging),0.5491228070175439,0.014889997605272244,19
MLP Centralizado,XGBoost Federado (Cyclic),0.7087719298245614,0.0006810286499007196,19
MLP Federado,XGBoost Centralizado,0.6859649122807018,0.0011846753538876092,19
MLP Federado,XGBoost Federado (Bagging),0.47719298245614034,0.03882943217779468,19
MLP Federado,XGBoost Federado (Cyclic),0.6771929824561403,0.001447502479555022,19
XGBoost Centralizado,XGBoost Federado (Bagging),0.7,0.000847585743247923,19
XGBoost Centralizado,XGBoost Federado (Cyclic),0.6561403508771929,0.002282288681203842,19
XGBoost Federado (Bagging),XGBoost Federado (Cyclic),0.5719298245614035,0.010510758441862328,19
