feature,mean_abs_weight_0,mean_abs_weight_1,diff_0_1
Humidity3pm,0.1199097824011351,0.1210867475392428,-0.001176965138107694
Humidity9am,0.0413030838278245,0.0412331491544823,6.99346733422021e-05
MaxTemp,0.0402071817969187,0.0427092726447894,-0.0025020908478707027
MinTemp,0.0534818050735378,0.0540909982916281,-0.0006091932180902968
Pressure3pm,0.1967272631525148,0.1955349611487108,0.001192302003803991
Pressure9am,0.1231212689355402,0.1246403907467165,-0.001519121811176291
RainToday,0.0079069144482225,0.008186051318952,-0.00027913687072949993
Rainfall,0.0644390432036152,0.064477812218758,-3.8769015142797736e-05
Temp3pm,0.0580967466494686,0.0596641957336027,-0.001567449084134101
Temp9am,0.0234922638432553,0.0273223211719038,-0.0038300573286484986
WindDir3pm_cos,0.0119068612400479,0.0126596338553217,-0.0007527726152738012
WindDir3pm_sin,0.0209016100788502,0.0207776505670097,0.00012395951184050041
WindDir9am_cos,0.0136856013462156,0.0140664354915081,-0.0003808341452925003
WindDir9am_sin,0.0076409443134569,0.007118179157393,0.0005227651560639002
WindGustDir_cos,0.0072594753133371,0.0069368061030419,0.0003226692102951999
WindGustDir_sin,0.0078217312621244,0.0076823866763208,0.00013934458580360052
WindGustSpeed,0.0914949943338426,0.091666854573046,-0.000171860239203403
WindSpeed3pm,0.040796282133176,0.0404261819818071,0.00037010015136890173
WindSpeed9am,0.0077140091471462,0.0073893045310188,0.0003247046161273994
