feature,mean_abs_weight
Pressure3pm,0.19646316825867224
Pressure9am,0.12345775441671582
Humidity3pm,0.120170480179226
WindGustSpeed,0.09153306137682618
Rainfall,0.06444763054046937
Temp3pm,0.05844393662160432
MinTemp,0.053616741371344825
Humidity9am,0.04128759329767924
MaxTemp,0.04076139491972209
WindSpeed3pm,0.040714304949647846
Temp9am,0.024340621541551002
WindDir3pm_sin,0.020874153046977567
WindDir9am_cos,0.013769956109397956
WindDir3pm_cos,0.012073600374331077
RainToday,0.007968743265089132
WindGustDir_sin,0.007790866436368921
WindSpeed9am,0.007642087074674047
WindDir9am_sin,0.0075251518313887945
WindGustDir_cos,0.007188004083256783
