feature,mean_abs_weight
Pressure3pm,0.19672726315251488
Pressure9am,0.12312126893554026
Humidity3pm,0.11990978240113513
WindGustSpeed,0.09149499433384264
Rainfall,0.06443904320361525
Temp3pm,0.0580967466494686
MinTemp,0.05348180507353783
Humidity9am,0.041303083827824535
WindSpeed3pm,0.04079628213317606
MaxTemp,0.0402071817969187
Temp9am,0.023492263843255368
WindDir3pm_sin,0.020901610078850226
WindDir9am_cos,0.013685601346215666
WindDir3pm_cos,0.011906861240047925
RainToday,0.007906914448222549
WindGustDir_sin,0.00782173126212441
WindSpeed9am,0.007714009147146278
WindDir9am_sin,0.007640944313456952
WindGustDir_cos,0.007259475313337175
