feature,mean_abs_weight_0,mean_abs_weight_1,diff_0_1
Humidity3pm,0.1784539783068214,0.1799804252685022,-0.0015264469616808052
Humidity9am,0.0177119524363129,0.0182619782640426,-0.0005500258277296999
MaxTemp,0.0337253172976195,0.0353913899175982,-0.001666072619978698
MinTemp,0.0435317481910633,0.0437534851074446,-0.0002217369163812974
Pressure3pm,0.1431103731593206,0.1427115153460719,0.00039885781324869307
Pressure9am,0.0956753493063229,0.0966593808005749,-0.0009840314942519968
RainToday,0.0054105667938412,0.005776251746501,-0.0003656849526598007
Rainfall,0.0211757802069644,0.0224874833898347,-0.0013117031828702996
Temp3pm,0.0335264192115883,0.0351817866864095,-0.001655367474821201
Temp9am,0.0128419016582519,0.0137114000528154,-0.0008694983945634997
WindDir3pm_cos,0.0127569209047438,0.0132285743018067,-0.0004716533970628989
WindDir3pm_sin,0.0063214634499072,0.0066571649900266,-0.0003357015401193996
WindDir9am_cos,0.0149981645820012,0.0144116906983434,0.0005864738836578003
WindDir9am_sin,0.0081384079801985,0.0085533467241096,-0.0004149387439110995
WindGustDir_cos,0.0089953750960295,0.0098330751214472,-0.0008377000254176994
WindGustDir_sin,0.0072411964064703,0.0071194638001346,0.0001217326063356998
WindGustSpeed,0.0869498690641412,0.0891354614535496,-0.0021855923894083945
WindSpeed3pm,0.0330402235822901,0.0328048127278323,0.00023541085445780152
WindSpeed9am,0.0117712973064229,0.0118750312504889,-0.00010373394406600067
