feature,mean_abs_weight
Humidity3pm,0.18379896413560193
Pressure3pm,0.15556145123147264
Pressure9am,0.1111150927413913
WindGustSpeed,0.09492318933707075
MinTemp,0.04975289203833807
MaxTemp,0.04638207474640904
WindSpeed3pm,0.029752586312427255
Temp3pm,0.02909789186240836
Humidity9am,0.0202842994774268
Rainfall,0.018115343584533986
WindDir9am_cos,0.017591750142923517
WindDir3pm_cos,0.014767508188847001
WindSpeed9am,0.014125814904684893
Temp9am,0.01065265011366171
WindGustDir_cos,0.0074842536897334975
WindDir3pm_sin,0.0073266168616684816
WindDir9am_sin,0.006946276821074282
WindGustDir_sin,0.006500103497524276
RainToday,0.005619315289012071
