feature,mean_abs_weight
Humidity3pm,0.1847811052508706
Pressure3pm,0.15393854641477972
Pressure9am,0.1111236261079632
WindGustSpeed,0.09577987841437481
MinTemp,0.04954785284350002
MaxTemp,0.04760448313430554
WindSpeed3pm,0.029790577029269398
Temp3pm,0.029719345917537596
Humidity9am,0.020493223360654303
Rainfall,0.019179359918167216
WindDir9am_cos,0.017346883769236758
WindDir3pm_cos,0.014928669194707356
WindSpeed9am,0.014225114728661396
Temp9am,0.01105181571124329
WindGustDir_cos,0.007836188010275314
WindDir3pm_sin,0.00757224287351725
WindDir9am_sin,0.007139475669945848
WindGustDir_sin,0.006424932005234738
RainToday,0.0057750532612345345
