feature,mean_abs_weight_0,mean_abs_weight_1,diff_0_1
Humidity3pm,0.1282422431446924,0.1319001561824429,-0.00365791303775051
Humidity9am,0.0247641386579924,0.0264928957666099,-0.0017287571086174978
MaxTemp,0.0325125255580148,0.0337610640635886,-0.0012485385055737985
MinTemp,0.0228947391264013,0.0237737149958837,-0.0008789758694823999
Pressure3pm,0.2170310614746976,0.220202871859182,-0.003171810384484386
Pressure9am,0.1421512731697383,0.1454568339855612,-0.0033055608158228944
RainToday,0.017088183019902,0.0156245246524539,0.0014636583674480994
Rainfall,0.014792324111407,0.0173206040425579,-0.0025282799311509008
Temp3pm,0.0411305121745485,0.0433419258325635,-0.002211413658014999
Temp9am,0.0207139008135591,0.0222043222188318,-0.0014904214052726995
WindDir3pm_cos,0.0213538747700297,0.0205050697169138,0.0008488050531159017
WindDir3pm_sin,0.0090373720668082,0.0094265519595304,-0.0003891798927221999
WindDir9am_cos,0.0175381749192677,0.0179901386795582,-0.00045196376029050037
WindDir9am_sin,0.007964503661213,0.0080229198177021,-5.841615648909983e-05
WindGustDir_cos,0.0085129155558928,0.008347234968749,0.00016568058714380024
WindGustDir_sin,0.0090352587899982,0.0093368664610142,-0.0003016076710160003
WindGustSpeed,0.0920218193867507,0.0938066646320426,-0.0017848452452918911
WindSpeed3pm,0.0175663348204524,0.0174195751095605,0.00014675971089190068
WindSpeed9am,0.0126955893514646,0.0126052324272651,9.035692419950142e-05
