feature,mean_abs_weight
Pressure3pm,0.21814910188076017
Pressure9am,0.14454946542644004
Humidity3pm,0.1311990332713105
WindGustSpeed,0.0919940316899063
Temp3pm,0.04248836962606223
MaxTemp,0.03502302432720775
Humidity9am,0.025372979309221822
MinTemp,0.024790137602041278
WindDir3pm_cos,0.021404840443641396
Temp9am,0.021084171618978388
WindDir9am_cos,0.018330373183070413
WindSpeed3pm,0.016933245573051637
RainToday,0.01674460043920449
Rainfall,0.01562859270050891
WindSpeed9am,0.011834602706338323
WindGustDir_sin,0.009422885321120596
WindDir3pm_sin,0.008837771780213948
WindDir9am_sin,0.008799606221162541
WindGustDir_cos,0.007979268975486507
