feature,mean_abs_weight
Pressure3pm,0.21654046833037902
Pressure9am,0.1427877034274705
Humidity3pm,0.13048875465948126
WindGustSpeed,0.09133553990017104
Temp3pm,0.040934034954279684
MaxTemp,0.035771068216323205
Humidity9am,0.025419716767576525
MinTemp,0.025061439712035415
WindDir3pm_cos,0.021725642888081088
Temp9am,0.020232871973889656
WindDir9am_cos,0.01931786445348351
RainToday,0.01725153665914152
WindSpeed3pm,0.01596495840407425
Rainfall,0.015425865176717539
WindSpeed9am,0.012444334448280666
WindGustDir_sin,0.010038167129397
WindDir9am_sin,0.008360790781164812
WindDir3pm_sin,0.00823814469775461
WindGustDir_cos,0.007715425614849261
