feature,mean_abs_weight
Humidity3pm,0.21285345974644682
Pressure3pm,0.05937592400925161
WindGustSpeed,0.05177623698012681
Rainfall,0.025360149790873945
WindDir3pm_cos,0.020844555198512953
Temp3pm,0.02017030803780679
Pressure9am,0.019726386035128673
MinTemp,0.012072891968168851
Humidity9am,0.007443340109017473
WindGustDir_cos,0.005869916326844974
WindSpeed3pm,0.005775840848310549
WindSpeed9am,0.005593808722949395
WindDir9am_sin,0.005563441214699733
WindGustDir_sin,0.005326095963647942
RainToday,0.005313313076802923
Temp9am,0.005295905409844849
WindDir3pm_sin,0.005286018219334473
WindDir9am_cos,0.005284952369551434
MaxTemp,0.00527105624728101
