feature,mean_abs_weight
Humidity3pm,0.28281006628662925
Pressure3pm,0.08869372732220242
WindGustSpeed,0.07696796045299967
Rainfall,0.0240783301319316
Pressure9am,0.01880310929407437
WindGustDir_cos,0.016747769713612647
MinTemp,0.016738310660753354
Temp3pm,0.015046992862782977
WindSpeed9am,0.007335964913140024
WindSpeed3pm,0.007315414053921477
Temp9am,0.007122631507889412
WindDir9am_cos,0.007099133364387097
WindDir9am_sin,0.007058046679435439
RainToday,0.006855572542752572
WindDir3pm_cos,0.006836527908537853
WindGustDir_sin,0.0067418659898432825
WindDir3pm_sin,0.006501034728339431
Humidity9am,0.006481668709750655
MaxTemp,0.006462815411723643
