feature,mean_abs_weight_0,mean_abs_weight_1,diff_0_1
Humidity3pm,0.1389042479138172,0.1420702892161086,-0.0031660413022913947
Humidity9am,0.0428260418378044,0.0430993401973105,-0.00027329835950610365
MaxTemp,0.0071784437971148,0.0069651204296491,0.00021332336746569987
MinTemp,0.0313238425612154,0.0310340060767995,0.00028983648441589793
Pressure3pm,0.1410629069459753,0.1406333796875279,0.00042952725844741524
Pressure9am,0.0603355416692477,0.0631892948408328,-0.002853753171585101
RainToday,0.0063619256713844,0.0061881800872321,0.00017374558415230064
Rainfall,0.0221287789479784,0.0214634721271514,0.0006653068208269976
Temp3pm,0.0977684149805241,0.0994976710799439,-0.0017292560994197903
Temp9am,0.0335794846123584,0.0336562968630836,-7.681225072520004e-05
WindDir3pm_cos,0.0269606248166326,0.0262090496261298,0.0007515751905028019
WindDir3pm_sin,0.0163712446203759,0.0172136750570255,-0.0008424304366496001
WindDir9am_cos,0.0340082765320259,0.0332340136422643,0.0007742628897616025
WindDir9am_sin,0.0106387576522083,0.0118547108828347,-0.0012159532306264004
WindGustDir_cos,0.0097418689787788,0.0095140611149051,0.00022780786387370001
WindGustDir_sin,0.0084949202226473,0.0081485668261724,0.0003463533964748987
WindGustSpeed,0.0774911024594307,0.0782563745760214,-0.0007652721165907067
WindSpeed3pm,0.0198956339582162,0.0197725310187688,0.00012310293944740175
WindSpeed9am,0.0107193330816247,0.0110661021339809,-0.0003467690523562012
