feature,mean_abs_weight
Pressure3pm,0.14096776665822922
Humidity3pm,0.13960552606227483
Temp3pm,0.09815144520654563
WindGustSpeed,0.07766061023325554
Pressure9am,0.060967647996753874
Humidity9am,0.04288657742443504
WindDir9am_cos,0.03383677730194372
Temp9am,0.03359649852589406
MinTemp,0.03125964377991735
WindDir3pm_cos,0.026794150911936262
Rainfall,0.02198141348716526
WindSpeed3pm,0.019868366657128666
WindDir3pm_sin,0.016557842962093883
WindDir9am_sin,0.010908091292792115
WindSpeed9am,0.01079614242672167
WindGustDir_cos,0.009691409536930819
WindGustDir_sin,0.008418202945328154
MaxTemp,0.00713119267122122
RainToday,0.006323441024494693
