feature,mean_abs_weight
Humidity3pm,0.16156564413285052
Pressure3pm,0.08702440161689122
WindGustSpeed,0.07839514277256064
Pressure9am,0.06399869284735782
Temp9am,0.05335393190528554
MaxTemp,0.035731563590825764
MinTemp,0.03524488146182711
Temp3pm,0.03311808459602413
Humidity9am,0.02545065429598173
Rainfall,0.019492900530295846
WindSpeed9am,0.01754698221551916
WindDir9am_cos,0.016557592288816973
WindDir9am_sin,0.015375990736956358
WindSpeed3pm,0.014614193786106063
WindGustDir_cos,0.01340282363550624
WindDir3pm_sin,0.013168330965898941
WindGustDir_sin,0.012212895392592855
WindDir3pm_cos,0.011098222646532416
RainToday,0.007270555848351221
