Feature,Rank - XGBoost Centralizado,Importance - XGBoost Centralizado,Rank - MLP Centralizado,Importance - MLP Centralizado,Rank - MLP Federado (FedAvg),Importance - MLP Federado (FedAvg),Rank - XGBoost Fed. (Bagging),Importance - XGBoost Fed. (Bagging),Rank - XGBoost Fed. (Cyclic),Importance - XGBoost Fed. (Cyclic)
Humidity3pm,1,1.1208941,3,1.1723358538794162,3,1.0273592953539703,1,1.3878343,1,1.1031325
Humidity9am,13,0.09114226,12,0.197759243977598,16,0.1785503341516568,10,0.057736106,10,0.21315454
MaxTemp,8,0.17520843,8,0.3726114386038914,5,0.3614417099804293,17,0.008110856,4,0.3639365
MinTemp,6,0.18937124,6,0.4175529027183628,7,0.2939240857477699,8,0.101037264,6,0.29792553
Pressure3pm,2,0.70926756,1,1.8041041008857184,1,1.7800791431842526,2,0.36064255,2,0.8311576
Pressure9am,4,0.29975468,2,1.2151055355463385,2,1.2348894861035702,4,0.17852455,8,0.23044538
RainToday,19,0.02110907,19,0.1034359506508883,18,0.127977067469281,19,0.0,19,0.024369469
Rainfall,5,0.21414575,18,0.1167726419295547,19,0.0494893038515211,7,0.13698421,9,0.2247644
Temp3pm,7,0.1768681,5,0.5221955123947396,6,0.3398173952824561,5,0.17689213,5,0.30532938
Temp9am,12,0.09697522,7,0.3749334679201422,11,0.2393587571456433,9,0.06364789,7,0.2334825
WindDir3pm_cos,10,0.14911166,11,0.2233725583660968,9,0.2609116668986878,6,0.15360479,11,0.18373238
WindDir3pm_sin,18,0.04694527,15,0.1760563694486825,12,0.2277261432995719,14,0.03382032,18,0.09560038
WindDir9am_cos,11,0.11196781,10,0.3168079593961471,8,0.2879767829068347,18,0.0014971696,13,0.14850059
WindDir9am_sin,14,0.07567941,13,0.1976272150661405,13,0.2201411939676609,16,0.028353252,14,0.121785864
WindGustDir_cos,16,0.06055456,17,0.1695802142599022,14,0.2140986752530018,11,0.04116038,12,0.14907406
WindGustDir_sin,17,0.05046032,14,0.1935259143377385,10,0.2511631564043071,15,0.032404505,17,0.101095885
WindGustSpeed,3,0.49917063,4,0.5509387834332737,4,0.6501466342655754,3,0.33999863,3,0.5537384
WindSpeed3pm,9,0.16367766,9,0.350188043059586,15,0.2101860427496526,13,0.038722314,16,0.111530714
WindSpeed9am,15,0.07191459,16,0.1701824137210269,17,0.1673612758550671,12,0.0397373,15,0.11393482
