Feature,Mean_Abs_SHAP
Pressure3pm,1.898977344297053
Pressure9am,1.1984880502422661
Humidity3pm,1.0983410772155608
MinTemp,0.5146906283287427
WindGustSpeed,0.5131909283540638
Temp3pm,0.46357989895248736
MaxTemp,0.38138843290879826
Temp9am,0.27426092672252195
WindDir9am_cos,0.25480705394314584
WindSpeed3pm,0.24117963175806445
WindDir9am_sin,0.19335555968744117
WindDir3pm_cos,0.19309140544199016
Humidity9am,0.18716971208455235
WindGustDir_cos,0.1867042362042332
WindGustDir_sin,0.16591030619811944
WindDir3pm_sin,0.15381110036004086
WindSpeed9am,0.1353720601185436
RainToday,0.06948762630088384
Rainfall,0.06250221507084268
