Feature,Class_0_SHAP,Class_1_SHAP,Difference,Abs_Difference
Humidity3pm,1.1004523,1.1927425,0.09229016,0.09229016
Pressure3pm,0.7275473,0.6450191,-0.082528174,0.082528174
WindGustSpeed,0.48163605,0.5607999,0.07916385,0.07916385
Rainfall,0.19997187,0.2639632,0.06399132,0.06399132
WindDir3pm_cos,0.16226614,0.10287731,-0.059388824,0.059388824
Humidity9am,0.084403016,0.11482883,0.030425817,0.030425817
WindDir9am_cos,0.11641464,0.09633874,-0.020075895,0.020075895
WindSpeed3pm,0.15980402,0.17729263,0.017488614,0.017488614
WindGustDir_sin,0.053590156,0.039459754,-0.014130402,0.014130402
Temp9am,0.09424453,0.10657227,0.012327738,0.012327738
WindDir9am_sin,0.07781993,0.068156235,-0.009663694,0.009663694
Pressure9am,0.29767713,0.3070573,0.009380162,0.009380162
WindSpeed9am,0.07004482,0.078486025,0.008441202,0.008441202
RainToday,0.019286571,0.027514579,0.008228008,0.008228008
MinTemp,0.19076483,0.1844731,-0.006291732,0.006291732
WindGustDir_cos,0.061481938,0.05729511,-0.0041868277,0.0041868277
Temp3pm,0.17776577,0.17371306,-0.0040527135,0.0040527135
WindDir3pm_sin,0.04657985,0.048229743,0.0016498938,0.0016498938
MaxTemp,0.17553787,0.17405066,-0.0014872104,0.0014872104
