Feature,Class_0_SHAP,Class_1_SHAP,Difference,Abs_Difference
Humidity3pm,0.9560333732941755,1.4251787238771778,0.46914535058300233,0.46914535058300233
WindGustSpeed,0.5779889768813578,0.7035843877597477,0.12559541087839,0.12559541087839
Pressure9am,0.6991710274076565,0.8016242601231881,0.10245323271553164,0.10245323271553164
Temp9am,0.08795448851009117,0.15050292859857756,0.06254844008848638,0.06254844008848638
Temp3pm,0.23457759254749555,0.28022722803643846,0.04564963548894291,0.04564963548894291
Rainfall,0.030499290205538696,0.07336754645749544,0.04286825625195674,0.04286825625195674
WindSpeed3pm,0.1412759784550582,0.1785451950678104,0.037269216612752204,0.037269216612752204
MinTemp,0.25650266671332,0.21935791584443196,-0.03714475086888805,0.03714475086888805
MaxTemp,0.2544079200657095,0.28930190140917544,0.03489398134346594,0.03489398134346594
WindDir3pm_cos,0.16858862789085058,0.13885784977996188,-0.0297307781108887,0.0297307781108887
Humidity9am,0.17617359357604434,0.20000057208477384,0.0238269785087295,0.0238269785087295
Pressure3pm,1.360298227172282,1.3398990778762851,-0.020399149295996954,0.020399149295996954
WindGustDir_cos,0.07523031607333022,0.09448100405604458,0.019250687982714357,0.019250687982714357
RainToday,0.042140115826052864,0.05693801650025322,0.014797900674200358,0.014797900674200358
WindDir3pm_sin,0.09281233288118264,0.07870978497577975,-0.014102547905402885,0.014102547905402885
WindSpeed9am,0.10404058345160004,0.11562698251137331,0.011586399059773267,0.011586399059773267
WindGustDir_sin,0.09797240617328559,0.0904735535061726,-0.00749885266711299,0.00749885266711299
WindDir9am_cos,0.1786152200518742,0.18136630431305314,0.0027510842611789543,0.0027510842611789543
WindDir9am_sin,0.06708430851333755,0.06460581823914292,-0.002478490274194625,0.002478490274194625
