Feature,Mean_Abs_SHAP
Pressure3pm,1.360298227172282
Humidity3pm,0.9560333732941755
Pressure9am,0.6991710274076565
WindGustSpeed,0.5779889768813578
MinTemp,0.25650266671332
MaxTemp,0.2544079200657095
Temp3pm,0.23457759254749555
WindDir9am_cos,0.1786152200518742
Humidity9am,0.17617359357604434
WindDir3pm_cos,0.16858862789085058
WindSpeed3pm,0.1412759784550582
WindSpeed9am,0.10404058345160004
WindGustDir_sin,0.09797240617328559
WindDir3pm_sin,0.09281233288118264
Temp9am,0.08795448851009117
WindGustDir_cos,0.07523031607333022
WindDir9am_sin,0.06708430851333755
RainToday,0.042140115826052864
Rainfall,0.030499290205538696
