Feature,Class_0_SHAP,Class_1_SHAP,Difference,Abs_Difference
Humidity3pm,1.8678688,2.417172,0.5493032,0.5493032
WindGustDir_cos,0.14796437,0.10672417,-0.0412402,0.0412402
Pressure3pm,0.6102969,0.5718444,-0.038452506,0.038452506
Rainfall,0.18095136,0.20764522,0.026693866,0.026693866
Pressure9am,0.17209445,0.14571923,-0.02637522,0.02637522
MinTemp,0.1368514,0.11812364,-0.018727757,0.018727757
Temp9am,0.06958977,0.053043302,-0.01654647,0.01654647
WindGustSpeed,0.5242806,0.53824407,0.013963461,0.013963461
Temp3pm,0.17332175,0.16170402,-0.011617735,0.011617735
WindGustDir_sin,0.034120087,0.02701009,-0.007109996,0.007109996
WindSpeed9am,0.03371572,0.027326267,-0.006389454,0.006389454
WindSpeed3pm,0.02932855,0.03214479,0.0028162394,0.0028162394
Humidity9am,0.023837214,0.021715727,-0.0021214876,0.0021214876
MaxTemp,0.0043012477,0.0022141503,-0.0020870974,0.0020870974
WindDir3pm_cos,0.033028483,0.031781282,-0.0012472011,0.0012472011
WindDir9am_cos,0.016953092,0.0179453,0.0009922087,0.0009922087
WindDir9am_sin,0.027972165,0.028879823,0.00090765767,0.00090765767
WindDir3pm_sin,0.04235687,0.042908903,0.00055203214,0.00055203214
RainToday,0.0,0.0,0.0,0.0
