Feature,Class_0_SHAP,Class_1_SHAP,Difference,Abs_Difference
Pressure3pm,0.8862691,0.63745755,-0.24881154,0.24881154
Humidity3pm,1.0734507,1.2074602,0.13400948,0.13400948
Pressure9am,0.2064699,0.31471124,0.10824135,0.10824135
WindGustSpeed,0.5628173,0.5218303,-0.040986955,0.040986955
MinTemp,0.29225537,0.31785363,0.025598258,0.025598258
Humidity9am,0.21847393,0.19445832,-0.024015605,0.024015605
Rainfall,0.21977766,0.24229169,0.02251403,0.02251403
WindDir3pm_cos,0.17960122,0.19825242,0.018651202,0.018651202
WindDir9am_sin,0.11775775,0.13594352,0.018185765,0.018185765
WindGustDir_sin,0.10443593,0.089356415,-0.015079513,0.015079513
Temp9am,0.23026714,0.24478275,0.014515609,0.014515609
WindDir9am_cos,0.1456084,0.15866572,0.013057321,0.013057321
WindSpeed9am,0.11596605,0.1067955,-0.009170555,0.009170555
WindSpeed3pm,0.11011206,0.11651667,0.0064046085,0.0064046085
RainToday,0.023641208,0.026929092,0.0032878835,0.0032878835
Temp3pm,0.30557728,0.30445868,-0.0011186004,0.0011186004
MaxTemp,0.364132,0.36324748,-0.0008845031,0.0008845031
WindDir3pm_sin,0.09578183,0.09496278,-0.0008190498,0.0008190498
WindGustDir_cos,0.14925213,0.14844775,-0.0008043796,0.0008043796
